Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{16, 0.98}, {84, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{30, 0.95}, {66, 0.94}, {4, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{41, 0.15}, {4, 0.17}, {20, 0.16}, {5, 0.13}, {30, 0.14}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{38, 0.15}, {15, 0.17}, {37, 0.16}, {10, 0.14}}
Baryonyx, {{100, 1.0}}
Condorraptor, {{100, 0.0}}
Allosaurus_, {{100, 0.0}}
Raphus, {{100, 0.01}}
Porphyrio_hochstetteri, {{100, 0.0}}
Tribonyx_mortieri, {{100, 0.0}}
Aptenodytes______, {{100, 1.0}}
Mus_musculus, {{100, 0.0}}
Diplomesodon_pulchellum, {{27, 0.88}, {73, 0.89}}
Procyon_lotor, {{22, 0.07}, {77, 0.06}, {1, 0.05}}
Bison_bonasus, {{100, 0.0}}
Chapsosaurus_, {{100, 1.0}}
Sphenodon_punctatus, {{48, 0.92}, {52, 0.93}}
Dyrosaurid, {{100, 0.02}}
Dysalotosaurus, {{5, 0.85}, {1, 0.81}, {41, 0.84}, {37, 0.83}, {16, 0.82}}
Lepidus, {{100, 0.0}}
Spinosaurus_.11, {{2, 0.21}, {15, 0.18}, {13, 0.15}, {7, 0.2}, {20, 0.17}, {16, 0.16}, {6, 0.13}, {5, 0.14}, {16, 0.19}}
Spinosaurus_.10, {{4, 0.3}, {16, 0.26}, {9, 0.25}, {11, 0.28}, {8, 0.22}, {3, 0.2}, {15, 0.27}, {6, 0.21}, {2, 0.19}, {11, 0.24}, {5, 0.29}, {10, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{94, 0.98}, {4, 0.99}, {2, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{84, 0.98}, {16, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{54, 0.92}, {2, 0.94}, {12, 0.91}, {32, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{27, 0.12}, {22, 0.1}, {46, 0.11}, {5, 0.13}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{39, 0.12}, {41, 0.11}, {13, 0.13}, {5, 0.1}, {2, 0.14}}
Baryonyx, {{100, 1.0}}
Australovenator, {{100, 0.0}}
Confuciusornis_sanctus, {{100, 0.0}}
Crypturellus_tataupa, {{100, 0.0}}
Porzana_carolina, {{100, 0.0}}
Xenicus_giliventris, {{100, 0.0}}
Glareola_pratincola, {{100, 0.0}}
Pelagodroma_marina, {{100, 0.0}}
Noemys_fodies, {{12, 0.58}, {32, 0.56}, {1, 0.55}, {55, 0.57}}
Lutra_vulgaris, {{100, 0.98}}
Sus_scrofa, {{100, 0.0}}
Maiacetus, {{100, 1.0}}
Placodontia_indet_1, {{100, 1.0}}
Neusticosaurus, {{100, 1.0}}
Pistosaurus, {{100, 1.0}}
Pterosaur_Tremp, {{100, 0.0}}
Asilisaurus, {{100, 0.0}}
Spinosaurus_.11, {{1, 0.26}, {4, 0.16}, {5, 0.25}, {8, 0.22}, {14, 0.2}, {11, 0.18}, {15, 0.21}, {7, 0.19}, {9, 0.24}, {4, 0.17}, {22, 0.23}}
