Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{90, 0.0}, {10, 0.01}}
Suchomimus.2, {{30, 0.07}, {61, 0.06}, {8, 0.05}, {1, 0.08}}
Suchomimus.1, {{74, 0.0}, {26, 0.01}}
Suchomimus, {{57, 0.07}, {31, 0.06}, {12, 0.08}}
Baryonyx, {{100, 1.0}}
Troodon_formosus, {{33, 0.22}, {1, 0.2}, {11, 0.24}, {43, 0.23}, {1, 0.25}, {11, 0.21}}
Gallus_domesticus, {{100, 0.0}}
Caloenas_nicobarica, {{100, 0.0}}
Trybonix_ventralis, {{100, 0.0}}
Hydromys_chrysogaster, {{8, 0.22}, {31, 0.24}, {61, 0.23}}
Hemiechinus_azurites, {{46, 0.72}, {54, 0.71}}
Basilosaurus, {{100, 1.0}}
Hippopotamus_amphibius, {{100, 0.98}}
Okapia_johnstoni, {{69, 0.04}, {31, 0.03}}
Dama_dama, {{100, 0.0}}
Neusticosaurus, {{100, 1.0}}
Mussaurus, {{12, 0.22}, {1, 0.18}, {12, 0.2}, {14, 0.24}, {3, 0.26}, {25, 0.23}, {13, 0.25}, {17, 0.21}, {3, 0.19}}
Spinosaurus_.11, {{2, 0.26}, {2, 0.16}, {9, 0.25}, {8, 0.22}, {9, 0.2}, {12, 0.18}, {1, 0.27}, {8, 0.21}, {12, 0.19}, {14, 0.24}, {7, 0.17}, {16, 0.23}}
Spinosaurus_.10, {{9, 0.3}, {19, 0.32}, {7, 0.26}, {10, 0.25}, {3, 0.35}, {8, 0.28}, {10, 0.34}, {7, 0.31}, {9, 0.33}, {8, 0.27}, {1, 0.37}, {3, 0.24}, {5, 0.29}, {1, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{91, 0.98}, {9, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{87, 0.98}, {13, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{67, 0.94}, {33, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.02}}
Suchomimus.2, {{1, 0.22}, {22, 0.18}, {32, 0.2}, {5, 0.17}, {1, 0.16}, {12, 0.21}, {27, 0.19}}
Suchomimus.1, {{100, 0.02}}
Suchomimus, {{1, 0.22}, {25, 0.18}, {28, 0.2}, {6, 0.17}, {1, 0.16}, {8, 0.21}, {31, 0.19}}
Baryonyx, {{100, 1.0}}
Gorgosaurus, {{15, 0.59}, {2, 0.58}, {32, 0.61}, {2, 0.63}, {12, 0.62}, {1, 0.57}, {36, 0.6}}
Oviraptor_, {{100, 0.0}}
Avimaia, {{100, 0.0}}
Dromaius_, {{100, 0.0}}
Eudromia_elegans, {{100, 0.0}}
Rhynchotus_rufescens_, {{100, 0.0}}
Tinamou, {{100, 0.0}}
Aptenodytes______, {{100, 1.0}}
Ursus_maritimus, {{94, 0.03}, {6, 0.04}}
Paguma_larvata, {{72, 0.1}, {28, 0.11}}
Tapirus_terrestris, {{47, 0.24}, {2, 0.26}, {21, 0.23}, {30, 0.25}}
Rupicapra_rupicapra, {{100, 0.0}}
Rangifer_tarandus, {{100, 0.0}}
Chapsosaurus_, {{100, 1.0}}
Paraplacodus, {{100, 1.0}}
Nothosaurus_568, {{100, 1.0}}
Nothosaurus_102, {{100, 1.0}}
Spinosaurus_.11, {{12, 0.26}, {14, 0.25}, {1, 0.28}, {9, 0.22}, {8, 0.2}, {6, 0.18}, {2, 0.27}, {9, 0.21}, {17, 0.19}, {14, 0.24}, {8, 0.23}}
Spinosaurus_.10, {{8, 0.3}, {15, 0.32}, {12, 0.26}, {6, 0.25}, {4, 0.35}, {8, 0.28}, {11, 0.34}, {10, 0.31}, {10, 0.33}, {7, 0.27}, {1, 0.37}, {2, 0.24}, {6, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{21, 0.95}, {46, 0.96}, {33, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{16, 0.95}, {52, 0.96}, {32, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{3, 0.91}, {59, 0.9}, {38, 0.89}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{80, 0.03}, {20, 0.02}}
Suchomimus.2, {{2, 0.22}, {23, 0.18}, {22, 0.2}, {3, 0.17}, {1, 0.16}, {13, 0.21}, {36, 0.19}}
Suchomimus.1, {{81, 0.03}, {19, 0.02}}
Suchomimus, {{2, 0.22}, {18, 0.18}, {29, 0.2}, {1, 0.17}, {15, 0.21}, {35, 0.19}}
Baryonyx, {{100, 1.0}}
Tyrannosaurus, {{21, 0.28}, {24, 0.3}, {1, 0.32}, {5, 0.31}, {16, 0.27}, {28, 0.29}, {5, 0.26}}
Gobiraptor_, {{2, 0.01}, {98, 0.02}}
Raphus, {{7, 0.04}, {93, 0.05}}
Porzana_carolina, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.0}}
Phalacrocorax_harrisi, {{12, 0.28}, {20, 0.26}, {68, 0.27}}
Small_Eocene_penguin, {{100, 1.0}}
Procavia_capensis, {{46, 0.28}, {5, 0.26}, {45, 0.27}, {4, 0.29}}
Lama_guanicoe, {{100, 0.0}}
Indohyus, {{100, 1.0}}
Psephoderma, {{100, 1.0}}
Pistosaurus, {{100, 1.0}}
Lacerta_viridis, {{26, 0.22}, {14, 0.24}, {58, 0.23}, {2, 0.21}}
Protochampsidae, {{35, 0.18}, {1, 0.15}, {5, 0.2}, {37, 0.17}, {10, 0.16}, {12, 0.19}}
Cricosaurus, {{100, 1.0}}
Caiman_yacare, {{100, 1.0}}
Ramphorynchus, {{11, 0.07}, {15, 0.09}, {74, 0.08}}
Spinosaurus_.11, {{16, 0.11}, {1, 0.16}, {1, 0.15}, {18, 0.12}, {17, 0.1}, {18, 0.13}, {17, 0.09}, {1, 0.08}, {11, 0.14}}
Spinosaurus_.10, {{3, 0.21}, {18, 0.18}, {10, 0.15}, {17, 0.2}, {9, 0.17}, {8, 0.16}, {1, 0.23}, {4, 0.13}, {14, 0.14}, {16, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{44, 0.99}, {56, 1.0}}
Spinosaurus_.6, {{32, 0.95}, {2, 0.94}, {51, 0.96}, {15, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{18, 0.99}, {82, 1.0}}
Spinosaurus_.1, {{3, 0.95}, {49, 0.96}, {48, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{44, 0.85}, {39, 0.86}, {11, 0.84}, {6, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{30, 0.0}, {70, 0.01}}
Suchomimus.2, {{58, 0.07}, {1, 0.09}, {24, 0.08}, {17, 0.06}}
Suchomimus.1, {{10, 0.0}, {90, 0.01}}
Suchomimus, {{44, 0.07}, {5, 0.09}, {49, 0.08}, {2, 0.06}}
Baryonyx, {{100, 1.0}}
Anas_discors, {{100, 0.0}}
