"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","57","0.5"
"Spinosaurus_.10","UNKNOWN","2","100","0.54"
"Spinosaurus_.9","UNKNOWN","2","100","0.97"
"Spinosaurus_.8","UNKNOWN","2","100","0.96"
"Spinosaurus_.7","UNKNOWN","2","100","0.94"
"Spinosaurus_.6","UNKNOWN","2","100","0.89"
"Spinosaurus_.5","UNKNOWN","2","100","0.99"
"Spinosaurus_.4","UNKNOWN","2","100","0.96"
"Spinosaurus_.3","UNKNOWN","2","100","0.95"
"Spinosaurus_.2","UNKNOWN","2","100","0.92"
"Spinosaurus_.1","UNKNOWN","2","100","0.86"
"Spinosaurus_","UNKNOWN","2","100","0.98"
"Baryonyx.3","UNKNOWN","2","100","0.86"
"Baryonyx.2","UNKNOWN","2","100","0.94"
"Baryonyx.1","UNKNOWN","2","100","0.97"
"Suchomimus.3","UNKNOWN","0","0","0.45"
"Suchomimus.2","UNKNOWN","2","100","0.64"
"Suchomimus.1","UNKNOWN","0","0","0.42"
"Suchomimus","UNKNOWN","2","100","0.61"
"Baryonyx","UNKNOWN","2","100","0.97"
