"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.34"
"Spinosaurus_.10","UNKNOWN","0","0","0.37"
"Spinosaurus_.9","UNKNOWN","2","100","0.9"
"Spinosaurus_.8","UNKNOWN","2","100","0.86"
"Spinosaurus_.7","UNKNOWN","2","100","0.78"
"Spinosaurus_.6","UNKNOWN","2","100","0.65"
"Spinosaurus_.5","UNKNOWN","2","100","0.95"
"Spinosaurus_.4","UNKNOWN","2","100","0.92"
"Spinosaurus_.3","UNKNOWN","2","100","0.89"
"Spinosaurus_.2","UNKNOWN","2","100","0.82"
"Spinosaurus_.1","UNKNOWN","2","100","0.7"
"Spinosaurus_","UNKNOWN","2","100","0.96"
"Baryonyx.3","UNKNOWN","0","29","0.5"
"Baryonyx.2","UNKNOWN","2","100","0.72"
"Baryonyx.1","UNKNOWN","2","100","0.87"
"Suchomimus.3","UNKNOWN","0","0","0.11"
"Suchomimus.2","UNKNOWN","0","0","0.22"
"Suchomimus.1","UNKNOWN","0","0","0.12"
"Suchomimus","UNKNOWN","0","0","0.24"
"Baryonyx","UNKNOWN","2","100","0.85"
