Tyrannosaurus, {{9, 0.07}, {62, 0.06}, {29, 0.05}}
Rahonavis, {{100, 0.0}}
Hesperornis, {{77, 0.94}, {9, 0.95}, {14, 0.93}}
Apteryx_owenii_, {{100, 0.0}}
Tinamou, {{100, 0.0}}
Dasyurus_maculatus, {{5, 0.63}, {92, 0.64}, {3, 0.65}}
Myrmecophaga_tridactyla, {{11, 0.78}, {84, 0.79}, {5, 0.8}}
Tamandua_tetradactyla, {{95, 0.95}, {5, 0.96}}
Mus_musculus, {{100, 0.0}}
Meles_meles, {{40, 0.01}, {60, 0.02}}
Megaloceros_sp, {{100, 0.0}}
Anarosaurus, {{100, 1.0}}
Nothosaurus_mirabilis, {{100, 1.0}}
Cricosaurus, {{100, 1.0}}
Pterosaur_Tremp, {{100, 0.0}}
Spinosaurus_.11, {{21, 0.15}, {11, 0.18}, {21, 0.17}, {15, 0.16}, {1, 0.12}, {4, 0.13}, {18, 0.14}, {9, 0.19}}
Spinosaurus_.10, {{3, 0.28}, {18, 0.22}, {2, 0.2}, {11, 0.24}, {18, 0.26}, {13, 0.27}, {9, 0.23}, {15, 0.25}, {1, 0.29}, {10, 0.21}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{55, 0.98}, {45, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{21, 0.98}, {79, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{1, 0.92}, {17, 0.94}, {82, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{7, 0.0}, {93, 0.01}}
Suchomimus.2, {{54, 0.1}, {13, 0.11}, {30, 0.09}, {2, 0.08}, {1, 0.12}}
Suchomimus.1, {{3, 0.0}, {97, 0.01}}
Suchomimus, {{56, 0.1}, {31, 0.11}, {8, 0.09}, {5, 0.12}}
Baryonyx, {{100, 1.0}}
Condorraptor, {{100, 0.0}}
Oviraptor_caenagnathid, {{100, 0.0}}
Sarothrura_rufa, {{100, 0.01}}
Porzana_carolina, {{100, 0.0}}
Xenicus_giliventris, {{100, 0.0}}
Phoenicopterus_roseus, {{100, 0.0}}
Desmana_moschata, {{100, 1.0}}
Procyon_lotor, {{1, 0.07}, {21, 0.09}, {78, 0.08}}
Chapsosaurus_, {{100, 1.0}}
Nothosaurus_102, {{100, 1.0}}
Sphenodon_punctatus, {{100, 0.94}}
Fruitadens, {{100, 0.01}}
Dysalotosaurus, {{23, 0.88}, {19, 0.86}, {58, 0.87}}
Syntarsus_, {{100, 0.0}}
Spinosaurus_.11, {{20, 0.22}, {17, 0.18}, {18, 0.2}, {10, 0.24}, {4, 0.17}, {2, 0.16}, {7, 0.23}, {1, 0.25}, {10, 0.21}, {11, 0.19}}
Spinosaurus_.10, {{14, 0.3}, {11, 0.32}, {14, 0.26}, {9, 0.25}, {1, 0.35}, {6, 0.28}, {1, 0.34}, {16, 0.31}, {9, 0.33}, {9, 0.27}, {2, 0.24}, {8, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{93, 0.98}, {1, 0.99}, {6, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{94, 0.98}, {6, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{34, 0.92}, {2, 0.94}, {64, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{17, 0.15}, {6, 0.12}, {2, 0.16}, {46, 0.13}, {1, 0.11}, {28, 0.14}}
Suchomimus.1, {{99, 0.01}, {1, 0.02}}
Suchomimus, {{27, 0.15}, {1, 0.17}, {7, 0.16}, {1, 0.12}, {15, 0.13}, {49, 0.14}}
Baryonyx, {{100, 1.0}}
Australovenator, {{100, 0.0}}
Meleagris, {{100, 0.0}}
Cygnus_olor, {{83, 0.01}, {17, 0.02}}
Raphus, {{2, 0.01}, {98, 0.02}}
Porphyrio_hochstetteri, {{100, 0.0}}
Xenicus_longipes, {{100, 0.0}}
Fregata_aquila, {{100, 0.0}}
Small_Eocene_penguin, {{100, 1.0}}
Chironectes_minimus, {{100, 0.99}}
Diplomesodon_pulchellum, {{83, 0.92}, {17, 0.91}}
Mustela_nivalis, {{31, 0.09}, {69, 0.08}}
Nyctereutes_procyonoides, {{9, 0.04}, {91, 0.05}}
Vulpes_vulpes, {{100, 0.0}}
Lama_guanicoe, {{100, 0.0}}
Elomeryx_borbonicus_, {{100, 0.01}}
Cephalophus_silvicultor, {{84, 0.06}, {16, 0.05}}
Paraplacodus, {{100, 1.0}}
Rhaeticosaurus, {{100, 1.0}}
Lacerta_viridis, {{5, 0.4}, {2, 0.37}, {45, 0.38}, {47, 0.39}, {1, 0.41}}
Lepidus, {{100, 0.0}}
Spinosaurus_.11, {{12, 0.22}, {19, 0.18}, {15, 0.2}, {8, 0.17}, {2, 0.16}, {11, 0.23}, {17, 0.21}, {16, 0.19}}
Spinosaurus_.10, {{13, 0.28}, {12, 0.3}, {11, 0.24}, {1, 0.32}, {5, 0.31}, {13, 0.27}, {20, 0.29}, {16, 0.25}, {2, 0.23}, {7, 0.26}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{99, 0.99}, {1, 1.0}}
Spinosaurus_.6, {{22, 0.95}, {74, 0.96}, {4, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{55, 0.99}, {45, 1.0}}
Spinosaurus_.1, {{42, 0.96}, {58, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{5, 0.88}, {3, 0.85}, {46, 0.86}, {46, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{99, 0.01}, {1, 0.02}}
Suchomimus.2, {{48, 0.12}, {32, 0.11}, {4, 0.1}, {15, 0.13}, {1, 0.14}}
Suchomimus.1, {{88, 0.01}, {12, 0.02}}
Suchomimus, {{1, 0.15}, {38, 0.12}, {5, 0.11}, {44, 0.13}, {12, 0.14}}
Baryonyx, {{100, 1.0}}
Deinonychus, {{60, 0.1}, {28, 0.11}, {11, 0.09}, {1, 0.12}}
Avimaia, {{100, 0.0}}
Dromaius_, {{100, 0.0}}
Chauna_chavaria, {{100, 0.0}}
Procavia_capensis, {{8, 0.28}, {48, 0.26}, {40, 0.27}, {4, 0.25}}
Rhynchocyon_petersi, {{100, 0.0}}
Micropotamogale_euwenzorii, {{100, 0.99}}
Hydromys_chrysogaster, {{9, 0.18}, {32, 0.2}, {3, 0.21}, {56, 0.19}}
Hemiechinus_azurites, {{51, 0.72}, {49, 0.71}}
Uncia_uncia, {{67, 0.03}, {33, 0.04}}
Maiacetus, {{100, 1.0}}
Psephoderma, {{100, 1.0}}
Cryptoclidus, {{100, 1.0}}
Alligator, {{100, 1.0}}
Spinosaurus_.11, {{13, 0.15}, {17, 0.18}, {7, 0.2}, {11, 0.17}, {3, 0.12}, {14, 0.16}, {10, 0.13}, {17, 0.14}, {8, 0.19}}
Spinosaurus_.10, {{1, 0.3}, {16, 0.26}, {14, 0.25}, {3, 0.28}, {5, 0.22}, {11, 0.2}, {2, 0.18}, {12, 0.27}, {12, 0.21}, {6, 0.19}, {6, 0.24}, {11, 0.23}, {1, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{87, 0.98}, {8, 0.99}, {5, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{93, 0.98}, {5, 0.99}, {2, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{6, 0.92}, {18, 0.94}, {76, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{4, 0.15}, {31, 0.12}, {6, 0.11}, {40, 0.13}, {1, 0.1}, {17, 0.14}, {1, 0.16}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{4, 0.15}, {28, 0.12}, {4, 0.11}, {42, 0.13}, {1, 0.1}, {20, 0.14}, {1, 0.16}}
Baryonyx, {{100, 1.0}}
Asfaltovenator, {{100, 0.0}}
Tyrannotitan, {{21, 0.28}, {16, 0.3}, {2, 0.32}, {3, 0.26}, {18, 0.27}, {34, 0.29}, {6, 0.31}}
Eudromia_elegans, {{100, 0.0}}
Anas_aucklandica, {{100, 0.0}}
Nestor_notabilis, {{100, 0.0}}
Turdus_olivator, {{100, 0.0}}
Ornithorhynchus_anatinus, {{100, 1.0}}
Euroscaptor_micrura, {{57, 0.22}, {3, 0.24}, {37, 0.23}, {3, 0.21}}
Sus_scrofa, {{100, 0.0}}
Indohyus, {{100, 1.0}}
Basilosaurus, {{100, 1.0}}
Hippopotamus_amphibius, {{93, 0.98}, {7, 0.97}}
Placondontia_indet, {{100, 1.0}}
Nothosaurus_568, {{100, 1.0}}
Plateosaurus, {{100, 0.0}}
Spinosaurus_.11, {{13, 0.26}, {10, 0.25}, {8, 0.28}, {9, 0.22}, {12, 0.2}, {1, 0.18}, {9, 0.27}, {13, 0.21}, {1, 0.19}, {12, 0.24}, {12, 0.23}}
Spinosaurus_.10, {{7, 0.3}, {7, 0.32}, {2, 0.26}, {13, 0.35}, {12, 0.28}, {1, 0.38}, {13, 0.34}, {8, 0.31}, {12, 0.33}, {6, 0.27}, {1, 0.37}, {9, 0.36}, {9, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{1, 0.99}, {99, 1.0}}
Spinosaurus_.6, {{62, 0.98}, {38, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.1, {{52, 0.98}, {48, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{19, 0.92}, {3, 0.94}, {78, 0.93}}
Baryonyx.2, {{71, 0.99}, {29, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{41, 0.03}, {59, 0.02}}
Suchomimus.2, {{18, 0.22}, {3, 0.18}, {33, 0.2}, {2, 0.24}, {6, 0.23}, {28, 0.21}, {10, 0.19}}
Suchomimus.1, {{38, 0.03}, {62, 0.02}}
Suchomimus, {{16, 0.22}, {2, 0.18}, {37, 0.2}, {1, 0.24}, {4, 0.23}, {30, 0.21}, {10, 0.19}}
Baryonyx, {{100, 1.0}}
Torvosaurus, {{25, 0.88}, {11, 0.86}, {64, 0.87}}
Confuciusornis_sanctus, {{100, 0.0}}
Rhynchotus_rufescens_, {{100, 0.0}}
Aramus_guarauna, {{100, 0.0}}
Porphyrio_Poliocephalus, {{100, 0.0}}
Phaeton_aethereus, {{4, 0.0}, {96, 0.01}}
Rynochetus_jubatus, {{100, 0.0}}
Otaria_byronia, {{93, 0.94}, {7, 0.95}}
Phocanella_pumila, {{100, 1.0}}
Felis_felis, {{100, 0.01}}
Rodhocetus, {{3, 0.99}, {97, 1.0}}
Bison_bonasus, {{100, 0.01}}
Serpianosaurus, {{100, 1.0}}
Ramphorynchus, {{7, 0.15}, {1, 0.18}, {33, 0.17}, {59, 0.16}}
Mussaurus, {{22, 0.22}, {26, 0.24}, {8, 0.26}, {3, 0.27}, {19, 0.23}, {18, 0.25}, {4, 0.21}}
Spinosaurus_.11, {{10, 0.28}, {14, 0.22}, {3, 0.2}, {11, 0.24}, {9, 0.26}, {14, 0.27}, {8, 0.29}, {11, 0.25}, {11, 0.23}, {9, 0.21}}
Spinosaurus_.10, {{9, 0.3}, {6, 0.32}, {3, 0.26}, {13, 0.35}, {12, 0.28}, {14, 0.34}, {8, 0.31}, {14, 0.33}, {10, 0.27}, {1, 0.37}, {5, 0.36}, {5, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{34, 0.98}, {66, 0.99}}
