Suchomimus.3, {{90, 0.03}, {2, 0.04}, {8, 0.02}}
Suchomimus.2, {{21, 0.22}, {1, 0.18}, {24, 0.2}, {4, 0.24}, {5, 0.23}, {32, 0.21}, {13, 0.19}}
Suchomimus.1, {{89, 0.03}, {2, 0.04}, {9, 0.02}}
Suchomimus, {{19, 0.22}, {2, 0.18}, {30, 0.2}, {1, 0.24}, {5, 0.23}, {28, 0.21}, {15, 0.19}}
Baryonyx, {{100, 1.0}}
Allosaurus_, {{84, 0.01}, {16, 0.02}}
Avimaia, {{100, 0.0}}
Rhynchotus_rufescens_, {{100, 0.0}}
Crypturellus_tataupa, {{100, 0.0}}
Anser_fabalis, {{100, 0.0}}
Aramus_guarauna, {{100, 0.0}}
Nestor_notabilis, {{100, 0.0}}
Monodelphis_domestica, {{42, 0.95}, {58, 0.96}}
Tamandua_tetradactyla, {{94, 0.96}, {6, 0.97}}
Nanophoca_vitulinoides, {{100, 1.0}}
Vulpes_vulpes, {{100, 0.0}}
Sus_scrofa, {{100, 0.0}}
Rangifer_tarandus, {{100, 0.0}}
Simosaurus_1, {{39, 0.99}, {61, 1.0}}
Rhaeticosaurus, {{100, 1.0}}
Nothosaurus_mirabilis, {{100, 1.0}}
Nothosaurus_150, {{100, 1.0}}
Sphenodon_punctatus, {{100, 0.96}}
Spinosaurus_.11, {{26, 0.12}, {22, 0.11}, {8, 0.09}, {19, 0.13}, {5, 0.14}, {20, 0.1}}
Spinosaurus_.10, {{2, 0.14}, {4, 0.22}, {17, 0.18}, {8, 0.15}, {17, 0.2}, {13, 0.17}, {12, 0.16}, {1, 0.23}, {10, 0.21}, {16, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{96, 0.98}, {4, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{34, 0.98}, {66, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{6, 0.92}, {55, 0.91}, {36, 0.9}, {3, 0.89}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{6, 0.04}, {4, 0.07}, {34, 0.06}, {56, 0.05}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{13, 0.07}, {61, 0.06}, {26, 0.05}}
Baryonyx, {{100, 1.0}}
Apteryx_australis, {{100, 0.0}}
Apteryx_owenii_, {{100, 0.0}}
Turdus_olivator, {{100, 0.0}}
Xenicus_giliventris, {{100, 0.0}}
Glareola_pratincola, {{100, 0.0}}
Micropotamogale_euwenzorii, {{71, 0.99}, {29, 1.0}}
Hemiechinus_azurites, {{85, 0.78}, {15, 0.77}}
Phocanella_pumila, {{100, 1.0}}
Basilosaurus, {{100, 1.0}}
Bos_taurus, {{37, 0.28}, {15, 0.26}, {44, 0.27}, {3, 0.29}, {1, 0.25}}
Simosaurus, {{100, 1.0}}
Cryptoclidus, {{100, 1.0}}
Nothosaurus_568, {{100, 1.0}}
Fruitadens, {{100, 0.01}}
Spinosaurus_.11, {{1, 0.14}, {8, 0.22}, {10, 0.18}, {4, 0.15}, {16, 0.2}, {14, 0.17}, {6, 0.16}, {4, 0.23}, {15, 0.21}, {22, 0.19}}
Spinosaurus_.10, {{15, 0.3}, {4, 0.32}, {7, 0.26}, {8, 0.25}, {11, 0.28}, {3, 0.22}, {7, 0.31}, {1, 0.33}, {14, 0.27}, {1, 0.21}, {12, 0.24}, {6, 0.23}, {11, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{95, 0.98}, {5, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{81, 0.98}, {19, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{31, 0.94}, {5, 0.92}, {64, 0.93}}
