"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","2","100","0.54"
"Spinosaurus_.10","UNKNOWN","2","100","0.55"
"Spinosaurus_.9","UNKNOWN","2","100","0.9"
"Spinosaurus_.8","UNKNOWN","2","100","0.87"
"Spinosaurus_.7","UNKNOWN","2","100","0.84"
"Spinosaurus_.6","UNKNOWN","2","100","0.78"
"Spinosaurus_.5","UNKNOWN","2","100","0.93"
"Spinosaurus_.4","UNKNOWN","2","100","0.89"
"Spinosaurus_.3","UNKNOWN","2","100","0.86"
"Spinosaurus_.2","UNKNOWN","2","100","0.82"
"Spinosaurus_.1","UNKNOWN","2","100","0.76"
"Spinosaurus_","UNKNOWN","2","100","0.92"
"Baryonyx.3","UNKNOWN","2","100","0.74"
"Baryonyx.2","UNKNOWN","2","100","0.83"
"Baryonyx.1","UNKNOWN","2","100","0.89"
"Suchomimus.3","UNKNOWN","0","0","0.46"
"Suchomimus.2","UNKNOWN","2","100","0.57"
"Suchomimus.1","UNKNOWN","0","0","0.45"
"Suchomimus","UNKNOWN","2","100","0.56"
"Baryonyx","UNKNOWN","2","100","0.88"
