"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.9"
"Loxodonta_africana","0","2","100","0.94"
"Procavia_capensis","0","2","100","0.52"
"Mustela_nivalis","0","0","0","0.25"
"Nyctereutes_procyonoides","0","0","0","0.33"
"Vulpes_vulpes","0","0","0","0.14"
"Felis_felis","0","0","0","0.16"
"Dicerorhinus_sumatrensis","0","2","100","0.8"
"Maiacetus","2","2","100","0.98"
"Choeropsis_liberiensis","2","2","100","0.77"
"Nothosaurus_giganteus","2","2","100","0.61"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","65","0.5"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"2","100","0.51"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","55","0.5"
"Baryonyx",NA,"2","100","0.95"
"Rynochetus_jubatus","0","0","0","0.03"
