"","actual class","predicted class","N","median P(diving)"
"Callophoca_obscura","2","2","100","0.69"
"Nanophoca_vitulinoides","2","2","100","0.98"
"Phocanella_pumila","2","2","100","0.98"
"Lama_guanicoe","0","0","0","0.07"
"Okapia_johnstoni","0","0","0","0.415"
"Capreolus_capreolus","0","0","0","0.08"
"Psephoderma","2","2","100","0.92"
"Paraplacodus","2","2","100","1"
"Serpianosaurus","2","2","100","1"
"Simosaurus_1","2","2","100","0.76"
"Dyrosaurid","2","0","0","0.26"
"Spinosaurus_.11",NA,"0","0","0.45"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.95"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.96"
"Phalacrocorax_harrisi","2","0","0","0.32"
