"","actual class","predicted class","N","median P(diving)"
"Dasyurus_maculatus","0","2","100","0.66"
"Dicerorhinus_sumatrensis","0","2","100","0.8"
"Bos_taurus","0","2","100","0.62"
"Capreolus_capreolus","0","0","0","0.11"
"Alces_americanus","0","0","0","0.38"
"Champsosaurus","2","2","100","0.96"
"Ichtyosaur_sp","2","2","100","0.87"
"Rhaeticosaurus","2","2","100","0.99"
"Nothosaurus_mirabilis","2","2","100","0.93"
"Sphenodon_punctatus","0","2","100","0.7"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","85","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","100","0.51"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","58","0.5"
"Baryonyx",NA,"2","100","0.95"
"Raphus","0","0","0","0.24"
"large_eocene_stem_penguin","2","2","100","0.98"
