"","actual class","predicted class","N","median P(diving)"
"Micropotamogale_euwenzorii","2","2","100","0.81"
"Noemys_fodies","2","0","0","0.45"
"Desmana_moschata","2","2","100","0.89"
"Euroscaptor_micrura","0","0","0","0.36"
"Taxidea_taxus","0","2","100","0.52"
"Leptophoca_proxima","2","2","100","0.68"
"Paguma_larvata","0","0","0","0.4"
"Sus_scrofa","0","0","0","0.22"
"Rhaeticosaurus","2","2","100","0.99"
"Plesiosaurus","2","2","100","0.97"
"Protochampsidae","2","0","0","0.24"
"Spinosaurus_.11",NA,"0","0","0.45"
"Spinosaurus_.10",NA,"0","14","0.49"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.34"
"Suchomimus.2",NA,"2","100","0.52"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","78","0.5"
"Baryonyx",NA,"2","100","0.95"
"Aptenodytes______","2","2","100","0.9"
