Dasyurus_maculatus, {{1, 0.66}, {99, 0.65}}
Nanophoca_vitulinoides, {{100, 1.0}}
Felis_felis, {{64, 0.01}, {36, 0.02}}
Uncia_uncia, {{36, 0.12}, {64, 0.13}}
Choeropsis_liberiensis, {{100, 0.7}}
Ichtyosaur_sp, {{32, 0.76}, {7, 0.78}, {55, 0.77}, {6, 0.75}}
Nothosaurus_mirabilis, {{100, 1.0}}
Lacerta_viridis, {{4, 0.5}, {84, 0.49}, {12, 0.48}}
Poposaurus, {{100, 0.0}}
Cricosaurus, {{100, 1.0}}
Pterosaur_Tremp, {{100, 0.0}}
Plateosaurus, {{21, 0.0}, {79, 0.01}}
Antetonitrus, {{18, 0.47}, {22, 0.5}, {5, 0.46}, {6, 0.51}, {22, 0.49}, {27, 0.48}}
Alamosaurus, {{30, 0.68}, {34, 0.67}, {30, 0.66}, {5, 0.69}, {1, 0.65}}
Spinosaurus_.11, {{23, 0.28}, {3, 0.3}, {8, 0.24}, {22, 0.26}, {21, 0.27}, {8, 0.29}, {14, 0.25}, {1, 0.23}}
Spinosaurus_.10, {{10, 0.3}, {16, 0.33}, {4, 0.36}, {16, 0.34}, {25, 0.32}, {13, 0.31}, {1, 0.29}, {15, 0.35}}
Spinosaurus_.9, {{81, 0.99}, {19, 1.0}}
Spinosaurus_.8, {{100, 0.99}}
Spinosaurus_.7, {{52, 0.96}, {48, 0.97}}
Spinosaurus_.6, {{29, 0.88}, {1, 0.86}, {50, 0.89}, {20, 0.87}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.3, {{100, 0.99}}
Spinosaurus_.2, {{100, 0.97}}
Spinosaurus_.1, {{37, 0.91}, {43, 0.9}, {20, 0.89}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{9, 0.76}, {32, 0.74}, {59, 0.75}}
Baryonyx.2, {{100, 0.95}}
Baryonyx.1, {{100, 0.99}}
Suchomimus.3, {{99, 0.04}, {1, 0.05}}
Suchomimus.2, {{45, 0.18}, {42, 0.17}, {8, 0.16}, {5, 0.19}}
Suchomimus.1, {{78, 0.04}, {22, 0.05}}
Suchomimus, {{45, 0.18}, {7, 0.2}, {1, 0.17}, {47, 0.19}}
Baryonyx, {{100, 0.99}}
