"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.31"
"Spinosaurus_.10","UNKNOWN","0","0","0.34"
"Spinosaurus_.9","UNKNOWN","2","100","0.97"
"Spinosaurus_.8","UNKNOWN","2","100","0.95"
"Spinosaurus_.7","UNKNOWN","2","100","0.91"
"Spinosaurus_.6","UNKNOWN","2","100","0.82"
"Spinosaurus_.5","UNKNOWN","2","100","0.99"
"Spinosaurus_.4","UNKNOWN","2","100","0.97"
"Spinosaurus_.3","UNKNOWN","2","100","0.94"
"Spinosaurus_.2","UNKNOWN","2","100","0.9"
"Spinosaurus_.1","UNKNOWN","2","100","0.79"
"Spinosaurus_","UNKNOWN","2","100","0.99"
"Baryonyx.3","UNKNOWN","2","100","0.73"
"Baryonyx.2","UNKNOWN","2","100","0.9"
"Baryonyx.1","UNKNOWN","2","100","0.97"
"Suchomimus.3","UNKNOWN","0","0","0.17"
"Suchomimus.2","UNKNOWN","0","0","0.36"
"Suchomimus.1","UNKNOWN","0","0","0.16"
"Suchomimus","UNKNOWN","0","0","0.34"
"Baryonyx","UNKNOWN","2","100","0.96"
