Dasyurus_maculatus, {{22, 0.66}, {78, 0.65}}
Microgale_thomasi, {{44, 0.06}, {56, 0.05}}
Desmana_moschata, {{100, 0.99}}
Taxidea_taxus, {{68, 0.34}, {31, 0.33}, {1, 0.35}}
Procyon_lotor, {{37, 0.18}, {1, 0.2}, {62, 0.19}}
Leptophoca_proxima, {{43, 0.5}, {57, 0.49}}
Nyctereutes_procyonoides, {{66, 0.12}, {33, 0.11}, {1, 0.13}}
Tapirus_terrestris, {{67, 0.26}, {11, 0.27}, {22, 0.25}}
Ceratotherium_simum, {{49, 0.86}, {51, 0.87}}
Placodontia_indet_1, {{100, 1.0}}
Rhaeticosaurus, {{100, 1.0}}
Alligator, {{100, 0.98}}
Stegosaurus_sp, {{84, 0.96}, {16, 0.97}}
Spinosaurus_.11, {{16, 0.28}, {17, 0.3}, {3, 0.24}, {15, 0.26}, {17, 0.27}, {20, 0.29}, {9, 0.31}, {3, 0.25}}
Spinosaurus_.10, {{9, 0.37}, {3, 0.3}, {4, 0.38}, {17, 0.34}, {19, 0.36}, {10, 0.33}, {12, 0.32}, {7, 0.31}, {18, 0.35}, {1, 0.39}}
Spinosaurus_.9, {{54, 0.99}, {46, 1.0}}
Spinosaurus_.8, {{100, 0.99}}
Spinosaurus_.7, {{12, 0.96}, {88, 0.97}}
Spinosaurus_.6, {{20, 0.88}, {1, 0.91}, {42, 0.9}, {35, 0.89}, {2, 0.87}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{2, 0.99}, {98, 1.0}}
Spinosaurus_.3, {{100, 0.99}}
Spinosaurus_.2, {{13, 0.98}, {87, 0.97}}
Spinosaurus_.1, {{15, 0.92}, {46, 0.91}, {32, 0.9}, {7, 0.89}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{20, 0.76}, {21, 0.78}, {2, 0.79}, {55, 0.77}, {2, 0.75}}
Baryonyx.2, {{43, 0.95}, {57, 0.96}}
Baryonyx.1, {{100, 0.99}}
Suchomimus.3, {{32, 0.04}, {68, 0.05}}
Suchomimus.2, {{7, 0.18}, {38, 0.2}, {15, 0.21}, {40, 0.19}}
Suchomimus.1, {{6, 0.04}, {4, 0.06}, {90, 0.05}}
Suchomimus, {{16, 0.22}, {40, 0.2}, {1, 0.23}, {39, 0.21}, {4, 0.19}}
Baryonyx, {{100, 0.99}}
Oviraptor_, {{100, 0.0}}
Apteryx_owenii_, {{20, 0.01}, {80, 0.02}}
Dromaius_, {{100, 0.0}}
Crypturellus_tataupa, {{57, 0.01}, {43, 0.02}}
Anas_erythroincha, {{48, 0.1}, {52, 0.09}}
Procavia_capensis, {{8, 0.43}, {3, 0.45}, {89, 0.44}}
Desmostylus_hesperus, {{64, 0.03}, {36, 0.04}}
Tenrec_ecaudatus, {{94, 0.91}, {6, 0.9}}
Diplomesodon_pulchellum, {{37, 0.88}, {63, 0.87}}
Vulpes_vulpes, {{99, 0.01}, {1, 0.02}}
Dicerorhinus_sumatrensis, {{40, 0.61}, {1, 0.63}, {59, 0.62}}
Megaloceros_sp, {{70, 0.0}, {30, 0.01}}
Pistosaurus, {{100, 1.0}}
Metryorhynchus, {{99, 0.98}, {1, 0.97}}
Spinosaurus_.11, {{13, 0.28}, {3, 0.22}, {21, 0.24}, {26, 0.26}, {16, 0.27}, {3, 0.23}, {17, 0.25}, {1, 0.29}}
Spinosaurus_.10, {{7, 0.28}, {11, 0.3}, {18, 0.33}, {10, 0.34}, {22, 0.32}, {17, 0.31}, {1, 0.27}, {12, 0.29}, {2, 0.35}}
Spinosaurus_.9, {{100, 0.99}}
Spinosaurus_.8, {{72, 0.98}, {28, 0.99}}
Spinosaurus_.7, {{49, 0.95}, {51, 0.96}}
Spinosaurus_.6, {{30, 0.85}, {43, 0.86}, {11, 0.84}, {1, 0.83}, {15, 0.87}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 0.99}}
Spinosaurus_.3, {{1, 0.98}, {99, 0.99}}
