"","actual class","predicted class","N","median P(diving)"
"Micropotamogale_euwenzorii","2","2","100","0.83"
"Tenrec_ecaudatus","0","2","100","0.77"
"Hydromys_chrysogaster","2","0","0","0.49"
"Diplomesodon_pulchellum","0","2","100","0.6"
"Vulpes_vulpes","0","0","0","0.14"
"Paguma_larvata","0","0","0","0.4"
"Basilosaurus","2","2","100","0.96"
"Bison_bonasus","0","0","0","0.23"
"Rangifer_tarandus","0","0","0","0.08"
"Simosaurus","2","2","100","0.96"
"Protochampsidae","2","0","0","0.22"
"Spinosaurus_.11",NA,"0","0","0.43"
"Spinosaurus_.10",NA,"0","0","0.465"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.8"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.76"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.285"
"Suchomimus.2",NA,"0","0","0.465"
"Suchomimus.1",NA,"0","0","0.28"
"Suchomimus",NA,"0","0","0.45"
"Baryonyx",NA,"2","100","0.94"
"Porphyrio_hochstetteri","0","0","0","0.09"
