Casuarius_casuarius, {{5, {{46, 6, 5, 26}, 0.04}}, {6, {{47, 6, 4, 26}, 0.04}}, {88, {{46, 6, 5, 26}, 0.05}}, {1, {{47, 6, 4, 26}, 0.05}}}
Eudyptes_chrysocome, {{93, {{46, 6, 5, 26}, 0.97}}, {7, {{47, 6, 4, 26}, 0.97}}}
Rhynchocyon_petersi, {{93, {{46, 6, 5, 26}, 0.12}}, {7, {{47, 6, 4, 26}, 0.12}}}
Lepus_europaeus, {{4, {{46, 6, 5, 26}, 0.16}}, {6, {{47, 6, 4, 26}, 0.16}}, {89, {{46, 6, 5, 26}, 0.17}}, {1, {{47, 6, 4, 26}, 0.17}}}
Dasyprocta__punctata, {{93, {{46, 6, 5, 26}, 0.0}}, {7, {{47, 6, 4, 26}, 0.0}}}
Genetta_genetta, {{93, {{46, 6, 5, 26}, 0.03}}, {7, {{47, 6, 4, 26}, 0.03}}}
Hemitragus_jayakari, {{93, {{46, 6, 5, 26}, 0.02}}, {7, {{47, 6, 4, 26}, 0.02}}}
Crocodylus_sp., {{100, {{51, 6, 4, 22}, 1.0}}}
Baryonyx.1, {{1, {{51, 6, 4, 22}, 0.99}}, {99, {{51, 6, 4, 22}, 1.0}}}
Spinosaurus.3, {{100, {{51, 6, 4, 22}, 1.0}}}
Spinosaurus.2, {{100, {{51, 6, 4, 22}, 1.0}}}
Spinosaurus.1, {{96, {{51, 6, 4, 22}, 0.99}}, {4, {{51, 6, 4, 22}, 1.0}}}
Baryonyx, {{100, {{51, 6, 4, 22}, 1.0}}}
Spinosaurus, {{100, {{51, 6, 4, 22}, 1.0}}}
Ornithorhynchus_anatinus, {{100, {{51, 6, 4, 22}, 1.0}}}
Dugong_dugon, {{100, {{51, 6, 4, 22}, 1.0}}}
Gorilla_gorilla, {{100, {{51, 6, 4, 22}, 0.0}}}
Apodemus_sp., {{100, {{51, 6, 4, 22}, 0.01}}}
Crocidura_russula, {{56, {{51, 6, 4, 22}, 0.02}}, {44, {{51, 6, 4, 22}, 0.01}}}
Lutra_vulgaris, {{100, {{51, 6, 4, 22}, 0.99}}}
Hippopotamus_amphibius, {{76, {{51, 6, 4, 22}, 0.91}}, {24, {{51, 6, 4, 22}, 0.92}}}
Dorudon, {{100, {{51, 6, 4, 22}, 1.0}}}
Baryonyx.1, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus.3, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus.2, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{47, 5, 4, 27}, 1.0}}}
Baryonyx, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{47, 5, 4, 27}, 1.0}}}
Zaglossus_bruijni, {{100, {{47, 5, 4, 27}, 0.0}}}
Monodelphis_domestica, {{100, {{47, 5, 4, 27}, 0.01}}}
Sciurus_vulgaris, {{100, {{47, 5, 4, 27}, 0.0}}}
Galemys_pyrenaicus, {{100, {{47, 5, 4, 27}, 0.0}}}
Martes_foina, {{92, {{47, 5, 4, 27}, 0.01}}, {8, {{47, 5, 4, 27}, 0.0}}}
Equus_caballus, {{55, {{47, 5, 4, 27}, 0.05}}, {45, {{47, 5, 4, 27}, 0.04}}}
Rodhocetus, {{100, {{47, 5, 4, 27}, 1.0}}}
Cervus_elaphus_canadensis, {{100, {{47, 5, 4, 27}, 0.0}}}
Capreolus_capreolus, {{100, {{47, 5, 4, 27}, 0.0}}}
Baryonyx.1, {{100, {{50, 5, 2, 26}, 1.0}}}
Spinosaurus.3, {{100, {{50, 5, 2, 26}, 1.0}}}
Spinosaurus.2, {{100, {{50, 5, 2, 26}, 1.0}}}
Spinosaurus.1, {{100, {{50, 5, 2, 26}, 1.0}}}
Baryonyx, {{100, {{50, 5, 2, 26}, 1.0}}}
Spinosaurus, {{100, {{50, 5, 2, 26}, 1.0}}}
Apteryx_owenii, {{100, {{50, 5, 2, 26}, 0.44}}}
