Spinosaurus.1, {{100, {{47, 5, 4, 27}, 1.0}}}
Baryonyx, {{100, {{47, 5, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{47, 5, 4, 27}, 1.0}}}
Struthio_camelus, {{100, {{47, 5, 4, 27}, 0.01}}}
Apteryx_owenii, {{98, {{47, 5, 4, 27}, 0.42}}, {2, {{47, 5, 4, 27}, 0.41}}}
Aptenodytes_patagonicus, {{1, {{47, 5, 4, 27}, 0.7}}, {99, {{47, 5, 4, 27}, 0.69}}}
Choloepus_didactylus, {{100, {{47, 5, 4, 27}, 0.0}}}
Myocastor_coypus, {{100, {{47, 5, 4, 27}, 0.01}}}
Felis_silvestris, {{100, {{47, 5, 4, 27}, 0.01}}}
Martes_foina, {{100, {{47, 5, 4, 27}, 0.01}}}
Rangifer_tarandus, {{76, {{47, 5, 4, 27}, 0.25}}, {24, {{47, 5, 4, 27}, 0.26}}}
Bison_bonasus, {{100, {{47, 5, 4, 27}, 0.0}}}
Ceresiosaurus, {{100, {{48, 6, 4, 25}, 1.0}}}
Baryonyx.1, {{100, {{48, 6, 4, 25}, 0.99}}}
Spinosaurus.3, {{100, {{48, 6, 4, 25}, 0.99}}}
Spinosaurus.2, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{48, 6, 4, 25}, 0.99}}}
Baryonyx, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 4, 25}, 1.0}}}
Macropus_rufus, {{96, {{48, 6, 4, 25}, 0.36}}, {4, {{48, 6, 4, 25}, 0.35}}}
Tenrec_ecaudatus, {{1, {{48, 6, 4, 25}, 0.17}}, {99, {{48, 6, 4, 25}, 0.18}}}
Dugong_dugon, {{100, {{48, 6, 4, 25}, 1.0}}}
Sciurus_vulgaris, {{23, {{48, 6, 4, 25}, 0.04}}, {77, {{48, 6, 4, 25}, 0.03}}}
Rattus_rattus, {{89, {{48, 6, 4, 25}, 0.29}}, {11, {{48, 6, 4, 25}, 0.3}}}
Mustela_nivalis, {{94, {{48, 6, 4, 25}, 0.26}}, {6, {{48, 6, 4, 25}, 0.25}}}
Hippopotamus_amphibius, {{8, {{48, 6, 4, 25}, 0.89}}, {92, {{48, 6, 4, 25}, 0.88}}}
Capra_aegagrus, {{100, {{48, 6, 4, 25}, 0.58}}}
Carentonosaurus_mineaui, {{100, {{49, 6, 4, 24}, 1.0}}}
Baryonyx.1, {{100, {{49, 6, 4, 24}, 0.99}}}
Spinosaurus.3, {{100, {{49, 6, 4, 24}, 0.99}}}
Spinosaurus.2, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.1, {{100, {{49, 6, 4, 24}, 0.99}}}
Baryonyx, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 4, 24}, 1.0}}}
Spheniscus_humboldti, {{100, {{49, 6, 4, 24}, 0.99}}}
Orycteropus_afer, {{100, {{49, 6, 4, 24}, 0.0}}}
Microgale_thomasi, {{100, {{49, 6, 4, 24}, 0.04}}}
Procavia_capensis, {{100, {{49, 6, 4, 24}, 0.01}}}
Panthera_leo_persica, {{100, {{49, 6, 4, 24}, 0.0}}}
Vulpes_vulpes, {{100, {{49, 6, 4, 24}, 0.0}}}
Lutra_vulgaris, {{100, {{49, 6, 4, 24}, 0.98}}}
Dorudon, {{100, {{49, 6, 4, 24}, 1.0}}}
Crocodylus_sp., {{100, {{51, 5, 2, 25}, 1.0}}}
Baryonyx.1, {{96, {{51, 5, 2, 25}, 1.0}}, {4, {{51, 5, 2, 25}, 0.99}}}
Spinosaurus.3, {{100, {{51, 5, 2, 25}, 1.0}}}
Spinosaurus.2, {{100, {{51, 5, 2, 25}, 1.0}}}
Spinosaurus.1, {{39, {{51, 5, 2, 25}, 1.0}}, {61, {{51, 5, 2, 25}, 0.99}}}
Baryonyx, {{100, {{51, 5, 2, 25}, 1.0}}}
Spinosaurus, {{100, {{51, 5, 2, 25}, 1.0}}}
Rhynchocyon_petersi, {{95, {{51, 5, 2, 25}, 0.03}}, {5, {{51, 5, 2, 25}, 0.02}}}
Castor_fiber, {{100, {{51, 5, 2, 25}, 1.0}}}
Hemiechinus_azurites, {{100, {{51, 5, 2, 25}, 0.0}}}
Diplomesodon_pulchellum, {{44, {{51, 5, 2, 25}, 0.27}}, {56, {{51, 5, 2, 25}, 0.28}}}
Tapirus_indicus, {{100, {{51, 5, 2, 25}, 0.0}}}
Tapirus_terrestris, {{76, {{51, 5, 2, 25}, 0.5}}, {24, {{51, 5, 2, 25}, 0.51}}}
Capreolus_capreolus, {{100, {{51, 5, 2, 25}, 0.0}}}
Ovis_aries, {{100, {{51, 5, 2, 25}, 0.0}}}
Nothosaurus_sp., {{100, {{48, 6, 4, 25}, 1.0}}}
Baryonyx.1, {{60, {{48, 6, 4, 25}, 0.99}}, {40, {{48, 6, 4, 25}, 0.98}}}
Spinosaurus.3, {{100, {{48, 6, 4, 25}, 0.99}}}
Spinosaurus.2, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{48, 6, 4, 25}, 0.98}}}
Baryonyx, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 4, 25}, 1.0}}}
Gorilla_gorilla, {{100, {{48, 6, 4, 25}, 0.0}}}
Euroscaptor_micrura, {{63, {{48, 6, 4, 25}, 0.11}}, {37, {{48, 6, 4, 25}, 0.1}}}
Erinaceus_europaeus, {{64, {{48, 6, 4, 25}, 0.02}}, {36, {{48, 6, 4, 25}, 0.01}}}
Noemys_fodies, {{100, {{48, 6, 4, 25}, 0.78}}}
Genetta_genetta, {{82, {{48, 6, 4, 25}, 0.02}}, {18, {{48, 6, 4, 25}, 0.03}}}
Enhydra_lutris, {{100, {{48, 6, 4, 25}, 0.99}}}
Giraffa_camelopardalis, {{100, {{48, 6, 4, 25}, 0.0}}}
Cervus_elaphus_canadensis, {{100, {{48, 6, 4, 25}, 0.0}}}
