Rhynchocyon_petersi, {{100, {{51, 3, 2, 27}, 0.0}}}
Sciurus_vulgaris, {{100, {{51, 3, 2, 27}, 0.0}}}
Myocastor_coypus, {{100, {{51, 3, 2, 27}, 0.0}}}
Galemys_pyrenaicus, {{100, {{51, 3, 2, 27}, 0.0}}}
Mustela_nivalis, {{100, {{51, 3, 2, 27}, 0.01}}}
Equus_caballus, {{100, {{51, 3, 2, 27}, 0.0}}}
Tapirus_indicus, {{100, {{51, 3, 2, 27}, 0.0}}}
Baryonyx.1, {{100, {{49, 6, 3, 25}, 1.0}}}
Spinosaurus.3, {{100, {{49, 6, 3, 25}, 1.0}}}
Spinosaurus.2, {{100, {{49, 6, 3, 25}, 1.0}}}
Spinosaurus.1, {{54, {{49, 6, 3, 25}, 0.99}}, {46, {{49, 6, 3, 25}, 1.0}}}
Baryonyx, {{100, {{49, 6, 3, 25}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 3, 25}, 1.0}}}
Atlantisia_rogersi, {{42, {{49, 6, 3, 25}, 0.27}}, {58, {{49, 6, 3, 25}, 0.28}}}
Eudyptes_chrysocome, {{100, {{49, 6, 3, 25}, 0.99}}}
Vombatus_ursinus, {{99, {{49, 6, 3, 25}, 0.97}}, {1, {{49, 6, 3, 25}, 0.98}}}
Procavia_capensis, {{100, {{49, 6, 3, 25}, 0.0}}}
Galagoides_demidovii, {{100, {{49, 6, 3, 25}, 0.0}}}
Hydromys_chrysogaster, {{63, {{49, 6, 3, 25}, 0.97}}, {37, {{49, 6, 3, 25}, 0.96}}}
Euroscaptor_micrura, {{100, {{49, 6, 3, 25}, 0.06}}}
Camelus_bactrianus, {{100, {{49, 6, 3, 25}, 0.01}}}
Hippopotamus_amphibius, {{10, {{49, 6, 3, 25}, 0.93}}, {90, {{49, 6, 3, 25}, 0.92}}}
Neusticosaurus, {{100, {{50, 5, 4, 24}, 1.0}}}
Baryonyx.1, {{100, {{50, 5, 4, 24}, 0.99}}}
Spinosaurus.3, {{100, {{50, 5, 4, 24}, 0.99}}}
Spinosaurus.2, {{100, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus.1, {{100, {{50, 5, 4, 24}, 0.99}}}
Baryonyx, {{100, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{50, 5, 4, 24}, 1.0}}}
Didelphis_sp., {{100, {{50, 5, 4, 24}, 0.0}}}
Lepus_europaeus, {{16, {{50, 5, 4, 24}, 0.11}}, {84, {{50, 5, 4, 24}, 0.1}}}
Castor_fiber, {{100, {{50, 5, 4, 24}, 0.98}}}
Desmana_moschata, {{100, {{50, 5, 4, 24}, 0.97}}}
Erinaceus_europaeus, {{100, {{50, 5, 4, 24}, 0.01}}}
Enhydra_lutris, {{100, {{50, 5, 4, 24}, 0.99}}}
Neovison_vison, {{95, {{50, 5, 4, 24}, 0.09}}, {5, {{50, 5, 4, 24}, 0.08}}}
Bison_bonasus, {{100, {{50, 5, 4, 24}, 0.0}}}
Crocodylus_sp., {{100, {{47, 6, 3, 27}, 1.0}}}
Baryonyx.1, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus.3, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus.2, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus.1, {{7, {{47, 6, 3, 27}, 1.0}}, {93, {{47, 6, 3, 27}, 0.99}}}
Baryonyx, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 3, 27}, 1.0}}}
Apteryx_owenii, {{85, {{47, 6, 3, 27}, 0.49}}, {15, {{47, 6, 3, 27}, 0.48}}}
Tachyglossus_aculeatus_setosus, {{100, {{47, 6, 3, 27}, 0.01}}}
Cercopithecus_mona, {{100, {{47, 6, 3, 27}, 0.0}}}
Rattus_rattus, {{16, {{47, 6, 3, 27}, 0.16}}, {84, {{47, 6, 3, 27}, 0.17}}}
Ursus_spelaeus, {{100, {{47, 6, 3, 27}, 0.97}}}
Capreolus_capreolus, {{100, {{47, 6, 3, 27}, 0.0}}}
Bison_bison, {{100, {{47, 6, 3, 27}, 0.03}}}
Hemitragus_jayakari, {{100, {{47, 6, 3, 27}, 0.0}}}
Serpianosaurus, {{100, {{50, 5, 4, 24}, 1.0}}}
Baryonyx.1, {{38, {{50, 5, 4, 24}, 0.99}}, {62, {{50, 5, 4, 24}, 0.98}}}
