Spinosaurus.3, {{100, {{54, 8, 4, 26}, 0.99}}}
Spinosaurus.2, {{100, {{54, 8, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{54, 8, 4, 26}, 0.98}}}
Baryonyx, {{100, {{54, 8, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{54, 8, 4, 26}, 1.0}}}
Baryonyx.1, {{100, {{52, 8, 6, 26}, 0.98}}}
Spinosaurus.3, {{23, {{52, 8, 6, 26}, 0.97}}, {77, {{52, 8, 6, 26}, 0.98}}}
Spinosaurus.2, {{100, {{52, 8, 6, 26}, 1.0}}}
Spinosaurus.1, {{10, {{52, 8, 6, 26}, 0.97}}, {90, {{52, 8, 6, 26}, 0.98}}}
Baryonyx, {{100, {{52, 8, 6, 26}, 1.0}}}
Spinosaurus, {{100, {{52, 8, 6, 26}, 1.0}}}
Baryonyx.1, {{100, {{55, 6, 3, 28}, 0.99}}}
Spinosaurus.3, {{100, {{55, 6, 3, 28}, 0.99}}}
Spinosaurus.2, {{100, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus.1, {{100, {{55, 6, 3, 28}, 0.99}}}
Baryonyx, {{100, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus, {{100, {{55, 6, 3, 28}, 1.0}}}
Baryonyx.1, {{100, {{53, 9, 5, 25}, 0.96}}}
Spinosaurus.3, {{92, {{53, 9, 5, 25}, 0.96}}, {8, {{53, 9, 5, 25}, 0.97}}}
Spinosaurus.2, {{100, {{53, 9, 5, 25}, 1.0}}}
Spinosaurus.1, {{91, {{53, 9, 5, 25}, 0.96}}, {9, {{53, 9, 5, 25}, 0.95}}}
Baryonyx, {{100, {{53, 9, 5, 25}, 1.0}}}
Spinosaurus, {{31, {{53, 9, 5, 25}, 1.0}}, {69, {{53, 9, 5, 25}, 0.99}}}
Baryonyx.1, {{100, {{52, 3, 6, 31}, 0.98}}}
Spinosaurus.3, {{100, {{52, 3, 6, 31}, 0.98}}}
Spinosaurus.2, {{100, {{52, 3, 6, 31}, 1.0}}}
Spinosaurus.1, {{100, {{52, 3, 6, 31}, 0.97}}}
Baryonyx, {{100, {{52, 3, 6, 31}, 1.0}}}
Spinosaurus, {{100, {{52, 3, 6, 31}, 1.0}}}
Baryonyx.1, {{100, {{51, 8, 7, 26}, 0.95}}}
Spinosaurus.3, {{4, {{51, 8, 7, 26}, 0.96}}, {96, {{51, 8, 7, 26}, 0.95}}}
Spinosaurus.2, {{100, {{51, 8, 7, 26}, 1.0}}}
Spinosaurus.1, {{87, {{51, 8, 7, 26}, 0.94}}, {13, {{51, 8, 7, 26}, 0.95}}}
Baryonyx, {{100, {{51, 8, 7, 26}, 1.0}}}
Spinosaurus, {{100, {{51, 8, 7, 26}, 1.0}}}
Baryonyx.1, {{100, {{57, 6, 1, 28}, 0.96}}}
Spinosaurus.3, {{100, {{57, 6, 1, 28}, 0.96}}}
Spinosaurus.2, {{100, {{57, 6, 1, 28}, 1.0}}}
Spinosaurus.1, {{100, {{57, 6, 1, 28}, 0.96}}}
Baryonyx, {{100, {{57, 6, 1, 28}, 1.0}}}
Spinosaurus, {{100, {{57, 6, 1, 28}, 1.0}}}
Baryonyx.1, {{100, {{56, 7, 2, 27}, 0.99}}}
Spinosaurus.3, {{100, {{56, 7, 2, 27}, 0.99}}}
Spinosaurus.2, {{100, {{56, 7, 2, 27}, 1.0}}}
Spinosaurus.1, {{100, {{56, 7, 2, 27}, 0.99}}}
Baryonyx, {{100, {{56, 7, 2, 27}, 1.0}}}
Spinosaurus, {{100, {{56, 7, 2, 27}, 1.0}}}
Baryonyx.1, {{100, {{55, 7, 3, 27}, 1.0}}}
Spinosaurus.3, {{100, {{55, 7, 3, 27}, 1.0}}}
Spinosaurus.2, {{100, {{55, 7, 3, 27}, 1.0}}}
Spinosaurus.1, {{100, {{55, 7, 3, 27}, 1.0}}}
Baryonyx, {{100, {{55, 7, 3, 27}, 1.0}}}
Spinosaurus, {{100, {{55, 7, 3, 27}, 1.0}}}
Baryonyx.1, {{100, {{51, 6, 7, 28}, 0.98}}}
Spinosaurus.3, {{100, {{51, 6, 7, 28}, 0.98}}}
Spinosaurus.2, {{100, {{51, 6, 7, 28}, 1.0}}}
Spinosaurus.1, {{100, {{51, 6, 7, 28}, 0.98}}}
Baryonyx, {{100, {{51, 6, 7, 28}, 1.0}}}
Spinosaurus, {{100, {{51, 6, 7, 28}, 1.0}}}
Baryonyx.1, {{100, {{56, 8, 2, 26}, 0.99}}}
Spinosaurus.3, {{93, {{56, 8, 2, 26}, 0.99}}, {7, {{56, 8, 2, 26}, 1.0}}}
Spinosaurus.2, {{100, {{56, 8, 2, 26}, 1.0}}}
Spinosaurus.1, {{100, {{56, 8, 2, 26}, 0.99}}}
Baryonyx, {{100, {{56, 8, 2, 26}, 1.0}}}
Spinosaurus, {{100, {{56, 8, 2, 26}, 1.0}}}
Baryonyx.1, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.3, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.2, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.1, {{100, {{56, 5, 2, 29}, 1.0}}}
Baryonyx, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus, {{100, {{56, 5, 2, 29}, 1.0}}}
Baryonyx.1, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.3, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.2, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus.1, {{100, {{56, 5, 2, 29}, 1.0}}}
Baryonyx, {{100, {{56, 5, 2, 29}, 1.0}}}
Spinosaurus, {{100, {{56, 5, 2, 29}, 1.0}}}
Baryonyx.1, {{100, {{55, 6, 3, 28}, 0.97}}}
Spinosaurus.3, {{100, {{55, 6, 3, 28}, 0.98}}}
Spinosaurus.2, {{100, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus.1, {{87, {{55, 6, 3, 28}, 0.97}}, {13, {{55, 6, 3, 28}, 0.96}}}
Baryonyx, {{100, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus, {{100, {{55, 6, 3, 28}, 1.0}}}
Baryonyx.1, {{100, {{55, 3, 3, 31}, 1.0}}}
Spinosaurus.3, {{100, {{55, 3, 3, 31}, 1.0}}}
Spinosaurus.2, {{100, {{55, 3, 3, 31}, 1.0}}}
Spinosaurus.1, {{100, {{55, 3, 3, 31}, 1.0}}}
Baryonyx, {{100, {{55, 3, 3, 31}, 1.0}}}
Spinosaurus, {{100, {{55, 3, 3, 31}, 1.0}}}
Baryonyx.1, {{100, {{55, 9, 3, 25}, 1.0}}}
Spinosaurus.3, {{100, {{55, 9, 3, 25}, 1.0}}}
Spinosaurus.2, {{100, {{55, 9, 3, 25}, 1.0}}}
Spinosaurus.1, {{100, {{55, 9, 3, 25}, 1.0}}}
Baryonyx, {{100, {{55, 9, 3, 25}, 1.0}}}
Spinosaurus, {{100, {{55, 9, 3, 25}, 1.0}}}
Baryonyx.1, {{100, {{52, 4, 6, 30}, 1.0}}}
Spinosaurus.3, {{100, {{52, 4, 6, 30}, 1.0}}}
Spinosaurus.2, {{100, {{52, 4, 6, 30}, 1.0}}}
Spinosaurus.1, {{100, {{52, 4, 6, 30}, 1.0}}}
Baryonyx, {{100, {{52, 4, 6, 30}, 1.0}}}
Spinosaurus, {{100, {{52, 4, 6, 30}, 1.0}}}
Baryonyx.1, {{100, {{55, 8, 3, 26}, 0.98}}}
Spinosaurus.3, {{100, {{55, 8, 3, 26}, 0.98}}}
Spinosaurus.2, {{100, {{55, 8, 3, 26}, 1.0}}}
Spinosaurus.1, {{100, {{55, 8, 3, 26}, 0.98}}}
Baryonyx, {{100, {{55, 8, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{55, 8, 3, 26}, 1.0}}}
Baryonyx.1, {{100, {{56, 7, 2, 27}, 1.0}}}
