"","actual class","predicted class","N","median P(diving)"
"Mammuthus_sp","0","2","100","0.85"
"Elephas_maximus","0","2","100","0.84"
"Diplomesodon_pulchellum","0","2","100","0.66"
"Nanophoca_vitulinoides","2","2","100","0.98"
"Phocanella_pumila","2","2","100","0.98"
"Choeropsis_liberiensis","2","2","100","0.79"
"Ichtyosaur_sp","2","2","100","0.89"
"Ichtyosaurus_","2","0","0","0.37"
"Paraplacodus","2","2","100","1"
"Nothosaurus_568","2","2","100","0.99"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","47","0.5"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.96"
"Spinosaurus_.7",NA,"2","100","0.93"
"Spinosaurus_.6",NA,"2","100","0.86"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.97"
"Spinosaurus_.3",NA,"2","100","0.96"
"Spinosaurus_.2",NA,"2","100","0.92"
"Spinosaurus_.1",NA,"2","100","0.85"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.8"
"Baryonyx.2",NA,"2","100","0.92"
"Baryonyx.1",NA,"2","100","0.97"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.48"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.47"
"Baryonyx",NA,"2","100","0.96"
"Phalacrocorax_harrisi","2","0","0","0.32"
