"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.34"
"Spinosaurus_.10","UNKNOWN","0","0","0.365"
"Spinosaurus_.9","UNKNOWN","2","100","0.81"
"Spinosaurus_.8","UNKNOWN","2","100","0.77"
"Spinosaurus_.7","UNKNOWN","2","100","0.69"
"Spinosaurus_.6","UNKNOWN","2","100","0.58"
"Spinosaurus_.5","UNKNOWN","2","100","0.88"
"Spinosaurus_.4","UNKNOWN","2","100","0.83"
"Spinosaurus_.3","UNKNOWN","2","100","0.79"
"Spinosaurus_.2","UNKNOWN","2","100","0.71"
"Spinosaurus_.1","UNKNOWN","2","100","0.61"
"Spinosaurus_","UNKNOWN","2","100","0.89"
"Baryonyx.3","UNKNOWN","0","0","0.48"
"Baryonyx.2","UNKNOWN","2","100","0.64"
"Baryonyx.1","UNKNOWN","2","100","0.78"
"Suchomimus.3","UNKNOWN","0","0","0.18"
"Suchomimus.2","UNKNOWN","0","0","0.28"
"Suchomimus.1","UNKNOWN","0","0","0.19"
"Suchomimus","UNKNOWN","0","0","0.29"
"Baryonyx","UNKNOWN","2","100","0.76"
