Monodelphis_domestica, {{21, 0.85}, {79, 0.86}}
Castor_fiber, {{93, 0.63}, {2, 0.64}, {5, 0.62}}
Desmana_moschata, {{100, 0.98}}
Felis_felis, {{70, 0.04}, {30, 0.03}}
Lama_guanicoe, {{13, 0.0}, {87, 0.01}}
Elomeryx_borbonicus_, {{100, 0.06}}
Hexaprotodon_garyam, {{26, 0.43}, {15, 0.45}, {59, 0.44}}
Neusticosaurus, {{100, 1.0}}
Nothosaurus_mirabilis, {{100, 0.99}}
Nothosaurus_150, {{100, 1.0}}
Ramphorynchus, {{50, 0.43}, {2, 0.42}, {48, 0.44}}
Antetonitrus, {{3, 0.58}, {23, 0.53}, {21, 0.56}, {24, 0.54}, {3, 0.52}, {20, 0.55}, {6, 0.57}}
Masiakasaurus, {{72, 0.07}, {28, 0.06}}
Spinosaurus_.11, {{9, 0.28}, {12, 0.3}, {19, 0.33}, {7, 0.34}, {18, 0.32}, {17, 0.31}, {14, 0.29}, {4, 0.35}}
Spinosaurus_.10, {{5, 0.4}, {13, 0.37}, {20, 0.38}, {19, 0.34}, {19, 0.36}, {5, 0.33}, {12, 0.39}, {6, 0.35}, {1, 0.41}}
Spinosaurus_.9, {{7, 0.98}, {93, 0.99}}
Spinosaurus_.8, {{68, 0.98}, {32, 0.97}}
Spinosaurus_.7, {{68, 0.94}, {12, 0.95}, {20, 0.93}}
Spinosaurus_.6, {{43, 0.85}, {7, 0.86}, {23, 0.84}, {8, 0.82}, {19, 0.83}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 0.99}}
Spinosaurus_.3, {{100, 0.98}}
Spinosaurus_.2, {{21, 0.94}, {77, 0.95}, {2, 0.96}}
Spinosaurus_.1, {{7, 0.88}, {22, 0.85}, {27, 0.86}, {4, 0.84}, {40, 0.87}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{14, 0.73}, {31, 0.72}, {45, 0.71}, {10, 0.7}}
Baryonyx.2, {{93, 0.92}, {1, 0.91}, {6, 0.93}}
Baryonyx.1, {{100, 0.98}}
Suchomimus.3, {{72, 0.07}, {22, 0.08}, {6, 0.06}}
Suchomimus.2, {{40, 0.22}, {12, 0.24}, {37, 0.23}, {1, 0.25}, {10, 0.21}}
Suchomimus.1, {{36, 0.07}, {2, 0.09}, {62, 0.08}}
Suchomimus, {{4, 0.22}, {45, 0.24}, {4, 0.26}, {31, 0.23}, {16, 0.25}}
Baryonyx, {{100, 0.98}}
Gorgosaurus, {{24, 0.58}, {1, 0.59}, {18, 0.56}, {57, 0.57}}
Meleagris, {{100, 0.0}}
Goura_cristata, {{12, 0.04}, {88, 0.03}}
Pelagodroma_marina, {{100, 0.02}}
Spheniscus, {{100, 0.99}}
Mammuthus_sp, {{12, 0.61}, {38, 0.63}, {3, 0.64}, {47, 0.62}}
Cephalophus_silvicultor, {{85, 0.12}, {2, 0.11}, {13, 0.13}}
Syncerus_caffer, {{16, 0.5}, {13, 0.48}, {71, 0.49}}
Ichtyosaurus_, {{1, 0.07}, {53, 0.06}, {46, 0.05}}
Serpianosaurus, {{100, 1.0}}
Cryptoclidus, {{100, 1.0}}
Plesiosaurus, {{100, 1.0}}
Protochampsidae, {{37, 0.3}, {6, 0.32}, {40, 0.31}, {17, 0.29}}
Cricosaurus, {{100, 1.0}}
Spinosaurus_.11, {{16, 0.28}, {4, 0.3}, {12, 0.24}, {20, 0.26}, {21, 0.27}, {6, 0.23}, {14, 0.25}, {7, 0.29}}
Spinosaurus_.10, {{16, 0.3}, {19, 0.34}, {17, 0.33}, {2, 0.36}, {19, 0.32}, {9, 0.31}, {8, 0.29}, {10, 0.35}}
Spinosaurus_.9, {{88, 0.99}, {12, 1.0}}
Spinosaurus_.8, {{100, 0.99}}
Spinosaurus_.7, {{43, 0.96}, {57, 0.97}}
Spinosaurus_.6, {{30, 0.88}, {4, 0.9}, {49, 0.89}, {17, 0.87}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{20, 0.99}, {80, 1.0}}
Spinosaurus_.3, {{100, 0.99}}
Spinosaurus_.2, {{2, 0.96}, {98, 0.97}}
Spinosaurus_.1, {{4, 0.88}, {23, 0.91}, {45, 0.9}, {28, 0.89}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{41, 0.76}, {8, 0.74}, {39, 0.75}, {12, 0.77}}
Baryonyx.2, {{96, 0.95}, {4, 0.96}}
Baryonyx.1, {{100, 0.99}}
Suchomimus.3, {{68, 0.04}, {32, 0.05}}
Suchomimus.2, {{40, 0.18}, {9, 0.2}, {14, 0.17}, {1, 0.21}, {36, 0.19}}
Suchomimus.1, {{33, 0.04}, {67, 0.05}}
Suchomimus, {{1, 0.22}, {15, 0.18}, {40, 0.2}, {9, 0.21}, {35, 0.19}}
Baryonyx, {{100, 0.99}}
Allosaurus_, {{84, 0.03}, {16, 0.02}}
Oviraptor_caenagnathid, {{100, 0.01}}
Oviraptor_, {{100, 0.0}}
Avimaia, {{100, 0.0}}
Gallus_domesticus, {{100, 0.0}}
Anas_erythroincha, {{95, 0.09}, {5, 0.08}}
Xenicus_giliventris, {{100, 0.0}}
Xenicus_longipes, {{100, 0.02}}
Dasyurus_maculatus, {{86, 0.63}, {14, 0.62}}
Myrmecophaga_tridactyla, {{54, 0.66}, {46, 0.65}}
Hemiechinus_azurites, {{100, 0.7}}
Callophoca_obscura, {{52, 0.53}, {48, 0.54}}
Dicerorhinus_sumatrensis, {{9, 0.66}, {10, 0.64}, {81, 0.65}}
Basilosaurus, {{63, 0.98}, {37, 0.99}}
Maiacetus, {{14, 0.99}, {86, 1.0}}
Hippopotamus_amphibius, {{100, 0.86}}
Okapia_johnstoni, {{73, 0.15}, {18, 0.16}, {9, 0.14}}
