"","actual class","predicted class","N","median P(diving)"
"Dasyurus_maculatus","0","2","100","0.66"
"Tenrec_ecaudatus","0","2","100","0.79"
"Nyctereutes_procyonoides","0","0","0","0.36"
"Remingtonocetus","2","2","100","0.79"
"Elomeryx_borbonicus_","0","0","0","0.29"
"Bos_taurus","0","2","100","0.62"
"Rhaeticosaurus","2","2","100","0.99"
"Cryptoclidus","2","2","100","0.99"
"Alligator","2","2","100","0.9"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","61","0.5"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"0","75","0.5"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","1","0.49"
"Baryonyx",NA,"2","100","0.95"
"Hesperornis","2","2","100","0.68"
"Atlantisia_rogersi","0","0","0","0.07"
"Small_Eocene_penguin","2","2","100","0.96"
