"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.25"
"Spinosaurus_.10","UNKNOWN","0","0","0.29"
"Spinosaurus_.9","UNKNOWN","2","100","0.95"
"Spinosaurus_.8","UNKNOWN","2","100","0.93"
"Spinosaurus_.7","UNKNOWN","2","100","0.87"
"Spinosaurus_.6","UNKNOWN","2","100","0.74"
"Spinosaurus_.5","UNKNOWN","2","100","0.98"
"Spinosaurus_.4","UNKNOWN","2","100","0.95"
"Spinosaurus_.3","UNKNOWN","2","100","0.92"
"Spinosaurus_.2","UNKNOWN","2","100","0.86"
"Spinosaurus_.1","UNKNOWN","2","100","0.73"
"Spinosaurus_","UNKNOWN","2","100","0.98"
"Baryonyx.3","UNKNOWN","2","100","0.61"
"Baryonyx.2","UNKNOWN","2","100","0.83"
"Baryonyx.1","UNKNOWN","2","100","0.94"
"Suchomimus.3","UNKNOWN","0","0","0.11"
"Suchomimus.2","UNKNOWN","0","0","0.25"
"Suchomimus.1","UNKNOWN","0","0","0.11"
"Suchomimus","UNKNOWN","0","0","0.25"
"Baryonyx","UNKNOWN","2","100","0.93"
