"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.39"
"Spinosaurus_.10","UNKNOWN","0","0","0.43"
"Spinosaurus_.9","UNKNOWN","2","100","0.95"
"Spinosaurus_.8","UNKNOWN","2","100","0.92"
"Spinosaurus_.7","UNKNOWN","2","100","0.87"
"Spinosaurus_.6","UNKNOWN","2","100","0.79"
"Spinosaurus_.5","UNKNOWN","2","100","0.97"
"Spinosaurus_.4","UNKNOWN","2","100","0.94"
"Spinosaurus_.3","UNKNOWN","2","100","0.92"
"Spinosaurus_.2","UNKNOWN","2","100","0.87"
"Spinosaurus_.1","UNKNOWN","2","100","0.78"
"Spinosaurus_","UNKNOWN","2","100","0.97"
"Baryonyx.3","UNKNOWN","2","100","0.7"
"Baryonyx.2","UNKNOWN","2","100","0.85"
"Baryonyx.1","UNKNOWN","2","100","0.94"
"Suchomimus.3","UNKNOWN","0","0","0.22"
"Suchomimus.2","UNKNOWN","0","0","0.39"
"Suchomimus.1","UNKNOWN","0","0","0.22"
"Suchomimus","UNKNOWN","0","0","0.385"
"Baryonyx","UNKNOWN","2","100","0.93"
