Spinosaurus_.2, {{100, {{90, 5, 10, 40}, 1.0}}}
Spinosaurus_.1, {{90, {{90, 5, 10, 40}, 0.99}}, {10, {{90, 5, 10, 40}, 0.98}}}
Spinosaurus_, {{100, {{90, 5, 10, 40}, 1.0}}}
Baryonyx.3, {{39, {{90, 5, 10, 40}, 0.93}}, {1, {{90, 5, 10, 40}, 0.95}}, {60, {{90, 5, 10, 40}, 0.94}}}
Baryonyx.2, {{100, {{90, 5, 10, 40}, 1.0}}}
Baryonyx.1, {{100, {{90, 5, 10, 40}, 1.0}}}
Suchomimus.3, {{99, {{90, 5, 10, 40}, 0.0}}, {1, {{90, 5, 10, 40}, 0.01}}}
Suchomimus.2, {{33, {{90, 5, 10, 40}, 0.07}}, {10, {{90, 5, 10, 40}, 0.09}}, {55, {{90, 5, 10, 40}, 0.08}}, {1, {{90, 5, 10, 40}, 0.1}}, {1, {{90, 5, 10, 40}, 0.06}}}
Suchomimus.1, {{94, {{90, 5, 10, 40}, 0.0}}, {6, {{90, 5, 10, 40}, 0.01}}}
Suchomimus, {{10, {{90, 5, 10, 40}, 0.07}}, {22, {{90, 5, 10, 40}, 0.09}}, {63, {{90, 5, 10, 40}, 0.08}}, {4, {{90, 5, 10, 40}, 0.1}}, {1, {{90, 5, 10, 40}, 0.06}}}
Baryonyx, {{100, {{90, 5, 10, 40}, 1.0}}}
Gorgosaurus, {{9, {{90, 5, 10, 40}, 0.37}}, {28, {{90, 5, 10, 40}, 0.4}}, {13, {{90, 5, 10, 40}, 0.38}}, {1, {{90, 5, 10, 40}, 0.36}}, {27, {{90, 5, 10, 40}, 0.39}}, {2, {{90, 5, 10, 40}, 0.43}}, {5, {{90, 5, 10, 40}, 0.42}}, {15, {{90, 5, 10, 40}, 0.41}}}
Gobiraptor_, {{100, {{90, 5, 10, 40}, 0.0}}}
Anser_fabalis, {{100, {{90, 5, 10, 40}, 0.0}}}
Anas_erythroincha, {{100, {{90, 5, 10, 40}, 0.0}}}
Anas_discors, {{100, {{90, 5, 10, 40}, 0.0}}}
Caloenas_nicobarica, {{100, {{90, 5, 10, 40}, 0.0}}}
Strigiops_habroptilus, {{100, {{90, 5, 10, 40}, 0.0}}}
Palaeospheniscus, {{6, {{90, 5, 10, 40}, 0.99}}, {94, {{90, 5, 10, 40}, 1.0}}}
Castor_fiber, {{22, {{90, 4, 10, 41}, 0.63}}, {1, {{90, 4, 10, 41}, 0.62}}, {16, {{90, 4, 10, 41}, 0.65}}, {61, {{90, 4, 10, 41}, 0.64}}}
Taxidea_taxus, {{6, {{90, 4, 10, 41}, 0.15}}, {53, {{90, 4, 10, 41}, 0.14}}, {41, {{90, 4, 10, 41}, 0.13}}}
Tapirus_terrestris, {{72, {{90, 4, 10, 41}, 0.09}}, {22, {{90, 4, 10, 41}, 0.08}}, {6, {{90, 4, 10, 41}, 0.1}}}
Rupicapra_rupicapra, {{100, {{90, 4, 10, 41}, 0.0}}}
Bos_taurus, {{21, {{90, 4, 10, 41}, 0.16}}, {1, {{90, 4, 10, 41}, 0.19}}, {57, {{90, 4, 10, 41}, 0.17}}, {21, {{90, 4, 10, 41}, 0.18}}}
Alces_americanus, {{100, {{90, 4, 10, 41}, 0.0}}}
Dama_dama, {{100, {{90, 4, 10, 41}, 0.0}}}
Neusticosaurus, {{100, {{90, 4, 10, 41}, 1.0}}}
Plesiosaurus, {{100, {{90, 4, 10, 41}, 1.0}}}
Nothosaurus_giganteus, {{14, {{90, 4, 10, 41}, 0.85}}, {2, {{90, 4, 10, 41}, 0.86}}, {1, {{90, 4, 10, 41}, 0.8}}, {1, {{90, 4, 10, 41}, 0.81}}, {10, {{90, 4, 10, 41}, 0.82}}, {44, {{90, 4, 10, 41}, 0.84}}, {28, {{90, 4, 10, 41}, 0.83}}}
Pogona_viceps, {{100, {{90, 4, 10, 41}, 0.0}}}
Spinosaurus_.11, {{22, {{90, 4, 10, 41}, 0.11}}, {3, {{90, 4, 10, 41}, 0.07}}, {25, {{90, 4, 10, 41}, 0.09}}, {22, {{90, 4, 10, 41}, 0.08}}, {16, {{90, 4, 10, 41}, 0.1}}, {12, {{90, 4, 10, 41}, 0.12}}}
Spinosaurus_.10, {{1, {{90, 4, 10, 41}, 0.2}}, {11, {{90, 4, 10, 41}, 0.15}}, {15, {{90, 4, 10, 41}, 0.14}}, {17, {{90, 4, 10, 41}, 0.16}}, {17, {{90, 4, 10, 41}, 0.13}}, {3, {{90, 4, 10, 41}, 0.19}}, {22, {{90, 4, 10, 41}, 0.17}}, {11, {{90, 4, 10, 41}, 0.18}}, {3, {{90, 4, 10, 41}, 0.12}}}
Spinosaurus_.9, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.8, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.7, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.6, {{40, {{90, 4, 10, 41}, 0.97}}, {60, {{90, 4, 10, 41}, 0.98}}}
Spinosaurus_.5, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.4, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.3, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.2, {{100, {{90, 4, 10, 41}, 1.0}}}
Spinosaurus_.1, {{1, {{90, 4, 10, 41}, 0.99}}, {11, {{90, 4, 10, 41}, 0.97}}, {88, {{90, 4, 10, 41}, 0.98}}}
Spinosaurus_, {{100, {{90, 4, 10, 41}, 1.0}}}
Baryonyx.3, {{13, {{90, 4, 10, 41}, 0.9}}, {60, {{90, 4, 10, 41}, 0.89}}, {25, {{90, 4, 10, 41}, 0.88}}, {2, {{90, 4, 10, 41}, 0.87}}}
Baryonyx.2, {{100, {{90, 4, 10, 41}, 1.0}}}
Baryonyx.1, {{100, {{90, 4, 10, 41}, 1.0}}}
Suchomimus.3, {{100, {{90, 4, 10, 41}, 0.0}}}
Suchomimus.2, {{21, {{90, 4, 10, 41}, 0.06}}, {5, {{90, 4, 10, 41}, 0.04}}, {1, {{90, 4, 10, 41}, 0.07}}, {73, {{90, 4, 10, 41}, 0.05}}}
Suchomimus.1, {{100, {{90, 4, 10, 41}, 0.0}}}
Suchomimus, {{47, {{90, 4, 10, 41}, 0.06}}, {1, {{90, 4, 10, 41}, 0.04}}, {5, {{90, 4, 10, 41}, 0.07}}, {47, {{90, 4, 10, 41}, 0.05}}}
Baryonyx, {{100, {{90, 4, 10, 41}, 1.0}}}
Tyrannosaurus, {{62, {{90, 4, 10, 41}, 0.06}}, {9, {{90, 4, 10, 41}, 0.07}}, {29, {{90, 4, 10, 41}, 0.05}}}
Rahonavis, {{100, {{90, 4, 10, 41}, 0.0}}}
Hesperornis, {{14, {{90, 4, 10, 41}, 0.93}}, {9, {{90, 4, 10, 41}, 0.95}}, {77, {{90, 4, 10, 41}, 0.94}}}
Apteryx_owenii_, {{100, {{90, 4, 10, 41}, 0.0}}}
Tinamou, {{100, {{90, 4, 10, 41}, 0.0}}}
Dasyurus_maculatus, {{3, {{89, 5, 8, 43}, 0.65}}, {92, {{89, 5, 8, 43}, 0.64}}, {5, {{89, 5, 8, 43}, 0.63}}}
Myrmecophaga_tridactyla, {{5, {{89, 5, 8, 43}, 0.8}}, {84, {{89, 5, 8, 43}, 0.79}}, {11, {{89, 5, 8, 43}, 0.78}}}
Tamandua_tetradactyla, {{95, {{89, 5, 8, 43}, 0.95}}, {5, {{89, 5, 8, 43}, 0.96}}}
Mus_musculus, {{100, {{89, 5, 8, 43}, 0.0}}}
Meles_meles, {{60, {{89, 5, 8, 43}, 0.02}}, {40, {{89, 5, 8, 43}, 0.01}}}
Megaloceros_sp, {{100, {{89, 5, 8, 43}, 0.0}}}
Anarosaurus, {{100, {{89, 5, 8, 43}, 1.0}}}
Nothosaurus_mirabilis, {{100, {{89, 5, 8, 43}, 1.0}}}
Cricosaurus, {{100, {{89, 5, 8, 43}, 1.0}}}
Pterosaur_Tremp, {{100, {{89, 5, 8, 43}, 0.0}}}
Spinosaurus_.11, {{4, {{89, 5, 8, 43}, 0.13}}, {9, {{89, 5, 8, 43}, 0.19}}, {21, {{89, 5, 8, 43}, 0.17}}, {11, {{89, 5, 8, 43}, 0.18}}, {1, {{89, 5, 8, 43}, 0.12}}, {21, {{89, 5, 8, 43}, 0.15}}, {18, {{89, 5, 8, 43}, 0.14}}, {15, {{89, 5, 8, 43}, 0.16}}}
