Suchomimus, {{3, 0.22}, {20, 0.18}, {23, 0.2}, {5, 0.17}, {2, 0.16}, {13, 0.21}, {34, 0.19}}
Baryonyx, {{100, 1.0}}
Tyrannosaurus, {{1, 0.37}, {3, 0.3}, {25, 0.34}, {25, 0.33}, {1, 0.36}, {22, 0.32}, {7, 0.31}, {16, 0.35}}
Rahonavis, {{100, 0.01}}
Caloenas_nicobarica, {{100, 0.0}}
Tribonyx_mortieri, {{86, 0.01}, {14, 0.02}}
Rynochetus_jubatus, {{100, 0.0}}
Palaeospheniscus, {{100, 0.99}}
Hydromys_chrysogaster, {{41, 0.18}, {8, 0.2}, {3, 0.17}, {48, 0.19}}
Euroscaptor_micrura, {{1, 0.22}, {62, 0.24}, {2, 0.26}, {10, 0.23}, {25, 0.25}}
Tapirus_terrestris, {{7, 0.1}, {61, 0.09}, {32, 0.08}}
Okapia_johnstoni, {{100, 0.01}}
Megaloceros_sp, {{100, 0.0}}
Champsosaurus, {{100, 1.0}}
Simosaurus, {{100, 1.0}}
Simosaurus_1, {{34, 0.94}, {2, 0.95}, {8, 0.92}, {56, 0.93}}
Sphenodon_punctatus, {{82, 0.9}, {18, 0.89}}
Lacerta_viridis, {{4, 0.18}, {49, 0.2}, {11, 0.21}, {36, 0.19}}
Protochampsidae, {{35, 0.1}, {31, 0.11}, {23, 0.09}, {1, 0.13}, {4, 0.08}, {6, 0.12}}
Spinosaurus_.11, {{24, 0.07}, {14, 0.1}, {21, 0.09}, {21, 0.08}, {19, 0.06}, {1, 0.05}}
Spinosaurus_.10, {{7, 0.09}, {8, 0.15}, {14, 0.1}, {20, 0.11}, {17, 0.13}, {5, 0.16}, {16, 0.12}, {13, 0.14}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{94, 0.99}, {6, 1.0}}
Spinosaurus_.6, {{48, 0.95}, {26, 0.94}, {10, 0.96}, {16, 0.93}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{48, 0.99}, {52, 1.0}}
Spinosaurus_.1, {{37, 0.95}, {9, 0.94}, {52, 0.96}, {2, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{10, 0.78}, {26, 0.79}, {22, 0.81}, {6, 0.82}, {3, 0.77}, {33, 0.8}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{66, 0.04}, {4, 0.03}, {30, 0.05}}
Suchomimus.1, {{100, 0.0}}
Suchomimus, {{34, 0.04}, {3, 0.06}, {63, 0.05}}
Baryonyx, {{100, 1.0}}
Avimaia, {{100, 0.0}}
Apteryx_australis, {{100, 0.01}}
Dromaius_, {{100, 0.0}}
Meleagris, {{100, 0.0}}
Atlantisia_rogersi, {{100, 0.0}}
Monodelphis_domestica, {{97, 0.95}, {3, 0.94}}
Procavia_capensis, {{41, 0.33}, {5, 0.34}, {51, 0.32}, {3, 0.31}}
Tamandua_tetradactyla, {{1, 0.96}, {99, 0.97}}
Paguma_larvata, {{36, 0.04}, {64, 0.05}}
Basilosaurus, {{100, 1.0}}
Nothosaurus_mirabilis_1, {{100, 1.0}}
Nothosaurus_102, {{100, 1.0}}
Cricosaurus, {{100, 1.0}}
Asilisaurus, {{100, 0.0}}
Plateosaurus, {{100, 0.0}}
Spinosaurus_.11, {{4, 0.21}, {12, 0.18}, {12, 0.15}, {15, 0.2}, {14, 0.17}, {18, 0.16}, {1, 0.13}, {9, 0.14}, {15, 0.19}}
Spinosaurus_.10, {{9, 0.3}, {3, 0.32}, {8, 0.26}, {17, 0.25}, {8, 0.28}, {2, 0.22}, {7, 0.31}, {16, 0.27}, {1, 0.21}, {8, 0.24}, {12, 0.29}, {9, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{100, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{100, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{40, 0.95}, {60, 0.96}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{26, 0.0}, {74, 0.01}}
Suchomimus.2, {{26, 0.1}, {42, 0.11}, {25, 0.12}, {5, 0.09}, {2, 0.13}}
Suchomimus.1, {{12, 0.0}, {88, 0.01}}
Suchomimus, {{35, 0.12}, {37, 0.11}, {11, 0.1}, {16, 0.13}, {1, 0.09}}
Baryonyx, {{100, 1.0}}
Torvosaurus, {{13, 0.88}, {7, 0.85}, {33, 0.86}, {1, 0.84}, {46, 0.87}}
Troodon_formosus, {{3, 0.22}, {48, 0.24}, {5, 0.26}, {1, 0.27}, {18, 0.23}, {25, 0.25}}
Confuciusornis_sanctus, {{100, 0.0}}
Hesperornis, {{79, 0.95}, {21, 0.96}}
Trybonix_ventralis, {{100, 0.0}}
Pelagodroma_marina, {{100, 0.0}}
Castor_fiber, {{26, 0.69}, {74, 0.7}}
Diplomesodon_pulchellum, {{93, 0.85}, {1, 0.86}, {6, 0.84}}
Elomeryx_borbonicus_, {{100, 0.01}}
Giraffa_camelopardalis, {{100, 0.01}}
Rangifer_tarandus, {{100, 0.0}}
Fruitadens, {{100, 0.02}}
Scutellosaurus_lawleri, {{7, 0.22}, {32, 0.24}, {13, 0.26}, {20, 0.23}, {28, 0.25}}
Mussaurus, {{28, 0.15}, {10, 0.16}, {10, 0.12}, {20, 0.13}, {32, 0.14}}
Spinosaurus_.11, {{12, 0.22}, {10, 0.2}, {16, 0.24}, {15, 0.26}, {4, 0.27}, {15, 0.23}, {12, 0.25}, {14, 0.21}, {2, 0.19}}
Spinosaurus_.10, {{17, 0.28}, {14, 0.3}, {13, 0.33}, {7, 0.34}, {9, 0.32}, {13, 0.31}, {4, 0.26}, {10, 0.29}, {8, 0.35}, {5, 0.27}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{48, 0.95}, {4, 0.94}, {48, 0.96}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{31, 0.95}, {69, 0.96}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{37, 0.88}, {6, 0.86}, {1, 0.89}, {56, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{43, 0.03}, {57, 0.02}}
Suchomimus.2, {{38, 0.18}, {2, 0.15}, {38, 0.17}, {13, 0.16}, {9, 0.19}}
Suchomimus.1, {{69, 0.03}, {31, 0.02}}
Suchomimus, {{42, 0.18}, {3, 0.2}, {24, 0.17}, {5, 0.16}, {26, 0.19}}
Baryonyx, {{100, 1.0}}
Asfaltovenator, {{100, 0.0}}
Oviraptor_caenagnathid, {{100, 0.0}}
Apteryx_owenii_, {{100, 0.0}}
Anser_fabalis, {{40, 0.0}, {60, 0.01}}
Raphus, {{4, 0.04}, {96, 0.05}}
Psophia_crepitans_napensis, {{94, 0.0}, {6, 0.01}}
Turdus_olivator, {{100, 0.0}}
Phaeton_aethereus, {{97, 0.01}, {3, 0.02}}
Dasyurus_maculatus, {{82, 0.67}, {18, 0.66}}
Microgale_thomasi, {{100, 0.01}}
Ursus_maritimus, {{100, 0.02}}
Paraplacodus, {{100, 1.0}}
Anarosaurus, {{100, 1.0}}
Cryptoclidus, {{100, 1.0}}
Plesiosaurus, {{100, 1.0}}
Spinosaurus_.11, {{12, 0.22}, {8, 0.18}, {12, 0.2}, {16, 0.24}, {1, 0.17}, {13, 0.23}, {10, 0.25}, {15, 0.21}, {13, 0.19}}
Spinosaurus_.10, {{17, 0.3}, {11, 0.32}, {8, 0.26}, {4, 0.35}, {2, 0.25}, {14, 0.28}, {6, 0.34}, {8, 0.31}, {14, 0.33}, {9, 0.27}, {7, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{65, 0.98}, {35, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{84, 0.98}, {16, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{80, 0.92}, {9, 0.91}, {11, 0.93}}
Baryonyx.2, {{46, 0.99}, {54, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{34, 0.01}, {66, 0.02}}
Suchomimus.2, {{24, 0.15}, {4, 0.18}, {22, 0.17}, {43, 0.16}, {1, 0.13}, {6, 0.14}}
Suchomimus.1, {{20, 0.01}, {80, 0.02}}
Suchomimus, {{14, 0.15}, {12, 0.18}, {35, 0.17}, {37, 0.16}, {2, 0.14}}
Baryonyx, {{100, 1.0}}
