"","actual class","predicted class","N","median P(diving)"
"Monodelphis_domestica","0","2","100","0.74"
"Microgale_thomasi","0","0","0","0.23"
"Tamandua_tetradactyla","0","2","100","0.79"
"Diplomesodon_pulchellum","0","2","100","0.7"
"Euroscaptor_micrura","0","2","100","0.51"
"Lutra_vulgaris","2","2","100","0.88"
"Champsosaurus","2","2","100","0.96"
"Psephoderma","2","2","100","0.91"
"Rhaeticosaurus","2","2","100","0.98"
"Pogona_viceps","0","0","0","0.06"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.93"
"Spinosaurus_.7",NA,"2","100","0.88"
"Spinosaurus_.6",NA,"2","100","0.8"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.88"
"Spinosaurus_.1",NA,"2","100","0.79"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.72"
"Baryonyx.2",NA,"2","100","0.86"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.27"
"Suchomimus.2",NA,"0","0","0.44"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.44"
"Baryonyx",NA,"2","100","0.93"
"Tribonyx_mortieri","0","0","0","0.15"
