Basilosaurus, {{7, {{50, 9, 8, 34}, 1.0}}, {5, {{49, 9, 9, 34}, 1.0}}, {38, {{50, 9, 8, 34}, 0.99}}, {50, {{49, 9, 9, 34}, 0.99}}}
Carentonosaurus_mineaui, {{100, {{50, 9, 7, 35}, 0.99}}}
Baryonyx.1, {{100, {{50, 9, 7, 35}, 0.98}}}
Spinosaurus.3, {{83, {{50, 9, 7, 35}, 0.99}}, {17, {{50, 9, 7, 35}, 0.98}}}
Spinosaurus.2, {{100, {{50, 9, 7, 35}, 1.0}}}
Spinosaurus.1, {{100, {{50, 9, 7, 35}, 0.98}}}
Baryonyx, {{100, {{50, 9, 7, 35}, 1.0}}}
Spinosaurus, {{100, {{50, 9, 7, 35}, 1.0}}}
Eudyptes_chrysocome, {{100, {{50, 9, 7, 35}, 0.93}}}
Ornithorhynchus_anatinus, {{100, {{50, 9, 7, 35}, 0.94}}}
Didelphis_sp., {{100, {{50, 9, 7, 35}, 0.01}}}
Cercopithecus_mona, {{100, {{50, 9, 7, 35}, 0.01}}}
Galemys_pyrenaicus, {{100, {{50, 9, 7, 35}, 0.01}}}
Diplomesodon_pulchellum, {{100, {{50, 9, 7, 35}, 0.23}}}
Tremarctos_ornatus, {{77, {{50, 9, 7, 35}, 0.73}}, {23, {{50, 9, 7, 35}, 0.74}}}
Taxidea_taxus, {{95, {{50, 9, 7, 35}, 0.33}}, {5, {{50, 9, 7, 35}, 0.32}}}
Monodon_monoceros, {{100, {{50, 9, 7, 35}, 0.76}}}
Capra_aegagrus, {{1, {{50, 9, 7, 35}, 0.72}}, {99, {{50, 9, 7, 35}, 0.73}}}
Clidastes_sp., {{27, {{49, 8, 8, 36}, 0.9}}, {73, {{49, 8, 8, 36}, 0.89}}}
Baryonyx.1, {{100, {{49, 8, 8, 36}, 0.97}}}
Spinosaurus.3, {{100, {{49, 8, 8, 36}, 0.98}}}
Spinosaurus.2, {{100, {{49, 8, 8, 36}, 1.0}}}
Spinosaurus.1, {{100, {{49, 8, 8, 36}, 0.97}}}
Baryonyx, {{100, {{49, 8, 8, 36}, 1.0}}}
Spinosaurus, {{100, {{49, 8, 8, 36}, 1.0}}}
Rhynchocyon_petersi, {{100, {{49, 8, 8, 36}, 0.24}}}
Lepus_europaeus, {{98, {{49, 8, 8, 36}, 0.32}}, {2, {{49, 8, 8, 36}, 0.31}}}
Sciurus_vulgaris, {{100, {{49, 8, 8, 36}, 0.1}}}
Canis_lupus, {{81, {{49, 8, 8, 36}, 0.08}}, {19, {{49, 8, 8, 36}, 0.09}}}
Phoca_vitulina, {{100, {{49, 8, 8, 36}, 0.0}}}
Callophoca_obscura, {{100, {{49, 8, 8, 36}, 0.62}}}
Equus_caballus, {{22, {{49, 8, 8, 36}, 0.38}}, {78, {{49, 8, 8, 36}, 0.39}}}
Tapirus_indicus, {{100, {{49, 8, 8, 36}, 0.1}}}
