Spinosaurus, {{100, {{47, 10, 8, 36}, 0.99}}}
Struthio_camelus, {{100, {{47, 10, 8, 36}, 0.21}}}
Ornithorhynchus_anatinus, {{100, {{47, 10, 8, 36}, 0.93}}}
Tachyglossus_aculeatus_setosus, {{100, {{47, 10, 8, 36}, 0.14}}}
Vombatus_ursinus, {{100, {{47, 10, 8, 36}, 0.88}}}
Galagoides_demidovii, {{100, {{47, 10, 8, 36}, 0.02}}}
Dasyprocta__punctata, {{53, {{47, 10, 8, 36}, 0.04}}, {47, {{47, 10, 8, 36}, 0.05}}}
Sciurus_vulgaris, {{100, {{47, 10, 8, 36}, 0.14}}}
Felis_silvestris, {{100, {{47, 10, 8, 36}, 0.16}}}
Lissodelphis_borealis, {{100, {{47, 10, 8, 36}, 0.57}}}
Rangifer_tarandus, {{100, {{47, 10, 8, 36}, 0.64}}}
Mollesaurus, {{100, {{50, 9, 7, 35}, 0.87}}}
Dallasaurus_turneri, {{100, {{50, 9, 7, 35}, 0.36}}}
Baryonyx.1, {{100, {{50, 9, 7, 35}, 0.98}}}
Spinosaurus.3, {{100, {{50, 9, 7, 35}, 0.98}}}
Spinosaurus.2, {{100, {{50, 9, 7, 35}, 1.0}}}
Spinosaurus.1, {{100, {{50, 9, 7, 35}, 0.97}}}
Baryonyx, {{100, {{50, 9, 7, 35}, 1.0}}}
Spinosaurus, {{100, {{50, 9, 7, 35}, 1.0}}}
Strigiops_habroptilus, {{100, {{50, 9, 7, 35}, 0.11}}}
Phalacrocorax_harris, {{100, {{50, 9, 7, 35}, 0.84}}}
Macropus_rufus, {{100, {{50, 9, 7, 35}, 0.53}}}
Elephas_maximus, {{100, {{50, 9, 7, 35}, 0.03}}}
Gorilla_gorilla, {{73, {{50, 9, 7, 35}, 0.04}}, {27, {{50, 9, 7, 35}, 0.03}}}
Hydromys_chrysogaster, {{100, {{50, 9, 7, 35}, 0.78}}}
Rhinocerus_unicornis, {{100, {{50, 9, 7, 35}, 0.85}}}
Orcinus_orca, {{100, {{50, 9, 7, 35}, 0.98}}}
Ovis_aries, {{100, {{50, 9, 7, 35}, 0.15}}}
Crocodylus_niloticus, {{100, {{48, 10, 11, 32}, 0.99}}}
Baryonyx.1, {{100, {{48, 10, 11, 32}, 0.97}}}
Spinosaurus.3, {{100, {{48, 10, 11, 32}, 0.97}}}
Spinosaurus.2, {{100, {{48, 10, 11, 32}, 1.0}}}
Spinosaurus.1, {{100, {{48, 10, 11, 32}, 0.96}}}
Baryonyx, {{100, {{48, 10, 11, 32}, 1.0}}}
Spinosaurus, {{100, {{48, 10, 11, 32}, 0.99}}}
Behemotops_katsuiei, {{100, {{48, 10, 11, 32}, 0.97}}}
Noemys_fodies, {{5, {{48, 10, 11, 32}, 0.67}}, {95, {{48, 10, 11, 32}, 0.66}}}
Diplomesodon_pulchellum, {{100, {{48, 10, 11, 32}, 0.33}}}
Callophoca_obscura, {{100, {{48, 10, 11, 32}, 0.65}}}
Choeropsis_liberiensis, {{100, {{48, 10, 11, 32}, 0.65}}}
Dorudon, {{100, {{48, 10, 11, 32}, 0.99}}}
Monodon_monoceros, {{94, {{48, 10, 11, 32}, 0.74}}, {6, {{48, 10, 11, 32}, 0.73}}}
Capreolus_capreolus, {{100, {{48, 10, 11, 32}, 0.01}}}
Bison_bison, {{73, {{48, 10, 11, 32}, 0.37}}, {27, {{48, 10, 11, 32}, 0.38}}}
Bison_bonasus, {{100, {{48, 10, 11, 32}, 0.04}}}
Serpianosaurus, {{100, {{48, 8, 9, 36}, 1.0}}}
Baryonyx.1, {{100, {{48, 8, 9, 36}, 0.97}}}
Spinosaurus.3, {{95, {{48, 8, 9, 36}, 0.97}}, {5, {{48, 8, 9, 36}, 0.98}}}
Spinosaurus.2, {{100, {{48, 8, 9, 36}, 1.0}}}
Spinosaurus.1, {{100, {{48, 8, 9, 36}, 0.96}}}
Baryonyx, {{100, {{48, 8, 9, 36}, 1.0}}}
Spinosaurus, {{100, {{48, 8, 9, 36}, 0.99}}}
Eudyptes_chrysocome, {{100, {{48, 8, 9, 36}, 0.91}}}
Zaglossus_bruijni, {{100, {{48, 8, 9, 36}, 0.02}}}
Choloepus_didactylus, {{100, {{48, 8, 9, 36}, 0.1}}}
Microgale_thomasi, {{100, {{48, 8, 9, 36}, 0.14}}}
Mammuthus_primigenius, {{100, {{48, 8, 9, 36}, 0.39}}}
Ashoroa_laticosta, {{100, {{48, 8, 9, 36}, 0.99}}}
Lepus_europaeus, {{100, {{48, 8, 9, 36}, 0.35}}}
Apodemus_sp., {{16, {{48, 8, 9, 36}, 0.09}}, {84, {{48, 8, 9, 36}, 0.08}}}
Galemys_pyrenaicus, {{100, {{48, 8, 9, 36}, 0.02}}}
Tapirus_indicus, {{100, {{48, 8, 9, 36}, 0.18}}}
Platecarpus_sp., {{100, {{49, 9, 8, 35}, 0.96}}}
Baryonyx.1, {{100, {{49, 9, 8, 35}, 0.99}}}
Spinosaurus.3, {{100, {{49, 9, 8, 35}, 0.99}}}
Spinosaurus.2, {{100, {{49, 9, 8, 35}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 8, 35}, 0.98}}}
Baryonyx, {{100, {{49, 9, 8, 35}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 8, 35}, 1.0}}}
