Spinosaurus.1, {{25, 0.96}, {75, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 0.99}}
Caloenas_nicobarica, {{100, 0.35}}
Ornithorhynchus_anatinus, {{100, 0.93}}
Tachyglossus_aculeatus_setosus, {{100, 0.15}}
Didelphis_sp., {{100, 0.03}}
Rhynchocyon_petersi, {{100, 0.29}}
Behemotops_katsuiei, {{100, 0.97}}
Ashoroa_laticosta, {{100, 0.98}}
Desmana_moschata, {{100, 0.9}}
Orcinus_orca, {{100, 0.97}}
Capra_aegagrus, {{100, 0.72}}
Ceresiosaurus, {{100, 1.0}}
Clidastes_sp., {{79, 0.86}, {21, 0.87}}
Baryonyx.1, {{13, 0.96}, {87, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Zaglossus_bruijni, {{100, 0.03}}
Dasyurus_maculatus, {{100, 0.46}}
Hydromys_chrysogaster, {{100, 0.77}}
Crocidura_russula, {{100, 0.11}}
Genetta_genetta, {{7, 0.12}, {93, 0.13}}
Martes_martes, {{99, 0.13}, {1, 0.14}}
Lutra_vulgaris, {{92, 0.9}, {8, 0.89}}
Rodhocetus, {{100, 0.97}}
Bison_bison, {{100, 0.35}}
