"","coeff_diameter","coeff_compactness","coeff_intercept"
"1",-0.0178030759739221,4.24734201733702,-2.89695840505383
"2",-0.0210478690336107,4.25458201800368,-2.89702683082605
"3",-0.0183329318297645,4.26163562072609,-2.90872273151665
"4",-0.0156508520406305,4.24368753000002,-2.89296934269843
"5",-0.0184247861460451,4.25031607923947,-2.89892106862291
"6",-0.0192418279656931,4.24659170459227,-2.89295530368516
"7",-0.0165021121453979,4.23996565527807,-2.89326404463859
"8",-0.0176448841161337,4.25464728618845,-2.90243603397023
"9",-0.0150398384667565,4.24527301510909,-2.89537452087903
"10",-0.0190119055699725,4.24475974649004,-2.89087537739902
"11",-0.021338081703113,4.25544946546888,-2.90206706103601
"12",-0.0188950118692663,4.25337426163406,-2.8979502773992
"13",-0.0193522377839304,4.25298577536723,-2.89853745920341
"14",-0.0156464368533042,4.24483348554933,-2.89321524022194
"15",-0.0182756050075271,4.24693522906214,-2.8976877671538
"16",-0.0191556539352345,4.24546556847534,-2.89114167085707
"17",-0.014277720483442,4.24579533545485,-2.89920565334228
"18",-0.0193124120953725,4.24368447783654,-2.89009501435569
"19",-0.016316738038017,4.2495550084789,-2.90028463330962
"20",-0.0189458652309353,4.24797325979528,-2.89420994141314
"21",-0.0189913145357393,4.2451137869476,-2.89219141628429
"22",-0.016257389688375,4.25204530710697,-2.90286541421406
"23",-0.0180661169675814,4.25534632606947,-2.90019975143318
"24",-0.0169044259851814,4.25399711799944,-2.89995761049041
"25",-0.0166364466968597,4.24555737971297,-2.89410086565644
"26",-0.0189111909962324,4.25402865936121,-2.89920156354899
"27",-0.0185800786787201,4.25222214806684,-2.89673733639384
"28",-0.0175823453682631,4.25406452378544,-2.89945265067641
"29",-0.0168849153418314,4.24801151406117,-2.89841560326598
"30",-0.0180836229804762,4.2462632299421,-2.89441327057039
"31",-0.0183967745198318,4.24694706300054,-2.89327969016503
"32",-0.0158519230635098,4.24695209014731,-2.89998761724935
"33",-0.0165964969687141,4.2443222436772,-2.89408420569535
"34",-0.0175991738770571,4.24796589036999,-2.89039960640427
"35",-0.0155472207727898,4.24540502841929,-2.89496811858811
"36",-0.017651330853196,4.24407356946108,-2.89303983454925
"37",-0.0170347122615706,4.25387252214,-2.9033413158672
"38",-0.0209058573337393,4.25993598248342,-2.90350258936828
"39",-0.0186823713332981,4.25458476766421,-2.89718576607976
"40",-0.0187083877944922,4.24012367805368,-2.88736519583608
"41",-0.0181279693316573,4.24519914534995,-2.89363453050034
"42",-0.0136041751024225,4.23440207564628,-2.88811769637126
"43",-0.0170883416542927,4.25573730140915,-2.90694253208502
"44",-0.0201717167172865,4.25329195137079,-2.89583412451752
"45",-0.016480934408365,4.24979158751198,-2.89920880972314
"46",-0.0166007244961066,4.25362596600273,-2.89918601256693
"47",-0.0173065007889425,4.25124935045383,-2.89673312394856
"48",-0.0116904446734765,4.23929678942797,-2.89439654969402
"49",-0.0189155213037215,4.25251489760508,-2.89531462032236
"50",-0.0134273067065598,4.23943067365283,-2.8890144976802
"51",-0.0174081425019631,4.25066895002153,-2.89584603275494
"52",-0.0188183932355328,4.24790352080743,-2.8944851607113
"53",-0.0209225336431278,4.25305538454813,-2.89942861652827
"54",-0.016423094153046,4.25407190418227,-2.90035074211341
"55",-0.0203316084325325,4.24175495432352,-2.88767263930731
"56",-0.0205683571301241,4.25787952077369,-2.90141754690392
"57",-0.0156745428831354,4.25231489890555,-2.90257711693479
"58",-0.0202315212952696,4.24837002676042,-2.89410068293595
"59",-0.0170877121792999,4.25191057917496,-2.89860366892409
"60",-0.018138542319647,4.24835472301842,-2.8963447367472
"61",-0.0157983190202309,4.24490608243177,-2.8944482209287
"62",-0.018833317717971,4.24564413160887,-2.89395578900951
"63",-0.015656100004307,4.25314306060511,-2.90260631422997
"64",-0.0137164317507295,4.23924494387399,-2.8926677309347
"65",-0.0209375157084982,4.25874490773385,-2.89917765549269
"66",-0.0175825016673804,4.25583861004523,-2.90164778304888
"67",-0.0184645168380653,4.25429268526941,-2.9001124450244
"68",-0.0152171694669089,4.25192004464058,-2.8990105447051
"69",-0.02000150497769,4.2477051687753,-2.89253577141717
"70",-0.0175400894689304,4.24653053104261,-2.89306617750243
"71",-0.0222826382287609,4.2657820744772,-2.90524970493049
"72",-0.0163251037850194,4.24782108054589,-2.89938442944024
"73",-0.0182895564389627,4.25537346303396,-2.90274644924415
"74",-0.0175883767119803,4.24730042344143,-2.89384105511703
"75",-0.0195916099536385,4.250483321521,-2.89191914166958
"76",-0.0153862218481954,4.25162591949075,-2.90005296551426
"77",-0.0198387934548268,4.24525793175567,-2.89098907537863
"78",-0.0131486579137574,4.24878783301938,-2.89805876885678
"79",-0.0164448575013116,4.25188040648575,-2.89964174263443
"80",-0.0175815324723048,4.24681805429258,-2.90026702610177
"81",-0.0198960598185958,4.26426071681672,-2.90877363416066
"82",-0.0167548349526737,4.24349002139198,-2.89410900809538
"83",-0.020389643086518,4.25494954404903,-2.89997706968226
"84",-0.0173924938428247,4.24316111632056,-2.88999179953221
"85",-0.015320430120618,4.24364614568638,-2.89553066642288
"86",-0.0201473050395445,4.24538888443407,-2.88939372671132
"87",-0.0198460752913796,4.2472382665198,-2.89184976451907
"88",-0.0206899640527373,4.25795848431296,-2.9015049254892
"89",-0.0184015299394533,4.24317191553032,-2.89385744636333
"90",-0.0205735845319319,4.23858269629338,-2.88525290803302
"91",-0.0211118003278258,4.25292804869599,-2.8981142276405
"92",-0.0180579214531004,4.24565319110782,-2.89334947537452
