"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Spinosaurus_.1",0.73,0.73,0.74,0.74,0.73,0.72,0.74,0.73,0.74,0.71,0.72,0.72,0.72,0.74,0.73,0.72,0.74,0.73,0.73,0.71,0.74,0.74,0.72,0.72,0.74,0.74,0.74,0.72,0.72,0.74,0.71,0.74,0.72,0.73,0.73,0.74,0.73,0.74,0.72,0.72,0.71,0.74,0.74,0.74,0.73,0.71,0.74,0.72,0.74,0.73,0.72,0.72,0.73,0.72,0.72,0.72,0.73,0.71,0.74,0.74,0.71,0.73,0.71,0.72,0.72,0.74,0.72,0.73,0.72,0.72,0.72,0.75,0.74,0.74,0.73,0.72,0.74,0.74,0.74,0.71,0.73,0.74,0.74,0.72,0.73,0.73,0.72,0.73,0.74,0.72,0.72,0.74,0.72,0.74,0.71,0.72,0.74,0.72,0.71,0.72
"Spinosaurus_",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97
"Baryonyx.3",0.62,0.61,0.61,0.62,0.61,0.62,0.62,0.61,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.62,0.61,0.61,0.62,0.61,0.61,0.63,0.62,0.61,0.62,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.61,0.61,0.61,0.62,0.61,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.62,0.61,0.61,0.62,0.61,0.62,0.61,0.62,0.62,0.61,0.61,0.61,0.62,0.62,0.61,0.61,0.62,0.62,0.61
"Baryonyx.2",0.82,0.81,0.82,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.82,0.81,0.81,0.81,0.82,0.81,0.81,0.81,0.82,0.81,0.82,0.81,0.81,0.82,0.82,0.82,0.81,0.82,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.82,0.81,0.82,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.81,0.82,0.82,0.81,0.82,0.81,0.82,0.81,0.82,0.81,0.82,0.82,0.82,0.82,0.81,0.82,0.81,0.81,0.82,0.81,0.81,0.81,0.81,0.82,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
"Baryonyx.1",0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
"Suchomimus.3",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14
"Suchomimus.2",0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.27,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.27,0.28,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.28,0.27,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.29,0.28,0.28,0.29,0.27,0.27,0.28,0.29,0.29,0.28,0.28,0.28,0.29,0.28
"Suchomimus.1",0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14
"Suchomimus",0.28,0.28,0.28,0.28,0.27,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.29,0.27,0.28,0.28,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.29,0.29,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.27,0.29,0.28,0.28,0.27,0.29,0.28,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,0.29,0.28,0.27,0.28,0.28,0.29,0.28,0.28,0.29,0.28,0.29
"Baryonyx",0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.92,0.91,0.91,0.92,0.91,0.91,0.92,0.92,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.92,0.91,0.91
