"","actual class","predicted class","N","median P(diving)"
"Rattus_rattus","0","0","0","0.22"
"Hemiechinus_azurites","0","2","100","0.64"
"Otaria_byronia","2","2","100","0.83"
"Nyctereutes_procyonoides","0","0","0","0.37"
"Lama_guanicoe","0","0","0","0.11"
"Basilosaurus","2","2","100","0.95"
"Choeropsis_liberiensis","2","2","100","0.75"
"Syncerus_caffer","0","2","100","0.7"
"Capreolus_capreolus","0","0","0","0.12"
"Nothosaurus_568","2","2","100","0.97"
"Pogona_viceps","0","0","0","0.06"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","22","0.49"
"Spinosaurus_.9",NA,"2","100","0.95"
"Spinosaurus_.8",NA,"2","100","0.93"
"Spinosaurus_.7",NA,"2","100","0.88"
"Spinosaurus_.6",NA,"2","100","0.81"
"Spinosaurus_.5",NA,"2","100","0.97"
"Spinosaurus_.4",NA,"2","100","0.94"
"Spinosaurus_.3",NA,"2","100","0.92"
"Spinosaurus_.2",NA,"2","100","0.87"
"Spinosaurus_.1",NA,"2","100","0.8"
"Spinosaurus_",NA,"2","100","0.97"
"Baryonyx.3",NA,"2","100","0.75"
"Baryonyx.2",NA,"2","100","0.87"
"Baryonyx.1",NA,"2","100","0.94"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"0","0","0.49"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","0","0.48"
"Baryonyx",NA,"2","100","0.93"
