"","actual class","predicted class","N","median P(diving)"
"Elephas_maximus","0","2","100","0.83"
"Tamandua_tetradactyla","0","2","100","0.78"
"Hemiechinus_azurites","0","2","100","0.65"
"Mustela_nivalis","0","0","0","0.28"
"Giraffa_camelopardalis","0","0","0","0.32"
"Alces_americanus","0","0","0","0.38"
"Chapsosaurus_","2","2","100","0.96"
"Simosaurus","2","2","100","0.97"
"Plesiosaurus","2","2","100","0.97"
"Pogona_viceps","0","0","0","0.04"
"Spinosaurus_.11",NA,"0","0","0.48"
"Spinosaurus_.10",NA,"2","93","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.34"
"Suchomimus.2",NA,"2","100","0.52"
"Suchomimus.1",NA,"0","0","0.33"
"Suchomimus",NA,"2","100","0.51"
"Baryonyx",NA,"2","100","0.95"
"Dromaius_","0","0","0","0.05"
"Rynochetus_jubatus","0","0","0","0.04"
