Carentonosaurus_mineaui, {{100, {{47, 9, 9, 36}, 0.99}}}
Baryonyx.1, {{100, {{47, 9, 9, 36}, 0.98}}}
Spinosaurus.3, {{100, {{47, 9, 9, 36}, 0.98}}}
Spinosaurus.2, {{100, {{47, 9, 9, 36}, 1.0}}}
Spinosaurus.1, {{99, {{47, 9, 9, 36}, 0.98}}, {1, {{47, 9, 9, 36}, 0.97}}}
Baryonyx, {{100, {{47, 9, 9, 36}, 1.0}}}
Spinosaurus, {{100, {{47, 9, 9, 36}, 1.0}}}
Monodelphis_domestica, {{100, {{47, 9, 9, 36}, 0.13}}}
Perameles_nasuta, {{100, {{47, 9, 9, 36}, 0.21}}}
Dugong_dugon, {{100, {{47, 9, 9, 36}, 1.0}}}
Trichechus_manatus, {{100, {{47, 9, 9, 36}, 1.0}}}
Sciurus_vulgaris, {{100, {{47, 9, 9, 36}, 0.1}}}
Canis_lupus, {{2, {{47, 9, 9, 36}, 0.1}}, {98, {{47, 9, 9, 36}, 0.11}}}
Tapirus_indicus, {{100, {{47, 9, 9, 36}, 0.14}}}
Rhinocerus_unicornis, {{100, {{47, 9, 9, 36}, 0.86}}}
Bison_bison, {{100, {{47, 9, 9, 36}, 0.33}}}
Bison_bonasus, {{100, {{47, 9, 9, 36}, 0.02}}}
Mollesaurus, {{100, {{49, 10, 7, 35}, 0.82}}}
Tylosaurus_sp., {{100, {{49, 10, 7, 35}, 0.87}}}
Baryonyx.1, {{100, {{49, 10, 7, 35}, 0.97}}}
Spinosaurus.3, {{100, {{49, 10, 7, 35}, 0.97}}}
Spinosaurus.2, {{100, {{49, 10, 7, 35}, 1.0}}}
Spinosaurus.1, {{100, {{49, 10, 7, 35}, 0.96}}}
Baryonyx, {{100, {{49, 10, 7, 35}, 1.0}}}
Spinosaurus, {{100, {{49, 10, 7, 35}, 0.99}}}
Spheniscus_humboldti, {{100, {{49, 10, 7, 35}, 0.94}}}
Macropus_rufus, {{100, {{49, 10, 7, 35}, 0.53}}}
Choloepus_didactylus, {{100, {{49, 10, 7, 35}, 0.08}}}
Lepus_europaeus, {{100, {{49, 10, 7, 35}, 0.33}}}
Erinaceus_europaeus, {{73, {{49, 10, 7, 35}, 0.1}}, {27, {{49, 10, 7, 35}, 0.09}}}
Diplomesodon_pulchellum, {{100, {{49, 10, 7, 35}, 0.32}}}
Vulpes_vulpes, {{100, {{49, 10, 7, 35}, 0.04}}}
Basilosaurus, {{100, {{49, 10, 7, 35}, 0.99}}}
Rangifer_tarandus, {{100, {{49, 10, 7, 35}, 0.58}}}
Baryonyx.1, {{40, {{45, 10, 9, 37}, 0.97}}, {11, {{46, 10, 8, 37}, 0.98}}, {41, {{45, 10, 9, 37}, 0.98}}, {8, {{46, 10, 8, 37}, 0.97}}}
Spinosaurus.3, {{19, {{46, 10, 8, 37}, 0.98}}, {81, {{45, 10, 9, 37}, 0.98}}}
Spinosaurus.2, {{19, {{46, 10, 8, 37}, 1.0}}, {81, {{45, 10, 9, 37}, 1.0}}}
Spinosaurus.1, {{81, {{45, 10, 9, 37}, 0.97}}, {19, {{46, 10, 8, 37}, 0.97}}}
Baryonyx, {{19, {{46, 10, 8, 37}, 1.0}}, {81, {{45, 10, 9, 37}, 1.0}}}
Spinosaurus, {{19, {{46, 10, 8, 37}, 1.0}}, {81, {{45, 10, 9, 37}, 1.0}}}
Orycteropus_afer, {{19, {{46, 10, 8, 37}, 0.05}}, {81, {{45, 10, 9, 37}, 0.05}}}
Rhynchocyon_petersi, {{19, {{46, 10, 8, 37}, 0.25}}, {81, {{45, 10, 9, 37}, 0.25}}}
Tenrec_ecaudatus, {{81, {{45, 10, 9, 37}, 0.31}}, {19, {{46, 10, 8, 37}, 0.31}}}
Paleoparadoxia_sp, {{14, {{45, 10, 9, 37}, 0.99}}, {16, {{46, 10, 8, 37}, 1.0}}, {67, {{45, 10, 9, 37}, 1.0}}, {3, {{46, 10, 8, 37}, 0.99}}}
Euroscaptor_micrura, {{19, {{46, 10, 8, 37}, 0.21}}, {81, {{45, 10, 9, 37}, 0.21}}}
Crocidura_russula, {{19, {{46, 10, 8, 37}, 0.1}}, {81, {{45, 10, 9, 37}, 0.1}}}
Taxidea_taxus, {{81, {{45, 10, 9, 37}, 0.33}}, {19, {{46, 10, 8, 37}, 0.33}}}
Martes_foina, {{81, {{45, 10, 9, 37}, 0.16}}, {19, {{46, 10, 8, 37}, 0.16}}}
Rhinoceros_sondaicus, {{19, {{46, 10, 8, 37}, 0.96}}, {81, {{45, 10, 9, 37}, 0.96}}}
Sus_scrofa, {{19, {{46, 10, 8, 37}, 0.05}}, {81, {{45, 10, 9, 37}, 0.05}}}
Choeropsis_liberiensis, {{28, {{45, 10, 9, 37}, 0.61}}, {3, {{46, 10, 8, 37}, 0.62}}, {53, {{45, 10, 9, 37}, 0.62}}, {16, {{46, 10, 8, 37}, 0.61}}}
Baryonyx.1, {{100, {{44, 10, 11, 36}, 0.96}}}
Spinosaurus.3, {{100, {{44, 10, 11, 36}, 0.96}}}
Spinosaurus.2, {{100, {{44, 10, 11, 36}, 0.99}}}
Spinosaurus.1, {{100, {{44, 10, 11, 36}, 0.95}}}
Baryonyx, {{100, {{44, 10, 11, 36}, 0.99}}}
Spinosaurus, {{100, {{44, 10, 11, 36}, 0.99}}}
Casuarius_casuarius, {{92, {{44, 10, 11, 36}, 0.24}}, {8, {{44, 10, 11, 36}, 0.25}}}
Strigiops_habroptilus, {{26, {{44, 10, 11, 36}, 0.15}}, {74, {{44, 10, 11, 36}, 0.16}}}
Procavia_capensis, {{100, {{44, 10, 11, 36}, 0.15}}}
Castor_fiber, {{100, {{44, 10, 11, 36}, 0.91}}}
Hemiechinus_azurites, {{100, {{44, 10, 11, 36}, 0.13}}}
Enhydra_lutris, {{60, {{44, 10, 11, 36}, 0.94}}, {40, {{44, 10, 11, 36}, 0.95}}}
Lissodelphis_borealis, {{99, {{44, 10, 11, 36}, 0.57}}, {1, {{44, 10, 11, 36}, 0.58}}}
Giraffa_camelopardalis, {{100, {{44, 10, 11, 36}, 0.14}}}
Capreolus_capreolus, {{100, {{44, 10, 11, 36}, 0.02}}}
Aepyceros_melampus, {{100, {{44, 10, 11, 36}, 0.39}}}
Hemitragus_jayakari, {{60, {{44, 10, 11, 36}, 0.2}}, {40, {{44, 10, 11, 36}, 0.19}}}
Crocodylus_niloticus, {{100, {{48, 10, 10, 33}, 0.98}}}
Baryonyx.1, {{79, {{48, 10, 10, 33}, 0.96}}, {21, {{48, 10, 10, 33}, 0.97}}}
Spinosaurus.3, {{100, {{48, 10, 10, 33}, 0.97}}}
Spinosaurus.2, {{100, {{48, 10, 10, 33}, 0.99}}}
Spinosaurus.1, {{100, {{48, 10, 10, 33}, 0.96}}}
Baryonyx, {{100, {{48, 10, 10, 33}, 0.99}}}
Spinosaurus, {{100, {{48, 10, 10, 33}, 0.99}}}
Apteryx_owenii, {{100, {{48, 10, 10, 33}, 0.54}}}
Phalacrocorax_harris, {{100, {{48, 10, 10, 33}, 0.84}}}
Myoprocta_pratti, {{100, {{48, 10, 10, 33}, 0.05}}}
Felis_silvestris, {{100, {{48, 10, 10, 33}, 0.19}}}
Callophoca_obscura, {{99, {{48, 10, 10, 33}, 0.66}}, {1, {{48, 10, 10, 33}, 0.65}}}
Martes_martes, {{87, {{48, 10, 10, 33}, 0.16}}, {13, {{48, 10, 10, 33}, 0.17}}}
Rodhocetus, {{100, {{48, 10, 10, 33}, 0.98}}}
Dorudon, {{100, {{48, 10, 10, 33}, 0.99}}}
Delphinapterus_leucas, {{100, {{48, 10, 10, 33}, 0.95}}}
Ovis_aries, {{100, {{48, 10, 10, 33}, 0.22}}}
Serpianosaurus, {{100, {{52, 9, 7, 33}, 1.0}}}
Platecarpus_sp., {{100, {{52, 9, 7, 33}, 0.95}}}
Metriorhynchid_indet., {{100, {{52, 9, 7, 33}, 0.42}}}
Baryonyx.1, {{100, {{52, 9, 7, 33}, 0.98}}}
Spinosaurus.3, {{100, {{52, 9, 7, 33}, 0.98}}}
Spinosaurus.2, {{100, {{52, 9, 7, 33}, 1.0}}}
Spinosaurus.1, {{100, {{52, 9, 7, 33}, 0.97}}}
Baryonyx, {{100, {{52, 9, 7, 33}, 1.0}}}
Spinosaurus, {{100, {{52, 9, 7, 33}, 1.0}}}
Aptenodytes_patagonicus, {{5, {{52, 9, 7, 33}, 0.67}}, {95, {{52, 9, 7, 33}, 0.68}}}
Microgale_thomasi, {{68, {{52, 9, 7, 33}, 0.1}}, {32, {{52, 9, 7, 33}, 0.11}}}
Galagoides_demidovii, {{100, {{52, 9, 7, 33}, 0.01}}}
Desmana_moschata, {{5, {{52, 9, 7, 33}, 0.89}}, {95, {{52, 9, 7, 33}, 0.88}}}
Noemys_fodies, {{100, {{52, 9, 7, 33}, 0.55}}}
Ursus_spelaeus, {{100, {{52, 9, 7, 33}, 0.92}}}
Ceratotherium_simum, {{100, {{52, 9, 7, 33}, 0.54}}}
Hippopotamus_amphibius, {{100, {{52, 9, 7, 33}, 0.91}}}
