{{94, {34, 11, 29, 38}}, {6, {34, 12, 29, 37}}}
{{100, {52, 9, 11, 40}}}
{{100, {48, 10, 15, 39}}}
{{100, {51, 7, 12, 42}}}
{{100, {56, 8, 7, 41}}}
{{100, {57, 6, 6, 43}}}
{{100, {58, 7, 5, 42}}}
{{100, {48, 12, 15, 37}}}
{{100, {54, 8, 9, 41}}}
{{100, {54, 5, 9, 44}}}
{{100, {57, 12, 6, 37}}}
{{100, {58, 13, 5, 36}}}
{{100, {52, 8, 11, 41}}}
{{100, {49, 13, 14, 36}}}
{{100, {45, 16, 18, 33}}}
{{100, {50, 8, 13, 41}}}
{{100, {43, 9, 20, 40}}}
{{100, {44, 11, 19, 38}}}
{{100, {53, 12, 10, 37}}}
{{100, {53, 11, 10, 38}}}
{{100, {55, 11, 8, 38}}}
{{100, {51, 11, 12, 38}}}
{{100, {50, 10, 13, 39}}}
{{100, {56, 11, 7, 38}}}
{{100, {53, 8, 10, 41}}}
{{7, {54, 6, 9, 43}}, {93, {53, 6, 10, 43}}}
{{100, {47, 7, 16, 42}}}
{{100, {50, 9, 13, 40}}}
{{100, {50, 12, 13, 37}}}
{{100, {54, 7, 9, 42}}}
{{100, {42, 8, 21, 41}}}
{{100, {52, 9, 11, 40}}}
{{100, {49, 10, 14, 39}}}
{{100, {54, 10, 9, 39}}}
{{100, {41, 10, 22, 39}}}
{{100, {56, 7, 7, 42}}}
{{100, {57, 8, 6, 41}}}
{{100, {54, 9, 9, 40}}}
{{100, {55, 5, 8, 44}}}
{{100, {55, 7, 8, 42}}}
{{100, {55, 12, 8, 37}}}
{{100, {55, 7, 8, 42}}}
{{100, {52, 11, 11, 38}}}
{{100, {48, 12, 15, 37}}}
{{100, {57, 8, 6, 41}}}
{{100, {56, 9, 7, 40}}}
{{100, {52, 8, 11, 41}}}
{{100, {43, 12, 20, 37}}}
{{100, {57, 9, 6, 40}}}
{{100, {55, 8, 8, 41}}}
{{100, {55, 10, 8, 39}}}
{{100, {49, 8, 14, 41}}}
{{100, {58, 9, 5, 40}}}
{{100, {53, 8, 10, 41}}}
{{100, {58, 6, 5, 43}}}
{{100, {55, 8, 8, 41}}}
{{100, {53, 8, 10, 41}}}
{{100, {58, 9, 5, 40}}}
{{100, {49, 7, 14, 42}}}
{{100, {53, 6, 10, 43}}}
{{100, {59, 8, 4, 41}}}
{{100, {51, 11, 12, 38}}}
{{100, {54, 7, 9, 42}}}
{{100, {50, 10, 13, 39}}}
{{100, {52, 12, 11, 37}}}
{{100, {42, 7, 21, 42}}}
{{100, {54, 6, 9, 43}}}
{{100, {51, 8, 12, 41}}}
{{100, {51, 9, 12, 40}}}
{{99, {51, 12, 12, 37}}, {1, {51, 13, 12, 36}}}
{{100, {53, 9, 10, 40}}}
{{100, {60, 8, 3, 41}}}
{{100, {52, 11, 11, 38}}}
{{100, {54, 9, 9, 40}}}
{{100, {51, 11, 12, 38}}}
{{100, {52, 9, 11, 40}}}
{{100, {50, 8, 13, 41}}}
{{100, {55, 9, 8, 40}}}
{{100, {46, 12, 17, 37}}}
{{100, {50, 11, 13, 38}}}
{{100, {57, 13, 6, 36}}}
{{100, {54, 7, 9, 42}}}
{{100, {51, 6, 12, 43}}}
{{100, {52, 15, 11, 34}}}
{{100, {48, 14, 15, 35}}}
{{100, {53, 10, 10, 39}}}
{{100, {60, 6, 3, 43}}}
{{100, {56, 6, 7, 43}}}
{{100, {54, 10, 9, 39}}}
{{100, {50, 8, 13, 41}}}
{{100, {55, 10, 8, 39}}}
{{2, {55, 14, 8, 35}}, {98, {56, 14, 7, 35}}}
{{100, {53, 9, 10, 40}}}
{{100, {49, 6, 14, 43}}}
{{100, {48, 13, 15, 36}}}
{{100, {57, 8, 6, 41}}}
{{100, {53, 8, 10, 41}}}
{{77, {51, 13, 12, 36}}, {23, {52, 13, 11, 36}}}
{{100, {52, 9, 11, 40}}}
{{100, {48, 11, 15, 38}}}
{{100, {53, 15, 10, 34}}}
{{100, {57, 9, 6, 40}}}
{{100, {56, 7, 7, 42}}}
{{100, {57, 12, 6, 37}}}
{{84, {51, 6, 12, 43}}, {16, {52, 6, 11, 43}}}
{{100, {54, 6, 9, 43}}}
{{100, {52, 5, 11, 44}}}
{{100, {51, 7, 12, 42}}}
{{100, {57, 6, 6, 43}}}
{{100, {50, 10, 13, 39}}}
{{100, {53, 11, 10, 38}}}
{{69, {50, 8, 13, 41}}, {31, {49, 8, 14, 41}}}
{{100, {53, 9, 10, 40}}}
{{100, {48, 10, 15, 39}}}
{{100, {58, 7, 5, 42}}}
{{100, {46, 10, 17, 39}}}
{{100, {55, 7, 8, 42}}}
{{100, {57, 7, 6, 42}}}
{{100, {53, 8, 10, 41}}}
{{100, {58, 6, 5, 43}}}
{{100, {54, 6, 9, 43}}}
{{100, {48, 9, 15, 40}}}
{{100, {48, 11, 15, 38}}}
{{100, {44, 16, 19, 33}}}
{{100, {55, 10, 8, 39}}}
{{100, {52, 10, 11, 39}}}
{{100, {57, 11, 6, 38}}}
{{100, {51, 11, 12, 38}}}
{{100, {54, 13, 9, 36}}}
{{100, {55, 6, 8, 43}}}
{{100, {59, 9, 4, 40}}}
{{100, {42, 10, 21, 39}}}
{{100, {55, 6, 8, 43}}}
{{100, {53, 8, 10, 41}}}
{{100, {56, 11, 7, 38}}}
{{100, {54, 9, 9, 40}}}
{{97, {42, 9, 21, 40}}, {1, {42, 10, 21, 39}}, {2, {42, 11, 21, 38}}}
{{60, {46, 13, 17, 36}}, {40, {46, 11, 17, 38}}}
{{100, {45, 12, 18, 37}}}
{{100, {51, 6, 12, 43}}}
{{100, {56, 12, 7, 37}}}
{{100, {48, 4, 15, 45}}}
{{100, {53, 11, 10, 38}}}
{{100, {50, 6, 13, 43}}}
{{100, {46, 14, 17, 35}}}
{{100, {57, 11, 6, 38}}}
{{100, {57, 12, 6, 37}}}
{{100, {54, 14, 9, 35}}}
{{100, {54, 12, 9, 37}}}
{{100, {53, 12, 10, 37}}}
{{100, {55, 6, 8, 43}}}
{{100, {53, 10, 10, 39}}}
{{100, {56, 9, 7, 40}}}
{{100, {53, 8, 10, 41}}}
{{100, {53, 8, 10, 41}}}
{{100, {54, 9, 9, 40}}}
{{100, {58, 9, 5, 40}}}
{{100, {53, 9, 10, 40}}}
{{100, {53, 10, 10, 39}}}
{{100, {54, 11, 9, 38}}}
{{100, {53, 9, 10, 40}}}
{{100, {52, 5, 11, 44}}}
{{36, {52, 8, 11, 41}}, {64, {53, 8, 10, 41}}}
{{100, {55, 7, 8, 42}}}
{{100, {57, 10, 6, 39}}}
{{100, {55, 10, 8, 39}}}
{{36, {50, 8, 13, 41}}, {64, {50, 7, 13, 42}}}
{{100, {56, 8, 7, 41}}}
{{100, {51, 10, 12, 39}}}
{{100, {52, 10, 11, 39}}}
{{100, {55, 10, 8, 39}}}
{{100, {56, 10, 7, 39}}}
{{100, {46, 13, 17, 36}}}
{{100, {50, 9, 13, 40}}}
{{100, {56, 8, 7, 41}}}
{{100, {54, 9, 9, 40}}}
{{100, {59, 9, 4, 40}}}
{{100, {55, 9, 8, 40}}}
{{100, {58, 8, 5, 41}}}
{{100, {56, 9, 7, 40}}}
{{100, {50, 10, 13, 39}}}
{{100, {55, 7, 8, 42}}}
{{68, {50, 10, 13, 39}}, {32, {51, 10, 12, 39}}}
{{100, {50, 12, 13, 37}}}
{{100, {49, 4, 14, 45}}}
{{100, {42, 10, 21, 39}}}
{{100, {55, 7, 8, 42}}}
{{100, {52, 9, 11, 40}}}
{{13, {51, 8, 12, 41}}, {60, {51, 10, 12, 39}}, {18, {51, 11, 12, 38}}, {9, {51, 9, 12, 40}}}
{{100, {54, 5, 9, 44}}}
{{100, {52, 9, 11, 40}}}
{{100, {49, 7, 14, 42}}}
{{2, {43, 12, 20, 37}}, {87, {43, 10, 20, 39}}, {4, {43, 11, 20, 38}}, {7, {43, 13, 20, 36}}}
{{100, {53, 8, 10, 41}}}
{{100, {54, 9, 9, 40}}}
{{100, {52, 9, 11, 40}}}
