"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.46"
"Spinosaurus_.10","UNKNOWN","0","0","0.48"
"Spinosaurus_.9","UNKNOWN","2","100","0.88"
"Spinosaurus_.8","UNKNOWN","2","100","0.85"
"Spinosaurus_.7","UNKNOWN","2","100","0.8"
"Spinosaurus_.6","UNKNOWN","2","100","0.74"
"Spinosaurus_.5","UNKNOWN","2","100","0.92"
"Spinosaurus_.4","UNKNOWN","2","100","0.86"
"Spinosaurus_.3","UNKNOWN","2","100","0.83"
"Spinosaurus_.2","UNKNOWN","2","100","0.78"
"Spinosaurus_.1","UNKNOWN","2","100","0.71"
"Spinosaurus_","UNKNOWN","2","100","0.91"
"Baryonyx.3","UNKNOWN","2","100","0.7"
"Baryonyx.2","UNKNOWN","2","100","0.8"
"Baryonyx.1","UNKNOWN","2","100","0.87"
"Suchomimus.3","UNKNOWN","0","0","0.4"
"Suchomimus.2","UNKNOWN","2","100","0.51"
"Suchomimus.1","UNKNOWN","0","0","0.39"
"Suchomimus","UNKNOWN","0","63","0.5"
"Baryonyx","UNKNOWN","2","100","0.86"
