Spinosaurus, {{100, {{46, 6, 5, 26}, 1.0}}}
Caloenas_nicobarica, {{95, {{46, 6, 5, 26}, 0.11}}, {5, {{46, 6, 5, 26}, 0.1}}}
Strigiops_habroptilus, {{100, {{46, 6, 5, 26}, 0.02}}}
Zaglossus_bruijni, {{100, {{46, 6, 5, 26}, 0.0}}}
Euroscaptor_micrura, {{3, {{46, 6, 5, 26}, 0.09}}, {97, {{46, 6, 5, 26}, 0.1}}}
Crocidura_russula, {{100, {{46, 6, 5, 26}, 0.03}}}
Martes_foina, {{100, {{46, 6, 5, 26}, 0.03}}}
Lutra_vulgaris, {{2, {{46, 6, 5, 26}, 0.99}}, {98, {{46, 6, 5, 26}, 0.98}}}
Basilosaurus, {{100, {{46, 6, 5, 26}, 1.0}}}
Ovis_aries, {{100, {{46, 6, 5, 26}, 0.01}}}
Baryonyx.1, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.3, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.2, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus.1, {{100, {{51, 3, 2, 27}, 1.0}}}
Baryonyx, {{100, {{51, 3, 2, 27}, 1.0}}}
Spinosaurus, {{100, {{51, 3, 2, 27}, 1.0}}}
Perameles_nasuta, {{91, {{51, 3, 2, 27}, 0.0}}, {9, {{51, 3, 2, 27}, 0.01}}}
Ashoroa_laticosta, {{100, {{51, 3, 2, 27}, 1.0}}}
Lepus_europaeus, {{61, {{51, 3, 2, 27}, 0.02}}, {39, {{51, 3, 2, 27}, 0.01}}}
Myocastor_coypus, {{100, {{51, 3, 2, 27}, 0.0}}}
Rattus_rattus, {{3, {{51, 3, 2, 27}, 0.05}}, {97, {{51, 3, 2, 27}, 0.06}}}
Neovison_vison, {{17, {{51, 3, 2, 27}, 0.02}}, {83, {{51, 3, 2, 27}, 0.01}}}
Tapirus_indicus, {{100, {{51, 3, 2, 27}, 0.0}}}
Cervus_elaphus_canadensis, {{100, {{51, 3, 2, 27}, 0.0}}}
Bison_bison, {{100, {{51, 3, 2, 27}, 0.0}}}
Baryonyx.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.3, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.2, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Baryonyx, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{48, 5, 4, 26}, 1.0}}}
Monodelphis_domestica, {{100, {{48, 5, 4, 26}, 0.0}}}
Procavia_capensis, {{100, {{48, 5, 4, 26}, 0.0}}}
Dasyprocta__punctata, {{100, {{48, 5, 4, 26}, 0.0}}}
Myoprocta_pratti, {{100, {{48, 5, 4, 26}, 0.0}}}
Arvicola_amphibius, {{100, {{48, 5, 4, 26}, 0.0}}}
Noemys_fodies, {{67, {{48, 5, 4, 26}, 0.66}}, {33, {{48, 5, 4, 26}, 0.67}}}
Tapirus_terrestris, {{58, {{48, 5, 4, 26}, 0.66}}, {42, {{48, 5, 4, 26}, 0.65}}}
Capreolus_capreolus, {{100, {{48, 5, 4, 26}, 0.0}}}
Rangifer_tarandus, {{41, {{48, 5, 4, 26}, 0.24}}, {58, {{48, 5, 4, 26}, 0.25}}, {1, {{48, 5, 4, 26}, 0.23}}}
Nothosaurus_sp., {{100, {{51, 6, 4, 22}, 1.0}}}
Ceresiosaurus, {{100, {{51, 6, 4, 22}, 1.0}}}
Baryonyx.1, {{100, {{51, 6, 4, 22}, 0.99}}}
Spinosaurus.3, {{100, {{51, 6, 4, 22}, 0.99}}}
Spinosaurus.2, {{100, {{51, 6, 4, 22}, 1.0}}}
Spinosaurus.1, {{100, {{51, 6, 4, 22}, 0.99}}}
Baryonyx, {{100, {{51, 6, 4, 22}, 1.0}}}
Spinosaurus, {{100, {{51, 6, 4, 22}, 1.0}}}
Eudyptes_chrysocome, {{100, {{51, 6, 4, 22}, 0.97}}}
Choloepus_didactylus, {{100, {{51, 6, 4, 22}, 0.01}}}
Trichechus_manatus, {{100, {{51, 6, 4, 22}, 1.0}}}
Castor_fiber, {{100, {{51, 6, 4, 22}, 0.97}}}
Ursus_spelaeus, {{69, {{51, 6, 4, 22}, 0.95}}, {31, {{51, 6, 4, 22}, 0.94}}}
Enhydra_lutris, {{100, {{51, 6, 4, 22}, 0.99}}}
Sus_scrofa, {{27, {{51, 6, 4, 22}, 0.0}}, {73, {{51, 6, 4, 22}, 0.01}}}
Carentonosaurus_mineaui, {{100, {{48, 6, 3, 26}, 1.0}}}
Baryonyx.1, {{5, {{48, 6, 3, 26}, 0.99}}, {95, {{48, 6, 3, 26}, 1.0}}}
Spinosaurus.3, {{100, {{48, 6, 3, 26}, 1.0}}}
Spinosaurus.2, {{100, {{48, 6, 3, 26}, 1.0}}}
Spinosaurus.1, {{99, {{48, 6, 3, 26}, 0.99}}, {1, {{48, 6, 3, 26}, 1.0}}}
Baryonyx, {{100, {{48, 6, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 3, 26}, 1.0}}}
Struthio_camelus, {{99, {{48, 6, 3, 26}, 0.02}}, {1, {{48, 6, 3, 26}, 0.01}}}
Macropus_rufus, {{6, {{48, 6, 3, 26}, 0.34}}, {94, {{48, 6, 3, 26}, 0.35}}}
Gorilla_gorilla, {{100, {{48, 6, 3, 26}, 0.0}}}
Desmana_moschata, {{100, {{48, 6, 3, 26}, 0.98}}}
Diplomesodon_pulchellum, {{77, {{48, 6, 3, 26}, 0.21}}, {23, {{48, 6, 3, 26}, 0.22}}}
Genetta_genetta, {{100, {{48, 6, 3, 26}, 0.01}}}
Tremarctos_ornatus, {{100, {{48, 6, 3, 26}, 0.62}}}
Equus_caballus, {{44, {{48, 6, 3, 26}, 0.11}}, {56, {{48, 6, 3, 26}, 0.12}}}
Baryonyx.1, {{100, {{46, 6, 4, 27}, 0.99}}}
Spinosaurus.3, {{100, {{46, 6, 4, 27}, 0.99}}}
Spinosaurus.2, {{100, {{46, 6, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{46, 6, 4, 27}, 0.99}}}
Baryonyx, {{100, {{46, 6, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{46, 6, 4, 27}, 1.0}}}
Tenrec_ecaudatus, {{27, {{46, 6, 4, 27}, 0.14}}, {73, {{46, 6, 4, 27}, 0.13}}}
Paleoparadoxia_sp, {{100, {{46, 6, 4, 27}, 1.0}}}
Sciurus_vulgaris, {{100, {{46, 6, 4, 27}, 0.02}}}
Erinaceus_europaeus, {{100, {{46, 6, 4, 27}, 0.01}}}
Panthera_leo_persica, {{100, {{46, 6, 4, 27}, 0.0}}}
Canis_lupus, {{100, {{46, 6, 4, 27}, 0.01}}}
Bison_bonasus, {{100, {{46, 6, 4, 27}, 0.0}}}
Aepyceros_melampus, {{96, {{46, 6, 4, 27}, 0.06}}, {4, {{46, 6, 4, 27}, 0.07}}}
Hemitragus_jayakari, {{100, {{46, 6, 4, 27}, 0.01}}}
