Baryonyx.1, {{100, {{50, 6, 3, 24}, 1.0}}}
Spinosaurus.3, {{100, {{50, 6, 3, 24}, 1.0}}}
Spinosaurus.2, {{100, {{50, 6, 3, 24}, 1.0}}}
Spinosaurus.1, {{35, {{50, 6, 3, 24}, 1.0}}, {65, {{50, 6, 3, 24}, 0.99}}}
Baryonyx, {{100, {{50, 6, 3, 24}, 1.0}}}
Spinosaurus, {{100, {{50, 6, 3, 24}, 1.0}}}
Ornithorhynchus_anatinus, {{99, {{50, 6, 3, 24}, 1.0}}, {1, {{50, 6, 3, 24}, 0.99}}}
Paleoparadoxia_sp, {{100, {{50, 6, 3, 24}, 1.0}}}
Erinaceus_europaeus, {{100, {{50, 6, 3, 24}, 0.0}}}
Panthera_leo_persica, {{100, {{50, 6, 3, 24}, 0.0}}}
Taxidea_taxus, {{79, {{50, 6, 3, 24}, 0.07}}, {21, {{50, 6, 3, 24}, 0.08}}}
Martes_martes, {{100, {{50, 6, 3, 24}, 0.01}}}
Hippopotamus_amphibius, {{99, {{50, 6, 3, 24}, 0.93}}, {1, {{50, 6, 3, 24}, 0.94}}}
Capra_aegagrus, {{100, {{50, 6, 3, 24}, 0.58}}}
Baryonyx.1, {{100, {{48, 6, 4, 25}, 0.99}}}
Spinosaurus.3, {{100, {{48, 6, 4, 25}, 0.99}}}
Spinosaurus.2, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{48, 6, 4, 25}, 0.99}}}
Baryonyx, {{100, {{48, 6, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{48, 6, 4, 25}, 1.0}}}
Struthio_camelus, {{100, {{48, 6, 4, 25}, 0.01}}}
Perameles_nasuta, {{100, {{48, 6, 4, 25}, 0.05}}}
Orycteropus_afer, {{100, {{48, 6, 4, 25}, 0.0}}}
Sciurus_vulgaris, {{90, {{48, 6, 4, 25}, 0.02}}, {10, {{48, 6, 4, 25}, 0.01}}}
Rattus_rattus, {{51, {{48, 6, 4, 25}, 0.19}}, {49, {{48, 6, 4, 25}, 0.2}}}
Enhydra_lutris, {{5, {{48, 6, 4, 25}, 0.99}}, {95, {{48, 6, 4, 25}, 1.0}}}
Lutra_vulgaris, {{92, {{48, 6, 4, 25}, 0.99}}, {8, {{48, 6, 4, 25}, 0.98}}}
Rodhocetus, {{100, {{48, 6, 4, 25}, 1.0}}}
Capreolus_capreolus, {{100, {{48, 6, 4, 25}, 0.0}}}
Baryonyx.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.3, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.2, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{48, 5, 4, 26}, 1.0}}}
Baryonyx, {{100, {{48, 5, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{48, 5, 4, 26}, 1.0}}}
Dasyurus_maculatus, {{25, {{48, 5, 4, 26}, 0.31}}, {75, {{48, 5, 4, 26}, 0.3}}}
Vombatus_ursinus, {{100, {{48, 5, 4, 26}, 0.98}}}
Dugong_dugon, {{100, {{48, 5, 4, 26}, 1.0}}}
Diplomesodon_pulchellum, {{39, {{48, 5, 4, 26}, 0.29}}, {61, {{48, 5, 4, 26}, 0.3}}}
Felis_silvestris, {{100, {{48, 5, 4, 26}, 0.01}}}
Canis_lupus, {{100, {{48, 5, 4, 26}, 0.0}}}
Nanophoca_vitulinoides, {{100, {{48, 5, 4, 26}, 1.0}}}
Choeropsis_liberiensis, {{58, {{48, 5, 4, 26}, 0.31}}, {42, {{48, 5, 4, 26}, 0.32}}}
Ovis_aries, {{100, {{48, 5, 4, 26}, 0.0}}}
Ceresiosaurus, {{100, {{49, 5, 4, 25}, 1.0}}}
Baryonyx.1, {{100, {{49, 5, 4, 25}, 0.99}}}
Spinosaurus.3, {{100, {{49, 5, 4, 25}, 0.99}}}
Spinosaurus.2, {{100, {{49, 5, 4, 25}, 1.0}}}
Spinosaurus.1, {{100, {{49, 5, 4, 25}, 0.99}}}
Baryonyx, {{100, {{49, 5, 4, 25}, 1.0}}}
Spinosaurus, {{100, {{49, 5, 4, 25}, 1.0}}}
Spheniscus_humboldti, {{100, {{49, 5, 4, 25}, 0.99}}}
Tachyglossus_aculeatus_setosus, {{93, {{49, 5, 4, 25}, 0.01}}, {7, {{49, 5, 4, 25}, 0.02}}}
Didelphis_sp., {{100, {{49, 5, 4, 25}, 0.0}}}
Choloepus_didactylus, {{100, {{49, 5, 4, 25}, 0.0}}}
Dasyprocta__punctata, {{100, {{49, 5, 4, 25}, 0.0}}}
Vulpes_vulpes, {{100, {{49, 5, 4, 25}, 0.0}}}
Neovison_vison, {{100, {{49, 5, 4, 25}, 0.1}}}
Dorudon, {{100, {{49, 5, 4, 25}, 1.0}}}
Baryonyx.1, {{100, {{46, 6, 4, 27}, 0.99}}}
Spinosaurus.3, {{100, {{46, 6, 4, 27}, 0.99}}}
Spinosaurus.2, {{100, {{46, 6, 4, 27}, 1.0}}}
Spinosaurus.1, {{100, {{46, 6, 4, 27}, 0.99}}}
Baryonyx, {{100, {{46, 6, 4, 27}, 1.0}}}
Spinosaurus, {{100, {{46, 6, 4, 27}, 1.0}}}
Atlantisia_rogersi, {{35, {{46, 6, 4, 27}, 0.28}}, {65, {{46, 6, 4, 27}, 0.29}}}
Zaglossus_bruijni, {{100, {{46, 6, 4, 27}, 0.0}}}
Ashoroa_laticosta, {{100, {{46, 6, 4, 27}, 1.0}}}
Galagoides_demidovii, {{100, {{46, 6, 4, 27}, 0.0}}}
Lepus_europaeus, {{40, {{46, 6, 4, 27}, 0.12}}, {60, {{46, 6, 4, 27}, 0.11}}}
Bison_bison, {{100, {{46, 6, 4, 27}, 0.04}}}
Bison_bonasus, {{100, {{46, 6, 4, 27}, 0.0}}}
Aepyceros_melampus, {{8, {{46, 6, 4, 27}, 0.05}}, {92, {{46, 6, 4, 27}, 0.06}}}
Hemitragus_jayakari, {{100, {{46, 6, 4, 27}, 0.01}}}
