Choeropsis_liberiensis, {{3, {{49, 4, 3, 27}, 0.26}}, {4, {{49, 4, 3, 27}, 0.24}}, {93, {{49, 4, 3, 27}, 0.25}}}
Bison_bison, {{100, {{49, 4, 3, 27}, 0.01}}}
Serpianosaurus, {{100, {{49, 6, 5, 23}, 1.0}}}
Crocodylus_niloticus, {{100, {{49, 6, 5, 23}, 1.0}}}
Baryonyx.1, {{100, {{49, 6, 5, 23}, 0.98}}}
Spinosaurus.3, {{23, {{49, 6, 5, 23}, 0.99}}, {77, {{49, 6, 5, 23}, 0.98}}}
Spinosaurus.2, {{100, {{49, 6, 5, 23}, 1.0}}}
Spinosaurus.1, {{100, {{49, 6, 5, 23}, 0.98}}}
Baryonyx, {{100, {{49, 6, 5, 23}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 5, 23}, 1.0}}}
Monodelphis_domestica, {{13, {{49, 6, 5, 23}, 0.05}}, {87, {{49, 6, 5, 23}, 0.06}}}
Ashoroa_laticosta, {{86, {{49, 6, 5, 23}, 1.0}}, {14, {{49, 6, 5, 23}, 0.99}}}
Sciurus_vulgaris, {{8, {{49, 6, 5, 23}, 0.03}}, {92, {{49, 6, 5, 23}, 0.04}}}
Genetta_genetta, {{100, {{49, 6, 5, 23}, 0.03}}}
Martes_martes, {{7, {{49, 6, 5, 23}, 0.03}}, {93, {{49, 6, 5, 23}, 0.02}}}
Tapirus_terrestris, {{100, {{49, 6, 5, 23}, 0.61}}}
Basilosaurus, {{100, {{49, 6, 5, 23}, 1.0}}}
Ceresiosaurus, {{100, {{50, 6, 3, 24}, 1.0}}}
Baryonyx.1, {{100, {{50, 6, 3, 24}, 0.99}}}
Spinosaurus.3, {{100, {{50, 6, 3, 24}, 0.99}}}
Spinosaurus.2, {{100, {{50, 6, 3, 24}, 1.0}}}
Spinosaurus.1, {{100, {{50, 6, 3, 24}, 0.99}}}
Baryonyx, {{100, {{50, 6, 3, 24}, 1.0}}}
Spinosaurus, {{100, {{50, 6, 3, 24}, 1.0}}}
Phalacrocorax_harris, {{100, {{50, 6, 3, 24}, 0.94}}}
Gorilla_gorilla, {{100, {{50, 6, 3, 24}, 0.0}}}
Apodemus_sp., {{100, {{50, 6, 3, 24}, 0.02}}}
Tremarctos_ornatus, {{100, {{50, 6, 3, 24}, 0.57}}}
Nanophoca_vitulinoides, {{100, {{50, 6, 3, 24}, 1.0}}}
Enhydra_lutris, {{100, {{50, 6, 3, 24}, 0.99}}}
Cervus_elaphus_canadensis, {{100, {{50, 6, 3, 24}, 0.0}}}
Capreolus_capreolus, {{100, {{50, 6, 3, 24}, 0.0}}}
Baryonyx.1, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.3, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.2, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.1, {{1, {{49, 6, 4, 24}, 1.0}}, {99, {{49, 6, 4, 24}, 0.99}}}
Baryonyx, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 4, 24}, 1.0}}}
Eudyptes_chrysocome, {{100, {{49, 6, 4, 24}, 0.99}}}
Choloepus_didactylus, {{100, {{49, 6, 4, 24}, 0.0}}}
Orycteropus_afer, {{100, {{49, 6, 4, 24}, 0.0}}}
Tenrec_ecaudatus, {{98, {{49, 6, 4, 24}, 0.09}}, {2, {{49, 6, 4, 24}, 0.08}}}
Castor_fiber, {{100, {{49, 6, 4, 24}, 0.99}}}
Rattus_rattus, {{1, {{49, 6, 4, 24}, 0.15}}, {96, {{49, 6, 4, 24}, 0.14}}, {3, {{49, 6, 4, 24}, 0.13}}}
Erinaceus_europaeus, {{100, {{49, 6, 4, 24}, 0.0}}}
Noemys_fodies, {{1, {{49, 6, 4, 24}, 0.8}}, {99, {{49, 6, 4, 24}, 0.81}}}
Rodhocetus, {{100, {{49, 6, 4, 24}, 1.0}}}
Carentonosaurus_mineaui, {{100, {{47, 6, 4, 26}, 1.0}}}
Baryonyx.1, {{100, {{47, 6, 4, 26}, 0.99}}}
Spinosaurus.3, {{100, {{47, 6, 4, 26}, 0.99}}}
Spinosaurus.2, {{100, {{47, 6, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{47, 6, 4, 26}, 0.99}}}
Baryonyx, {{100, {{47, 6, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 4, 26}, 1.0}}}
Strigiops_habroptilus, {{96, {{47, 6, 4, 26}, 0.03}}, {4, {{47, 6, 4, 26}, 0.02}}}
Galagoides_demidovii, {{100, {{47, 6, 4, 26}, 0.0}}}
Euroscaptor_micrura, {{16, {{47, 6, 4, 26}, 0.09}}, {84, {{47, 6, 4, 26}, 0.1}}}
Hemiechinus_azurites, {{100, {{47, 6, 4, 26}, 0.01}}}
Canis_lupus, {{100, {{47, 6, 4, 26}, 0.01}}}
Martes_foina, {{88, {{47, 6, 4, 26}, 0.03}}, {12, {{47, 6, 4, 26}, 0.04}}}
Camelus_bactrianus, {{100, {{47, 6, 4, 26}, 0.03}}}
Dorudon, {{100, {{47, 6, 4, 26}, 1.0}}}
Baryonyx.1, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus.3, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus.2, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus.1, {{20, {{47, 6, 3, 27}, 1.0}}, {80, {{47, 6, 3, 27}, 0.99}}}
Baryonyx, {{100, {{47, 6, 3, 27}, 1.0}}}
Spinosaurus, {{100, {{47, 6, 3, 27}, 1.0}}}
Apteryx_owenii, {{100, {{47, 6, 3, 27}, 0.48}}}
Casuarius_casuarius, {{2, {{47, 6, 3, 27}, 0.03}}, {98, {{47, 6, 3, 27}, 0.02}}}
Macropus_rufus, {{100, {{47, 6, 3, 27}, 0.36}}}
Desmana_moschata, {{100, {{47, 6, 3, 27}, 0.98}}}
Felis_silvestris, {{23, {{47, 6, 3, 27}, 0.01}}, {77, {{47, 6, 3, 27}, 0.02}}}
Aepyceros_melampus, {{21, {{47, 6, 3, 27}, 0.06}}, {79, {{47, 6, 3, 27}, 0.07}}}
Ovis_aries, {{100, {{47, 6, 3, 27}, 0.01}}}
Hemitragus_jayakari, {{100, {{47, 6, 3, 27}, 0.01}}}
Capra_aegagrus, {{100, {{47, 6, 3, 27}, 0.63}}}
