"","actual class","predicted class","N","median P(diving)"
"Monodelphis_domestica","0","2","100","0.69"
"Lama_guanicoe","0","0","0","0.08"
"Syncerus_caffer","0","2","100","0.73"
"Alces_americanus","0","0","0","0.35"
"Neusticosaurus","2","2","100","1"
"Nothosaurus_102","2","2","100","0.99"
"Dyrosaurid","2","0","0","0.26"
"Alligator","2","2","100","0.9"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","58","0.5"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.31"
"Suchomimus.2",NA,"0","94","0.5"
"Suchomimus.1",NA,"0","0","0.3"
"Suchomimus",NA,"0","0","0.49"
"Baryonyx",NA,"2","100","0.96"
"Dromaius_","0","0","0","0.04"
"Xenicus_giliventris","0","0","0","0.01"
"Rynochetus_jubatus","0","0","0","0.03"
