"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.33"
"Spinosaurus_.10","UNKNOWN","0","0","0.37"
"Spinosaurus_.9","UNKNOWN","2","100","0.92"
"Spinosaurus_.8","UNKNOWN","2","100","0.88"
"Spinosaurus_.7","UNKNOWN","2","100","0.81"
"Spinosaurus_.6","UNKNOWN","2","100","0.7"
"Spinosaurus_.5","UNKNOWN","2","100","0.96"
"Spinosaurus_.4","UNKNOWN","2","100","0.92"
"Spinosaurus_.3","UNKNOWN","2","100","0.89"
"Spinosaurus_.2","UNKNOWN","2","100","0.82"
"Spinosaurus_.1","UNKNOWN","2","100","0.71"
"Spinosaurus_","UNKNOWN","2","100","0.96"
"Baryonyx.3","UNKNOWN","2","100","0.58"
"Baryonyx.2","UNKNOWN","2","100","0.78"
"Baryonyx.1","UNKNOWN","2","100","0.9"
"Suchomimus.3","UNKNOWN","0","0","0.16"
"Suchomimus.2","UNKNOWN","0","0","0.29"
"Suchomimus.1","UNKNOWN","0","0","0.16"
"Suchomimus","UNKNOWN","0","0","0.3"
"Baryonyx","UNKNOWN","2","100","0.88"
