"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","22","0.49"
"Spinosaurus_.10","UNKNOWN","2","73","0.51"
"Spinosaurus_.9","UNKNOWN","2","100","0.87"
"Spinosaurus_.8","UNKNOWN","2","100","0.845"
"Spinosaurus_.7","UNKNOWN","2","100","0.8"
"Spinosaurus_.6","UNKNOWN","2","100","0.74"
"Spinosaurus_.5","UNKNOWN","2","100","0.91"
"Spinosaurus_.4","UNKNOWN","2","100","0.86"
"Spinosaurus_.3","UNKNOWN","2","100","0.83"
"Spinosaurus_.2","UNKNOWN","2","100","0.78"
"Spinosaurus_.1","UNKNOWN","2","100","0.72"
"Spinosaurus_","UNKNOWN","2","100","0.9"
"Baryonyx.3","UNKNOWN","2","100","0.7"
"Baryonyx.2","UNKNOWN","2","100","0.79"
"Baryonyx.1","UNKNOWN","2","100","0.87"
"Suchomimus.3","UNKNOWN","0","0","0.42"
"Suchomimus.2","UNKNOWN","2","100","0.53"
"Suchomimus.1","UNKNOWN","0","0","0.41"
"Suchomimus","UNKNOWN","2","100","0.52"
"Baryonyx","UNKNOWN","2","100","0.86"
