"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.35"
"Spinosaurus_.10","UNKNOWN","0","0","0.4"
"Spinosaurus_.9","UNKNOWN","2","100","0.96"
"Spinosaurus_.8","UNKNOWN","2","100","0.94"
"Spinosaurus_.7","UNKNOWN","2","100","0.9"
"Spinosaurus_.6","UNKNOWN","2","100","0.8"
"Spinosaurus_.5","UNKNOWN","2","100","0.99"
"Spinosaurus_.4","UNKNOWN","2","100","0.96"
"Spinosaurus_.3","UNKNOWN","2","100","0.94"
"Spinosaurus_.2","UNKNOWN","2","100","0.9"
"Spinosaurus_.1","UNKNOWN","2","100","0.8"
"Spinosaurus_","UNKNOWN","2","100","0.99"
"Baryonyx.3","UNKNOWN","2","100","0.69"
"Baryonyx.2","UNKNOWN","2","100","0.87"
"Baryonyx.1","UNKNOWN","2","100","0.95"
"Suchomimus.3","UNKNOWN","0","0","0.16"
"Suchomimus.2","UNKNOWN","0","0","0.33"
"Suchomimus.1","UNKNOWN","0","0","0.16"
"Suchomimus","UNKNOWN","0","0","0.33"
"Baryonyx","UNKNOWN","2","100","0.94"
