"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.2"
"Spinosaurus_.10","UNKNOWN","0","0","0.23"
"Spinosaurus_.9","UNKNOWN","2","100","0.96"
"Spinosaurus_.8","UNKNOWN","2","100","0.93"
"Spinosaurus_.7","UNKNOWN","2","100","0.85"
"Spinosaurus_.6","UNKNOWN","2","100","0.67"
"Spinosaurus_.5","UNKNOWN","2","100","0.99"
"Spinosaurus_.4","UNKNOWN","2","100","0.97"
"Spinosaurus_.3","UNKNOWN","2","100","0.95"
"Spinosaurus_.2","UNKNOWN","2","100","0.88"
"Spinosaurus_.1","UNKNOWN","2","100","0.73"
"Spinosaurus_","UNKNOWN","2","100","0.99"
"Baryonyx.3","UNKNOWN","0","0","0.45"
"Baryonyx.2","UNKNOWN","2","100","0.78"
"Baryonyx.1","UNKNOWN","2","100","0.94"
"Suchomimus.3","UNKNOWN","0","0","0.03"
"Suchomimus.2","UNKNOWN","0","0","0.11"
"Suchomimus.1","UNKNOWN","0","0","0.04"
"Suchomimus","UNKNOWN","0","0","0.12"
"Baryonyx","UNKNOWN","2","100","0.92"
