"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.39"
"Spinosaurus_.10","UNKNOWN","0","0","0.41"
"Spinosaurus_.9","UNKNOWN","2","100","0.88"
"Spinosaurus_.8","UNKNOWN","2","100","0.84"
"Spinosaurus_.7","UNKNOWN","2","100","0.78"
"Spinosaurus_.6","UNKNOWN","2","100","0.69"
"Spinosaurus_.5","UNKNOWN","2","100","0.92"
"Spinosaurus_.4","UNKNOWN","2","100","0.87"
"Spinosaurus_.3","UNKNOWN","2","100","0.84"
"Spinosaurus_.2","UNKNOWN","2","100","0.77"
"Spinosaurus_.1","UNKNOWN","2","100","0.68"
"Spinosaurus_","UNKNOWN","2","100","0.92"
"Baryonyx.3","UNKNOWN","2","100","0.62"
"Baryonyx.2","UNKNOWN","2","100","0.76"
"Baryonyx.1","UNKNOWN","2","100","0.86"
"Suchomimus.3","UNKNOWN","0","0","0.27"
"Suchomimus.2","UNKNOWN","0","0","0.39"
"Suchomimus.1","UNKNOWN","0","0","0.26"
"Suchomimus","UNKNOWN","0","0","0.39"
"Baryonyx","UNKNOWN","2","100","0.85"
