Rangifer_tarandus, {{2, {{47, 9, 9, 36}, 0.68}}, {98, {{47, 9, 9, 36}, 0.69}}}
Bison_bison, {{100, {{47, 9, 9, 36}, 0.46}}}
Hemitragus_jayakari, {{100, {{47, 9, 9, 36}, 0.19}}}
Nothosaurus_sp., {{100, {{47, 9, 10, 35}, 1.0}}}
Baryonyx.1, {{100, {{47, 9, 10, 35}, 0.96}}}
Spinosaurus.3, {{100, {{47, 9, 10, 35}, 0.97}}}
Spinosaurus.2, {{100, {{47, 9, 10, 35}, 0.99}}}
Spinosaurus.1, {{49, {{47, 9, 10, 35}, 0.95}}, {51, {{47, 9, 10, 35}, 0.96}}}
Baryonyx, {{100, {{47, 9, 10, 35}, 0.99}}}
Spinosaurus, {{100, {{47, 9, 10, 35}, 0.99}}}
Apteryx_owenii, {{100, {{47, 9, 10, 35}, 0.53}}}
Caloenas_nicobarica, {{100, {{47, 9, 10, 35}, 0.35}}}
Aptenodytes_patagonicus, {{19, {{47, 9, 10, 35}, 0.67}}, {81, {{47, 9, 10, 35}, 0.68}}}
Monodelphis_domestica, {{100, {{47, 9, 10, 35}, 0.2}}}
Ashoroa_laticosta, {{100, {{47, 9, 10, 35}, 0.98}}}
Neovison_vison, {{100, {{47, 9, 10, 35}, 0.34}}}
Hippopotamus_amphibius, {{100, {{47, 9, 10, 35}, 0.9}}}
Bison_bonasus, {{100, {{47, 9, 10, 35}, 0.05}}}
Aepyceros_melampus, {{100, {{47, 9, 10, 35}, 0.39}}}
Ovis_aries, {{100, {{47, 9, 10, 35}, 0.23}}}
Dallasaurus_turneri, {{100, {{48, 9, 8, 36}, 0.36}}}
Platecarpus_sp., {{1, {{48, 9, 8, 36}, 0.93}}, {99, {{48, 9, 8, 36}, 0.94}}}
Metriorhynchid_indet., {{100, {{48, 9, 8, 36}, 0.34}}}
Baryonyx.1, {{100, {{48, 9, 8, 36}, 0.97}}}
Spinosaurus.3, {{100, {{48, 9, 8, 36}, 0.97}}}
Spinosaurus.2, {{100, {{48, 9, 8, 36}, 1.0}}}
Spinosaurus.1, {{100, {{48, 9, 8, 36}, 0.96}}}
Baryonyx, {{100, {{48, 9, 8, 36}, 1.0}}}
Spinosaurus, {{100, {{48, 9, 8, 36}, 0.99}}}
Phalacrocorax_harris, {{100, {{48, 9, 8, 36}, 0.84}}}
Orycteropus_afer, {{100, {{48, 9, 8, 36}, 0.05}}}
Lepus_europaeus, {{15, {{48, 9, 8, 36}, 0.28}}, {85, {{48, 9, 8, 36}, 0.29}}}
Erinaceus_europaeus, {{5, {{48, 9, 8, 36}, 0.07}}, {95, {{48, 9, 8, 36}, 0.08}}}
Panthera_leo_persica, {{94, {{48, 9, 8, 36}, 0.04}}, {6, {{48, 9, 8, 36}, 0.03}}}
Mustela_nivalis, {{100, {{48, 9, 8, 36}, 0.25}}}
Sus_scrofa, {{100, {{48, 9, 8, 36}, 0.04}}}
Cervus_elaphus_canadensis, {{100, {{48, 9, 8, 36}, 0.03}}}
Ceresiosaurus, {{100, {{52, 8, 6, 35}, 1.0}}}
Tylosaurus_sp., {{100, {{52, 8, 6, 35}, 0.93}}}
Baryonyx.1, {{100, {{52, 8, 6, 35}, 0.99}}}
Spinosaurus.3, {{100, {{52, 8, 6, 35}, 1.0}}}
Spinosaurus.2, {{100, {{52, 8, 6, 35}, 1.0}}}
Spinosaurus.1, {{100, {{52, 8, 6, 35}, 0.99}}}
Baryonyx, {{100, {{52, 8, 6, 35}, 1.0}}}
Spinosaurus, {{100, {{52, 8, 6, 35}, 1.0}}}
Arvicola_amphibius, {{100, {{52, 8, 6, 35}, 0.01}}}
Rattus_rattus, {{100, {{52, 8, 6, 35}, 0.16}}}
Genetta_genetta, {{100, {{52, 8, 6, 35}, 0.04}}}
Phoca_vitulina, {{100, {{52, 8, 6, 35}, 0.0}}}
Ceratotherium_simum, {{100, {{52, 8, 6, 35}, 0.59}}}
Rhinoceros_sondaicus, {{100, {{52, 8, 6, 35}, 0.99}}}
Rhinocerus_unicornis, {{100, {{52, 8, 6, 35}, 0.91}}}
Rodhocetus, {{100, {{52, 8, 6, 35}, 0.99}}}
Basilosaurus, {{100, {{52, 8, 6, 35}, 1.0}}}
Crocodylus_niloticus, {{100, {{47, 10, 9, 35}, 0.99}}}
Baryonyx.1, {{100, {{47, 10, 9, 35}, 0.96}}}
Spinosaurus.3, {{34, {{47, 10, 9, 35}, 0.96}}, {66, {{47, 10, 9, 35}, 0.97}}}
Spinosaurus.2, {{100, {{47, 10, 9, 35}, 1.0}}}
Spinosaurus.1, {{100, {{47, 10, 9, 35}, 0.96}}}
Baryonyx, {{100, {{47, 10, 9, 35}, 1.0}}}
Spinosaurus, {{100, {{47, 10, 9, 35}, 0.99}}}
Atlantisia_rogersi, {{100, {{47, 10, 9, 35}, 0.44}}}
Vombatus_ursinus, {{100, {{47, 10, 9, 35}, 0.9}}}
Microgale_thomasi, {{100, {{47, 10, 9, 35}, 0.22}}}
Cercopithecus_mona, {{100, {{47, 10, 9, 35}, 0.02}}}
Crocidura_russula, {{100, {{47, 10, 9, 35}, 0.16}}}
Diplomesodon_pulchellum, {{100, {{47, 10, 9, 35}, 0.43}}}
Canis_lupus, {{100, {{47, 10, 9, 35}, 0.12}}}
Callophoca_obscura, {{98, {{47, 10, 9, 35}, 0.61}}, {2, {{47, 10, 9, 35}, 0.6}}}
Tapirus_terrestris, {{100, {{47, 10, 9, 35}, 0.74}}}
Choeropsis_liberiensis, {{100, {{47, 10, 9, 35}, 0.61}}}
Carentonosaurus_mineaui, {{100, {{47, 9, 9, 36}, 0.99}}}
Baryonyx.1, {{100, {{47, 9, 9, 36}, 0.97}}}
Spinosaurus.3, {{96, {{47, 9, 9, 36}, 0.98}}, {4, {{47, 9, 9, 36}, 0.97}}}
Spinosaurus.2, {{100, {{47, 9, 9, 36}, 1.0}}}
Spinosaurus.1, {{3, {{47, 9, 9, 36}, 0.96}}, {97, {{47, 9, 9, 36}, 0.97}}}
Baryonyx, {{100, {{47, 9, 9, 36}, 1.0}}}
Spinosaurus, {{100, {{47, 9, 9, 36}, 1.0}}}
