Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{100, 0.99}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{100, 0.99}}
Spinosaurus, {{100, 0.99}}
Apteryx_owenii, {{100, 0.52}}
Tachyglossus_aculeatus_setosus, {{100, 0.16}}
Didelphis_sp., {{100, 0.04}}
Dugong_dugon, {{100, 0.99}}
Elephas_maximus, {{100, 0.07}}
Gorilla_gorilla, {{100, 0.07}}
Hydromys_chrysogaster, {{56, 0.78}, {44, 0.79}}
Genetta_genetta, {{100, 0.14}}
Enhydra_lutris, {{100, 0.95}}
Rhinocerus_unicornis, {{100, 0.85}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.96}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{32, 0.99}, {68, 1.0}}
Spinosaurus.1, {{39, 0.95}, {61, 0.96}}
Baryonyx, {{25, 0.99}, {75, 1.0}}
Spinosaurus, {{100, 0.99}}
Lepus_europaeus, {{97, 0.37}, {3, 0.38}}
Desmana_moschata, {{1, 0.92}, {99, 0.91}}
Crocidura_russula, {{100, 0.13}}
Nanophoca_vitulinoides, {{100, 0.99}}
Neovison_vison, {{2, 0.33}, {98, 0.32}}
Tapirus_indicus, {{100, 0.17}}
Balaenoptera_brydei, {{1, 0.28}, {99, 0.29}}
Lissodelphis_borealis, {{100, 0.57}}
Capreolus_capreolus, {{100, 0.01}}
Bison_bison, {{100, 0.36}}
