Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{3, 0.96}, {97, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Zaglossus_bruijni, {{100, 0.02}}
Dasyprocta__punctata, {{93, 0.03}, {7, 0.04}}
Apodemus_sp., {{97, 0.09}, {3, 0.08}}
Euroscaptor_micrura, {{100, 0.21}}
Ursus_spelaeus, {{3, 0.92}, {97, 0.93}}
Tapirus_indicus, {{94, 0.15}, {6, 0.14}}
Camelus_bactrianus, {{100, 0.29}}
Lissodelphis_borealis, {{100, 0.55}}
Orcinus_orca, {{100, 0.98}}
Capreolus_capreolus, {{100, 0.01}}
Serpianosaurus, {{100, 1.0}}
Mollesaurus, {{100, 0.8}}
Baryonyx.1, {{75, 0.96}, {25, 0.97}}
Spinosaurus.3, {{100, 0.97}}
Spinosaurus.2, {{21, 0.99}, {79, 1.0}}
Spinosaurus.1, {{100, 0.96}}
Baryonyx, {{1, 0.99}, {99, 1.0}}
Spinosaurus, {{100, 0.99}}
Dasyurus_maculatus, {{1, 0.47}, {99, 0.48}}
Macropus_rufus, {{100, 0.53}}
Choloepus_didactylus, {{100, 0.08}}
Desmostylus_hesperus, {{100, 0.23}}
Nanophoca_vitulinoides, {{100, 0.99}}
Taxidea_taxus, {{100, 0.33}}
Equus_caballus, {{100, 0.39}}
Delphinapterus_leucas, {{67, 0.94}, {33, 0.95}}
Giraffa_camelopardalis, {{100, 0.07}}
