Spinosaurus.3, {{75, {{51, 7, 7, 36}, 0.99}}, {25, {{51, 7, 7, 36}, 0.98}}}
Spinosaurus.2, {{100, {{51, 7, 7, 36}, 1.0}}}
Spinosaurus.1, {{100, {{51, 7, 7, 36}, 0.98}}}
Baryonyx, {{100, {{51, 7, 7, 36}, 1.0}}}
Spinosaurus, {{100, {{51, 7, 7, 36}, 1.0}}}
Macropus_rufus, {{100, {{51, 7, 7, 36}, 0.51}}}
Trichechus_manatus, {{100, {{51, 7, 7, 36}, 1.0}}}
Lepus_europaeus, {{100, {{51, 7, 7, 36}, 0.26}}}
Galemys_pyrenaicus, {{100, {{51, 7, 7, 36}, 0.01}}}
Crocidura_russula, {{100, {{51, 7, 7, 36}, 0.06}}}
Genetta_genetta, {{100, {{51, 7, 7, 36}, 0.07}}}
Martes_foina, {{100, {{51, 7, 7, 36}, 0.11}}}
Neovison_vison, {{75, {{51, 7, 7, 36}, 0.22}}, {25, {{51, 7, 7, 36}, 0.21}}}
Hippopotamus_amphibius, {{100, {{51, 7, 7, 36}, 0.92}}}
Baryonyx.1, {{100, {{49, 9, 7, 36}, 0.98}}}
Spinosaurus.3, {{100, {{49, 9, 7, 36}, 0.99}}}
Spinosaurus.2, {{100, {{49, 9, 7, 36}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 7, 36}, 0.98}}}
Baryonyx, {{100, {{49, 9, 7, 36}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 7, 36}, 1.0}}}
Didelphis_sp., {{100, {{49, 9, 7, 36}, 0.01}}}
Paleoparadoxia_sp, {{100, {{49, 9, 7, 36}, 1.0}}}
Hemiechinus_azurites, {{100, {{49, 9, 7, 36}, 0.06}}}
Ursus_spelaeus, {{100, {{49, 9, 7, 36}, 0.95}}}
Phoca_vitulina, {{100, {{49, 9, 7, 36}, 0.0}}}
Taxidea_taxus, {{93, {{49, 9, 7, 36}, 0.31}}, {7, {{49, 9, 7, 36}, 0.32}}}
Enhydra_lutris, {{24, {{49, 9, 7, 36}, 0.97}}, {76, {{49, 9, 7, 36}, 0.98}}}
Lutra_vulgaris, {{100, {{49, 9, 7, 36}, 0.95}}}
Cervus_elaphus_canadensis, {{100, {{49, 9, 7, 36}, 0.02}}}
Capreolus_capreolus, {{100, {{49, 9, 7, 36}, 0.0}}}
Rangifer_tarandus, {{91, {{49, 9, 7, 36}, 0.63}}, {9, {{49, 9, 7, 36}, 0.64}}}
Serpianosaurus, {{100, {{47, 10, 7, 37}, 1.0}}}
Baryonyx.1, {{99, {{47, 10, 7, 37}, 0.98}}, {1, {{47, 10, 7, 37}, 0.99}}}
Spinosaurus.3, {{100, {{47, 10, 7, 37}, 0.99}}}
Spinosaurus.2, {{100, {{47, 10, 7, 37}, 1.0}}}
Spinosaurus.1, {{100, {{47, 10, 7, 37}, 0.98}}}
Baryonyx, {{100, {{47, 10, 7, 37}, 1.0}}}
Spinosaurus, {{100, {{47, 10, 7, 37}, 1.0}}}
Monodelphis_domestica, {{96, {{47, 10, 7, 37}, 0.1}}, {4, {{47, 10, 7, 37}, 0.11}}}
Tenrec_ecaudatus, {{100, {{47, 10, 7, 37}, 0.25}}}
Galagoides_demidovii, {{100, {{47, 10, 7, 37}, 0.01}}}
Arvicola_amphibius, {{100, {{47, 10, 7, 37}, 0.03}}}
