"","actual class","predicted class","N","median P(diving)"
"Mustela_nivalis","0","0","0","0.28"
"Sus_scrofa","0","0","0","0.21"
"Brachyodus_onoideum","0","2","100","0.77"
"Rangifer_tarandus","0","0","0","0.09"
"Megaloceros_sp","0","0","0","0.18"
"Ichtyosaurus_","2","0","0","0.38"
"Paraplacodus","2","2","100","0.99"
"Anarosaurus","2","2","100","0.98"
"Cryptoclidus","2","2","100","0.99"
"Plesiosaurus","2","2","100","0.97"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","27","0.49"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.935"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.77"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.31"
"Suchomimus.2",NA,"0","1","0.49"
"Suchomimus.1",NA,"0","0","0.3"
"Suchomimus",NA,"0","0","0.48"
"Baryonyx",NA,"2","100","0.95"
"Apteryx_owenii_","0","0","0","0.08"
"Rynochetus_jubatus","0","0","0","0.04"
