"","actual class","predicted class","N","median P(diving)"
"Loxodonta_africana","0","2","100","0.94"
"Spinosaurus_.11",NA,"0","11","0.49"
"Spinosaurus_.10",NA,"2","100","0.52"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.96"
"Spinosaurus_.7",NA,"2","100","0.93"
"Spinosaurus_.6",NA,"2","100","0.87"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.95"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.85"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.82"
"Baryonyx.2",NA,"2","100","0.92"
"Baryonyx.1",NA,"2","100","0.97"
"Suchomimus.3",NA,"0","0","0.36"
"Suchomimus.2",NA,"2","100","0.55"
"Suchomimus.1",NA,"0","0","0.34"
"Suchomimus",NA,"2","100","0.53"
"Baryonyx",NA,"2","100","0.96"
