"","actual class","predicted class","N","median P(diving)"
"Monodelphis_domestica","0","2","100","0.65"
"Loxodonta_africana","0","2","100","0.97"
"Mammuthus_sp","0","2","100","0.91"
"Hemiechinus_azurites","0","2","100","0.63"
"Leptophoca_proxima","2","2","100","0.73"
"Uncia_uncia","0","0","0","0.45"
"Ceratotherium_simum","0","2","100","0.94"
"Rhinoceros_sondaicus","0","2","100","0.78"
"Sus_scrofa","0","0","0","0.2"
"Nothosaurus_giganteus","2","2","100","0.68"
"Spinosaurus_.11",NA,"2","98","0.52"
"Spinosaurus_.10",NA,"2","100","0.56"
"Spinosaurus_.9",NA,"2","100","0.98"
"Spinosaurus_.8",NA,"2","100","0.98"
"Spinosaurus_.7",NA,"2","100","0.95"
"Spinosaurus_.6",NA,"2","100","0.91"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.98"
"Spinosaurus_.3",NA,"2","100","0.97"
"Spinosaurus_.2",NA,"2","100","0.94"
"Spinosaurus_.1",NA,"2","100","0.89"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.87"
"Baryonyx.2",NA,"2","100","0.95"
"Baryonyx.1",NA,"2","100","0.98"
"Suchomimus.3",NA,"0","0","0.39"
"Suchomimus.2",NA,"2","100","0.61"
"Suchomimus.1",NA,"0","0","0.37"
"Suchomimus",NA,"2","100","0.58"
"Baryonyx",NA,"2","100","0.98"
"Apteryx_australis","0","0","0","0.13"
"Strigiops_habroptilus","0","0","0","0.02"
