Tenrec_ecaudatus, {{72, 0.15}, {28, 0.14}}
Gorilla_gorilla, {{100, 0.01}}
Galemys_pyrenaicus, {{100, 0.0}}
Euroscaptor_micrura, {{87, 0.07}, {13, 0.08}}
Diplomesodon_pulchellum, {{17, 0.12}, {83, 0.13}}
Felis_silvestris, {{100, 0.04}}
Ursus_spelaeus, {{78, 0.94}, {22, 0.95}}
Capra_aegagrus, {{100, 0.64}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{81, 0.98}, {19, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Lourinhanosaurus, {{100, 0.02}}
Goura_cristata, {{100, 0.0}}
Dendrocopos_major, {{80, 0.07}, {20, 0.06}}
Corvus_corone, {{100, 0.0}}
Pelagodroma_marina, {{97, 0.12}, {2, 0.11}, {1, 0.13}}
Phalacrocorax_harris, {{100, 0.91}}
Monodelphis_domestica, {{94, 0.04}, {6, 0.05}}
Didelphis_sp., {{100, 0.0}}
Vombatus_ursinus, {{61, 0.92}, {39, 0.91}}
Hemiechinus_azurites, {{76, 0.01}, {24, 0.02}}
Pteropus_giganteus, {{100, 0.0}}
Choeropsis_liberiensis, {{97, 0.45}, {3, 0.44}}
Cervus_elaphus_canadensis, {{100, 0.0}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{47, 0.04}, {53, 0.05}}
Apteryx_owenii, {{34, 0.4}, {66, 0.41}}
Psophia_crepitans, {{100, 0.02}}
Nestor_notabilis, {{72, 0.04}, {28, 0.05}}
Larus_argentatus, {{100, 0.0}}
Perameles_nasuta, {{93, 0.07}, {7, 0.08}}
Procavia_capensis, {{36, 0.01}, {64, 0.02}}
Myocastor_coypus, {{76, 0.04}, {24, 0.05}}
Panthera_leo_persica, {{100, 0.0}}
Lutra_vulgaris, {{100, 0.96}}
Equus_caballus, {{3, 0.18}, {7, 0.2}, {90, 0.19}}
Tapirus_terrestris, {{100, 0.67}}
Carentonosaurus_mineaui, {{100, 1.0}}
Baryonyx.1, {{8, 0.98}, {92, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Otis_tarda, {{100, 0.0}}
Sarothrura_rufa, {{1, 0.24}, {1, 0.26}, {98, 0.25}}
Porzana_carolina, {{1, 0.01}, {99, 0.02}}
Fulmarus_glacialis, {{100, 0.0}}
Tachyglossus_aculeatus_setosus, {{17, 0.04}, {83, 0.05}}
Galagoides_demidovii, {{100, 0.0}}
Lepus_europaeus, {{67, 0.2}, {33, 0.19}}
Apodemus_sp., {{100, 0.03}}
Noemys_fodies, {{59, 0.59}, {41, 0.58}}
Ursus_maritimus, {{2, 0.01}, {98, 0.02}}
Sus_scrofa, {{100, 0.01}}
Aepyceros_melampus, {{90, 0.18}, {2, 0.17}, {8, 0.19}}
