Glareola_pratincula, {{39, 0.37}, {61, 0.38}}
Fulmarus_glacialis, {{100, 0.0}}
Spheniscus_humboldti, {{100, 0.96}}
Castor_fiber, {{100, 0.95}}
Noemys_fodies, {{100, 0.63}}
Eidolon_helvum, {{100, 0.0}}
Nanophoca_vitulinoides, {{100, 1.0}}
Aepyceros_melampus, {{98, 0.18}, {1, 0.17}, {1, 0.19}}
Capra_aegagrus, {{100, 0.63}}
Baryonyx.1, {{94, 0.99}, {6, 1.0}}
Spinosaurus.3, {{53, 0.99}, {47, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Aramus_guarana, {{68, 0.12}, {32, 0.13}}
Phaenicopterus_roseus, {{57, 0.24}, {43, 0.25}}
Phaeton_aethereus, {{65, 0.1}, {35, 0.09}}
Eudyptes_chrysocome, {{86, 0.98}, {14, 0.97}}
Pelecanus_sp., {{100, 0.0}}
Dasyurus_maculatus, {{63, 0.28}, {37, 0.27}}
Rhynchocyon_petersi, {{91, 0.07}, {9, 0.06}}
Tenrec_ecaudatus, {{42, 0.1}, {58, 0.11}}
Myoprocta_pratti, {{100, 0.0}}
Pteropus_giganteus, {{100, 0.0}}
Ursus_spelaeus, {{100, 0.96}}
Martes_martes, {{100, 0.01}}
Neovison_vison, {{75, 0.09}, {25, 0.08}}
Nothosaurus_sp., {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{48, 0.98}, {52, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Anseranas_semipalmata, {{81, 0.49}, {19, 0.48}}
Otis_tarda, {{100, 0.0}}
Dacelo_novaeguineae, {{100, 0.01}}
Strigiops_habroptilus, {{2, 0.07}, {98, 0.08}}
Vombatus_ursinus, {{98, 0.88}, {2, 0.89}}
Desmana_moschata, {{1, 0.92}, {99, 0.91}}
Rousettus_aegyptiacus, {{2, 0.0}, {98, 0.01}}
Panthera_leo_persica, {{1, 0.01}, {99, 0.02}}
Canis_lupus, {{93, 0.06}, {7, 0.05}}
Camelus_bactrianus, {{2, 0.18}, {98, 0.17}}
Rodhocetus, {{100, 0.99}}
Cervus_elaphus_canadensis, {{100, 0.01}}
Carentonosaurus_mineaui, {{100, 1.0}}
Crocodylus_sp., {{100, 0.99}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{36, 0.98}, {64, 0.99}}
Spinosaurus.3, {{13, 0.98}, {87, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.98}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Anas_discors, {{100, 0.02}}
Larus_argentatus, {{100, 0.0}}
Pelagodroma_marina, {{5, 0.15}, {95, 0.14}}
Aptenodytes_patagonicus, {{100, 0.65}}
Morus_bassanus, {{100, 0.0}}
Monodelphis_domestica, {{64, 0.06}, {36, 0.05}}
Hemiechinus_azurites, {{100, 0.02}}
Crocidura_russula, {{39, 0.04}, {61, 0.03}}
Taxidea_taxus, {{95, 0.15}, {4, 0.16}, {1, 0.14}}
Choeropsis_liberiensis, {{99, 0.45}, {1, 0.44}}
