Erinaceus_europaeus, {{100, {{83, 4, 10, 25}, 0.01}}}
Panthera_leo_persica, {{100, {{83, 4, 10, 25}, 0.0}}}
Martes_foina, {{90, {{83, 4, 10, 25}, 0.03}}, {10, {{83, 4, 10, 25}, 0.02}}}
Tapirus_terrestris, {{11, {{83, 4, 10, 25}, 0.65}}, {89, {{83, 4, 10, 25}, 0.64}}}
Choeropsis_liberiensis, {{62, {{83, 4, 10, 25}, 0.42}}, {38, {{83, 4, 10, 25}, 0.41}}}
Dorudon, {{100, {{83, 4, 10, 25}, 1.0}}}
Baryonyx.1, {{100, {{82, 5, 8, 27}, 0.99}}}
Spinosaurus.3, {{100, {{82, 5, 8, 27}, 0.99}}}
Spinosaurus.2, {{100, {{82, 5, 8, 27}, 1.0}}}
Spinosaurus.1, {{100, {{82, 5, 8, 27}, 0.99}}}
Baryonyx, {{100, {{82, 5, 8, 27}, 1.0}}}
Spinosaurus, {{100, {{82, 5, 8, 27}, 1.0}}}
Casuarius_casuarius, {{54, {{82, 5, 8, 27}, 0.03}}, {46, {{82, 5, 8, 27}, 0.02}}}
Atlantisia_rogersi, {{75, {{82, 5, 8, 27}, 0.24}}, {25, {{82, 5, 8, 27}, 0.23}}}
Xenicus_longipes, {{17, {{82, 5, 8, 27}, 0.27}}, {83, {{82, 5, 8, 27}, 0.26}}}
Glareola_pratincula, {{3, {{82, 5, 8, 27}, 0.36}}, {2, {{82, 5, 8, 27}, 0.34}}, {95, {{82, 5, 8, 27}, 0.35}}}
Aptenodytes_patagonicus, {{2, {{82, 5, 8, 27}, 0.66}}, {98, {{82, 5, 8, 27}, 0.65}}}
Pelecanus_sp., {{100, {{82, 5, 8, 27}, 0.0}}}
Tachyglossus_aculeatus_setosus, {{100, {{82, 5, 8, 27}, 0.01}}}
Cercopithecus_mona, {{100, {{82, 5, 8, 27}, 0.0}}}
Lepus_europaeus, {{19, {{82, 5, 8, 27}, 0.12}}, {81, {{82, 5, 8, 27}, 0.11}}}
Sciurus_vulgaris, {{100, {{82, 5, 8, 27}, 0.02}}}
Myocastor_coypus, {{100, {{82, 5, 8, 27}, 0.03}}}
Pteropus_giganteus, {{100, {{82, 5, 8, 27}, 0.0}}}
Mustela_nivalis, {{85, {{82, 5, 8, 27}, 0.14}}, {15, {{82, 5, 8, 27}, 0.13}}}
Capra_aegagrus, {{100, {{82, 5, 8, 27}, 0.56}}}
Crocodylus_sp., {{100, {{82, 6, 9, 25}, 1.0}}}
Baryonyx.1, {{100, {{82, 6, 9, 25}, 0.99}}}
Spinosaurus.3, {{100, {{82, 6, 9, 25}, 0.99}}}
Spinosaurus.2, {{100, {{82, 6, 9, 25}, 1.0}}}
Spinosaurus.1, {{100, {{82, 6, 9, 25}, 0.99}}}
Baryonyx, {{100, {{82, 6, 9, 25}, 1.0}}}
Spinosaurus, {{100, {{82, 6, 9, 25}, 1.0}}}
Anseranas_semipalmata, {{16, {{82, 6, 9, 25}, 0.42}}, {84, {{82, 6, 9, 25}, 0.41}}}
Cygnus_olor, {{24, {{82, 6, 9, 25}, 0.43}}, {76, {{82, 6, 9, 25}, 0.44}}}
Melanitta_nigra, {{100, {{82, 6, 9, 25}, 0.07}}}
Porzana_carolina, {{100, {{82, 6, 9, 25}, 0.01}}}
Turdus_olivater, {{100, {{82, 6, 9, 25}, 0.78}}}
Buteo_buteo, {{100, {{82, 6, 9, 25}, 0.0}}}
Ardea_cinerea, {{100, {{82, 6, 9, 25}, 0.0}}}
Dasyurus_maculatus, {{94, {{82, 6, 9, 25}, 0.29}}, {6, {{82, 6, 9, 25}, 0.3}}}
Orycteropus_afer, {{12, {{82, 6, 9, 25}, 0.01}}, {88, {{82, 6, 9, 25}, 0.0}}}
Myoprocta_pratti, {{100, {{82, 6, 9, 25}, 0.0}}}
Castor_fiber, {{100, {{82, 6, 9, 25}, 0.97}}}
Noemys_fodies, {{42, {{82, 6, 9, 25}, 0.61}}, {58, {{82, 6, 9, 25}, 0.6}}}
Martes_martes, {{100, {{82, 6, 9, 25}, 0.02}}}
Plateosaurus, {{100, {{81, 5, 9, 27}, 0.0}}}
Baryonyx.1, {{6, {{81, 5, 9, 27}, 0.98}}, {94, {{81, 5, 9, 27}, 0.99}}}
Spinosaurus.3, {{100, {{81, 5, 9, 27}, 0.99}}}
Spinosaurus.2, {{100, {{81, 5, 9, 27}, 1.0}}}
Spinosaurus.1, {{100, {{81, 5, 9, 27}, 0.98}}}
Baryonyx, {{100, {{81, 5, 9, 27}, 1.0}}}
Spinosaurus, {{100, {{81, 5, 9, 27}, 1.0}}}
Apteryx_owenii, {{1, {{81, 5, 9, 27}, 0.47}}, {99, {{81, 5, 9, 27}, 0.46}}}
Anas_platyrhynchos, {{100, {{81, 5, 9, 27}, 0.0}}}
Psophia_crepitans, {{100, {{81, 5, 9, 27}, 0.04}}}
Tribonyx_ventralis, {{60, {{81, 5, 9, 27}, 0.7}}, {40, {{81, 5, 9, 27}, 0.69}}}
Morus_bassanus, {{100, {{81, 5, 9, 27}, 0.0}}}
Phalacrocorax_harris, {{92, {{81, 5, 9, 27}, 0.9}}, {8, {{81, 5, 9, 27}, 0.89}}}
Dugong_dugon, {{100, {{81, 5, 9, 27}, 1.0}}}
Procavia_capensis, {{100, {{81, 5, 9, 27}, 0.03}}}
Canis_lupus, {{86, {{81, 5, 9, 27}, 0.03}}, {14, {{81, 5, 9, 27}, 0.04}}}
Camelus_bactrianus, {{100, {{81, 5, 9, 27}, 0.12}}}
Sus_scrofa, {{100, {{81, 5, 9, 27}, 0.01}}}
Capreolus_capreolus, {{100, {{81, 5, 9, 27}, 0.0}}}
Hemitragus_jayakari, {{100, {{81, 5, 9, 27}, 0.04}}}
Baryonyx.1, {{100, {{79, 6, 11, 27}, 0.98}}}
Spinosaurus.3, {{100, {{79, 6, 11, 27}, 0.98}}}
Spinosaurus.2, {{100, {{79, 6, 11, 27}, 1.0}}}
Spinosaurus.1, {{100, {{79, 6, 11, 27}, 0.97}}}
Baryonyx, {{100, {{79, 6, 11, 27}, 1.0}}}
Spinosaurus, {{100, {{79, 6, 11, 27}, 1.0}}}
