"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",38,6,20,53
"2",38,6,20,53
"3",38,6,20,53
"4",38,7,20,52
"5",38,6,20,53
"6",38,6,20,53
"7",38,6,20,53
"8",38,7,20,52
"9",38,6,20,53
"10",38,9,20,50
"11",38,6,20,53
"12",38,9,20,50
"13",38,6,20,53
"14",38,6,20,53
"15",38,6,20,53
"16",38,8,20,51
"17",38,6,20,53
"18",38,7,20,52
"19",38,6,20,53
"20",38,6,20,53
"21",38,7,20,52
"22",38,7,20,52
"23",38,6,20,53
"24",38,9,20,50
"25",38,6,20,53
"26",38,9,20,50
"27",38,6,20,53
"28",38,6,20,53
"29",38,9,20,50
"30",38,6,20,53
"31",38,6,20,53
"32",38,6,20,53
"33",38,6,20,53
"34",38,6,20,53
"35",38,8,20,51
"36",38,8,20,51
"37",38,7,20,52
"38",38,6,20,53
"39",38,6,20,53
"40",38,7,20,52
"41",38,6,20,53
"42",38,6,20,53
"43",38,6,20,53
"44",38,6,20,53
"45",38,6,20,53
"46",38,6,20,53
"47",38,6,20,53
"48",38,6,20,53
"49",38,6,20,53
"50",38,6,20,53
"51",38,6,20,53
"52",38,9,20,50
"53",38,9,20,50
"54",38,6,20,53
"55",38,7,20,52
"56",38,9,20,50
"57",38,6,20,53
"58",38,7,20,52
"59",38,6,20,53
"60",38,6,20,53
"61",38,6,20,53
"62",38,6,20,53
"63",38,6,20,53
"64",38,6,20,53
"65",38,6,20,53
"66",38,6,20,53
"67",38,6,20,53
"68",38,9,20,50
"69",38,6,20,53
"70",38,6,20,53
"71",38,6,20,53
"72",38,6,20,53
"73",38,7,20,52
"74",38,6,20,53
"75",38,6,20,53
"76",38,9,20,50
"77",38,8,20,51
"78",38,6,20,53
"79",38,6,20,53
"80",38,9,20,50
"81",38,6,20,53
"82",38,9,20,50
"83",38,6,20,53
"84",38,7,20,52
"85",38,6,20,53
"86",38,6,20,53
"87",38,7,20,52
"88",38,9,20,50
"89",38,9,20,50
"90",38,6,20,53
"91",38,6,20,53
"92",38,9,20,50
"93",38,7,20,52
"94",38,6,20,53
"95",38,6,20,53
"96",38,6,20,53
"97",38,6,20,53
"98",38,7,20,52
"99",38,6,20,53
"100",38,6,20,53
