"","actual class","predicted class","N","median P(diving)"
"Chironectes_minimus","2","2","100","0.87"
"Microgale_thomasi","0","0","0","0.17"
"Taxidea_taxus","0","2","100","0.53"
"Tapirus_terrestris","2","2","100","0.56"
"Choeropsis_liberiensis","2","2","100","0.76"
"Cephalophus_silvicultor","0","0","0","0.43"
"Pistosaurus","2","2","100","0.95"
"Rhaeticosaurus","2","2","100","0.99"
"Nothosaurus_giganteus","2","2","100","0.58"
"Spinosaurus_.11",NA,"0","0","0.43"
"Spinosaurus_.10",NA,"0","0","0.47"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.82"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.81"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.75"
"Baryonyx.2",NA,"2","100","0.88"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.28"
"Suchomimus.2",NA,"0","0","0.46"
"Suchomimus.1",NA,"0","0","0.27"
"Suchomimus",NA,"0","0","0.45"
"Baryonyx",NA,"2","100","0.94"
"Apteryx_owenii_","0","0","0","0.08"
"Xenicus_giliventris","0","0","0","0.02"
"Aptenodytes______","2","2","100","0.9"
