"","actual class","predicted class","N","median P(diving)"
"Ornithorhynchus_anatinus","2","2","100","0.92"
"Desmana_moschata","2","2","100","0.93"
"Rupicapra_rupicapra","0","0","0","0.05"
"Syncerus_caffer","0","2","100","0.72"
"Ichtyosaur_sp","2","2","100","0.87"
"Simosaurus","2","2","100","0.98"
"Nothosaurus_giganteus","2","2","100","0.63"
"Nothosaurus_150","2","2","100","1"
"Dyrosaurid","2","0","0","0.25"
"Caiman_yacare","2","2","100","0.95"
"Spinosaurus_.11",NA,"0","0","0.44"
"Spinosaurus_.10",NA,"0","0","0.48"
"Spinosaurus_.9",NA,"2","100","0.97"
"Spinosaurus_.8",NA,"2","100","0.96"
"Spinosaurus_.7",NA,"2","100","0.92"
"Spinosaurus_.6",NA,"2","100","0.85"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.97"
"Spinosaurus_.3",NA,"2","100","0.95"
"Spinosaurus_.2",NA,"2","100","0.91"
"Spinosaurus_.1",NA,"2","100","0.84"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.91"
"Baryonyx.1",NA,"2","100","0.97"
"Suchomimus.3",NA,"0","0","0.27"
"Suchomimus.2",NA,"0","0","0.47"
"Suchomimus.1",NA,"0","0","0.26"
"Suchomimus",NA,"0","0","0.46"
"Baryonyx",NA,"2","100","0.96"
"Atlantisia_rogersi","0","0","0","0.04"
"Palaeospheniscus","2","2","100","0.8"
