Tylosaurus_sp., {{66, {{80, 9, 24, 32}, 0.78}}, {1, {{79, 9, 25, 32}, 0.79}}, {33, {{80, 9, 24, 32}, 0.79}}}
Baryonyx.1, {{95, {{80, 9, 24, 32}, 0.9}}, {1, {{79, 9, 25, 32}, 0.91}}, {4, {{80, 9, 24, 32}, 0.91}}}
Spinosaurus.3, {{56, {{80, 9, 24, 32}, 0.9}}, {1, {{79, 9, 25, 32}, 0.91}}, {43, {{80, 9, 24, 32}, 0.91}}}
Spinosaurus.2, {{98, {{80, 9, 24, 32}, 0.98}}, {1, {{80, 9, 24, 32}, 0.97}}, {1, {{79, 9, 25, 32}, 0.98}}}
Spinosaurus.1, {{2, {{80, 9, 24, 32}, 0.9}}, {1, {{79, 9, 25, 32}, 0.89}}, {97, {{80, 9, 24, 32}, 0.89}}}
Baryonyx, {{99, {{80, 9, 24, 32}, 0.98}}, {1, {{79, 9, 25, 32}, 0.98}}}
Spinosaurus, {{1, {{79, 9, 25, 32}, 0.97}}, {99, {{80, 9, 24, 32}, 0.97}}}
Psophia_crepitans, {{10, {{80, 9, 24, 32}, 0.21}}, {1, {{79, 9, 25, 32}, 0.22}}, {89, {{80, 9, 24, 32}, 0.22}}}
Phaenicopterus_roseus, {{1, {{79, 9, 25, 32}, 0.52}}, {99, {{80, 9, 24, 32}, 0.52}}}
Eudyptes_chrysocome, {{1, {{79, 9, 25, 32}, 0.89}}, {99, {{80, 9, 24, 32}, 0.89}}}
Vombatus_ursinus, {{1, {{79, 9, 25, 32}, 0.84}}, {99, {{80, 9, 24, 32}, 0.84}}}
Tenrec_ecaudatus, {{1, {{79, 9, 25, 32}, 0.42}}, {99, {{80, 9, 24, 32}, 0.42}}}
Dugong_dugon, {{1, {{79, 9, 25, 32}, 0.97}}, {99, {{80, 9, 24, 32}, 0.97}}}
Trichechus_manatus, {{99, {{80, 9, 24, 32}, 0.98}}, {1, {{79, 9, 25, 32}, 0.98}}}
Euroscaptor_micrura, {{1, {{79, 9, 25, 32}, 0.37}}, {99, {{80, 9, 24, 32}, 0.37}}}
Hemiechinus_azurites, {{1, {{79, 9, 25, 32}, 0.19}}, {78, {{80, 9, 24, 32}, 0.19}}, {21, {{80, 9, 24, 32}, 0.18}}}
