Carentonosaurus_mineaui, {{100, 0.97}}
Baryonyx.1, {{86, 0.9}, {14, 0.89}}
Spinosaurus.3, {{99, 0.9}, {1, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{52, 0.88}, {48, 0.89}}
Baryonyx, {{10, 0.98}, {90, 0.97}}
Spinosaurus, {{100, 0.97}}
Crocodylus_niloticus, {{100, 0.95}}
Baryonyx.1, {{65, 0.9}, {35, 0.89}}
Spinosaurus.3, {{94, 0.9}, {6, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{62, 0.88}, {38, 0.89}}
Baryonyx, {{14, 0.98}, {86, 0.97}}
Spinosaurus, {{100, 0.97}}
Neusticosaurus, {{99, 0.99}, {1, 1.0}}
Baryonyx.1, {{100, 0.89}}
Spinosaurus.3, {{4, 0.9}, {96, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{70, 0.88}, {30, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{100, 0.96}}
Ceresiosaurus, {{65, 0.99}, {35, 1.0}}
Baryonyx.1, {{2, 0.88}, {98, 0.89}}
Spinosaurus.3, {{100, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{59, 0.88}, {41, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{99, 0.96}, {1, 0.97}}
Mollesaurus, {{44, 0.66}, {56, 0.65}}
Baryonyx.1, {{16, 0.88}, {84, 0.89}}
Spinosaurus.3, {{4, 0.88}, {96, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{70, 0.88}, {30, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{100, 0.97}}
Baryonyx.1, {{8, 0.9}, {92, 0.89}}
Spinosaurus.3, {{79, 0.9}, {21, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{99, 0.88}, {1, 0.89}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{100, 0.97}}
Lourinhanosaurus, {{29, 0.18}, {71, 0.19}}
Saltriovenator, {{81, 0.53}, {16, 0.54}, {3, 0.52}}
Baryonyx.1, {{100, 0.9}}
Spinosaurus.3, {{8, 0.91}, {92, 0.9}}
Spinosaurus.2, {{2, 0.98}, {98, 0.97}}
Spinosaurus.1, {{2, 0.88}, {98, 0.89}}
Baryonyx, {{87, 0.98}, {13, 0.97}}
Spinosaurus, {{100, 0.97}}
Baryonyx.1, {{1, 0.91}, {99, 0.9}}
Spinosaurus.3, {{47, 0.91}, {53, 0.9}}
Spinosaurus.2, {{52, 0.98}, {48, 0.97}}
Spinosaurus.1, {{100, 0.89}}
Baryonyx, {{100, 0.98}}
Spinosaurus, {{100, 0.97}}
Charcarodontosaurid, {{11, 0.83}, {89, 0.82}}
Alamosaurus, {{99, 0.1}, {1, 0.09}}
Baryonyx.1, {{2, 0.88}, {98, 0.89}}
Spinosaurus.3, {{100, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{64, 0.88}, {36, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{63, 0.96}, {37, 0.97}}
Plateosaurus, {{43, 0.01}, {57, 0.02}}
Baryonyx.1, {{100, 0.89}}
Spinosaurus.3, {{6, 0.9}, {94, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{96, 0.88}, {4, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{9, 0.96}, {91, 0.97}}
Baryonyx.1, {{79, 0.9}, {21, 0.89}}
Spinosaurus.3, {{95, 0.9}, {5, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{54, 0.88}, {46, 0.89}}
Baryonyx, {{8, 0.98}, {92, 0.97}}
Spinosaurus, {{100, 0.97}}
Nanophoca_vitulinoides, {{100, 0.97}}
Baryonyx.1, {{100, 0.89}}
Spinosaurus.3, {{100, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{82, 0.88}, {18, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{4, 0.96}, {96, 0.97}}
Callophoca_obscura, {{100, 0.56}}
Baryonyx.1, {{100, 0.89}}
Spinosaurus.3, {{3, 0.9}, {97, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{81, 0.88}, {19, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{29, 0.96}, {71, 0.97}}
Struthio_camelus, {{98, 0.28}, {2, 0.29}}
Baryonyx.1, {{1, 0.9}, {99, 0.89}}
Spinosaurus.3, {{54, 0.9}, {46, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{100, 0.88}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{100, 0.97}}
Anas_discors, {{100, 0.19}}
Baryonyx.1, {{2, 0.88}, {98, 0.89}}
Spinosaurus.3, {{1, 0.88}, {99, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{66, 0.88}, {34, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{30, 0.96}, {70, 0.97}}
Anas_erythrorhyncha, {{100, 0.47}}
Baryonyx.1, {{100, 0.89}}
Spinosaurus.3, {{4, 0.9}, {96, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{84, 0.88}, {16, 0.87}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{8, 0.96}, {92, 0.97}}
Anseranas_semipalmata, {{98, 0.59}, {2, 0.58}}
Baryonyx.1, {{7, 0.9}, {93, 0.89}}
Spinosaurus.3, {{71, 0.9}, {29, 0.89}}
Spinosaurus.2, {{100, 0.97}}
Spinosaurus.1, {{99, 0.88}, {1, 0.89}}
Baryonyx, {{100, 0.97}}
Spinosaurus, {{100, 0.97}}
Anser_fabalis, {{84, 0.33}, {16, 0.34}}
