"","actual class","predicted class","N","median P(diving)"
"Procyon_lotor","0","0","0","0.44"
"Leptophoca_proxima","2","2","100","0.68"
"Phocanella_pumila","2","2","100","0.97"
"Dicerorhinus_sumatrensis","0","2","100","0.79"
"Sus_scrofa","0","0","0","0.21"
"Maiacetus","2","2","100","0.98"
"Rupicapra_rupicapra","0","0","0","0.08"
"Psephoderma","2","2","100","0.9"
"Pistosaurus","2","2","100","0.95"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"0","42","0.5"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.79"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.33"
"Suchomimus.2",NA,"2","100","0.51"
"Suchomimus.1",NA,"0","0","0.32"
"Suchomimus",NA,"0","33","0.5"
"Baryonyx",NA,"2","100","0.95"
"Caloenas_nicobarica","0","0","0","0.02"
"Phalacrocorax_harrisi","2","0","0","0.33"
