Alligator, {{100, 0.93}}
Spinosaurus_.11, {{17, 0.47}, {6, 0.5}, {6, 0.45}, {23, 0.46}, {33, 0.49}, {15, 0.48}}
Spinosaurus_.10, {{32, 0.53}, {17, 0.54}, {14, 0.52}, {19, 0.5}, {15, 0.51}, {3, 0.49}}
Spinosaurus_.9, {{24, 0.98}, {76, 0.99}}
Spinosaurus_.8, {{100, 0.98}}
Spinosaurus_.7, {{14, 0.95}, {86, 0.96}}
Spinosaurus_.6, {{27, 0.92}, {62, 0.91}, {11, 0.9}}
Spinosaurus_.5, {{100, 0.99}}
Spinosaurus_.4, {{100, 0.98}}
Spinosaurus_.3, {{100, 0.97}}
Spinosaurus_.2, {{64, 0.95}, {36, 0.94}}
Spinosaurus_.1, {{33, 0.88}, {8, 0.9}, {59, 0.89}}
Spinosaurus_, {{100, 0.99}}
Baryonyx.3, {{1, 0.88}, {99, 0.87}}
Baryonyx.2, {{100, 0.95}}
Baryonyx.1, {{86, 0.98}, {14, 0.99}}
Suchomimus.3, {{79, 0.34}, {6, 0.33}, {15, 0.35}}
Suchomimus.2, {{57, 0.58}, {43, 0.57}}
Suchomimus.1, {{11, 0.33}, {72, 0.32}, {17, 0.31}}
Suchomimus, {{9, 0.54}, {7, 0.56}, {84, 0.55}}
Baryonyx, {{100, 0.98}}
Chapsosaurus_, {{100, 0.98}}
Spinosaurus_.11, {{16, 0.47}, {6, 0.5}, {6, 0.45}, {24, 0.46}, {33, 0.49}, {15, 0.48}}
Spinosaurus_.10, {{33, 0.53}, {17, 0.54}, {14, 0.52}, {19, 0.5}, {14, 0.51}, {3, 0.49}}
Spinosaurus_.9, {{19, 0.98}, {81, 0.99}}
Spinosaurus_.8, {{100, 0.98}}
Spinosaurus_.7, {{11, 0.95}, {89, 0.96}}
Spinosaurus_.6, {{29, 0.92}, {63, 0.91}, {8, 0.9}}
Spinosaurus_.5, {{99, 0.99}, {1, 1.0}}
Spinosaurus_.4, {{100, 0.98}}
Spinosaurus_.3, {{100, 0.97}}
Spinosaurus_.2, {{65, 0.95}, {35, 0.94}}
Spinosaurus_.1, {{33, 0.88}, {13, 0.9}, {54, 0.89}}
Spinosaurus_, {{100, 0.99}}
Baryonyx.3, {{1, 0.88}, {99, 0.87}}
Baryonyx.2, {{97, 0.95}, {3, 0.96}}
Baryonyx.1, {{77, 0.98}, {23, 0.99}}
Suchomimus.3, {{75, 0.34}, {14, 0.33}, {11, 0.35}}
Suchomimus.2, {{42, 0.58}, {58, 0.57}}
Suchomimus.1, {{7, 0.33}, {68, 0.32}, {25, 0.31}}
Suchomimus, {{12, 0.54}, {7, 0.56}, {81, 0.55}}
Baryonyx, {{100, 0.98}}
Rattus_rattus, {{96, 0.12}, {4, 0.13}}
